窗口右端日,窗口左端日,窗口内有下注天数,是否满窗,活跃会员数,物理局数,玩家局数,投注金额,游戏盈利,返水,净盈利,胜局数,负局数,和局数,胜率,游戏盈利率,净盈利率
2026-04-07,2026-03-09 00:00:00,17,0,142249,703976,11458794,1577721501.9794018,-30285461.321710907,777176.3847199487,-29508284.936990857,5160212,5386083,912499,0.48929145259069656,-0.01919569536430537,-0.0187031012127108
2026-04-08,2026-03-10 00:00:00,18,0,151317,749361,12240431,1693141773.8580215,-31455788.898543425,828316.1823954022,-30627472.71614805,5509236,5753671,977524,0.48914867183046085,-0.018578354975477177,-0.018089136532471094
2026-04-09,2026-03-11 00:00:00,19,0,158109,794709,12987043,1798984001.1222937,-33874246.62641369,872424.6102988325,-33001822.01611494,5844263,6103763,1039017,0.48914046554635887,-0.01882965418551876,-0.01834470011713656
2026-04-10,2026-03-12 00:00:00,20,0,167086,839973,13826703,1919791974.7547643,-35116439.66120143,913041.6062690611,-34203398.05493264,6222529,6498350,1105824,0.4891587287325035,-0.018291794175088805,-0.01781620014288361
2026-04-11,2026-03-13 00:00:00,21,0,174044,885135,14635003,2029914925.5185454,-36953066.99459174,979181.3392309056,-35973885.65536114,6586736,6879462,1168805,0.48913108213617534,-0.018204244192722516,-0.017721868637510286
2026-04-12,2026-03-14 00:00:00,22,0,180286,930276,15399325,2127272454.77294,-37827702.17837989,1022952.6989941802,-36804749.47938607,6934511,7238152,1226662,0.48928779298569364,-0.01778225543865162,-0.017301380176670655
2026-04-13,2026-03-15 00:00:00,23,0,184564,964916,15931890,2200720561.4321213,-39768730.348495744,1047013.9835356436,-38721716.364960425,7173750,7486739,1271401,0.4893254242747292,-0.018070776928905595,-0.01759501730640542
2026-04-14,2026-03-16 00:00:00,24,0,190653,1010651,16665587,2303177257.9211264,-41787774.95140578,1125659.0060776735,-40662115.94532879,7503707,7829712,1332168,0.4893694615662691,-0.018143534027912335,-0.01765479222473344
2026-04-15,2026-03-17 00:00:00,25,0,199146,1056191,17429535,2408506597.3121085,-44147463.39119041,1206832.1478079788,-42940631.243383266,7848939,8188600,1391996,0.48941043884601,-0.018329807956706013,-0.017828737231322087
2026-04-16,2026-03-18 00:00:00,26,0,204599,1101558,18167646,2503399441.0363607,-46453329.90866407,1260085.6326918025,-45193244.27597311,8181581,8535867,1450198,0.4894037056373676,-0.0185560998165891,-0.018052750006712453
2026-04-17,2026-03-19 00:00:00,27,0,209823,1147219,18912346,2597757429.434775,-47462342.60483386,1348524.3675932088,-46113818.23724169,8516642,8887115,1508589,0.48935652227274834,-0.018270505962968534,-0.017751394997367106
2026-04-18,2026-03-20 00:00:00,28,0,215120,1192666,19643681,2688318509.4188876,-49463575.72489089,1383150.643848732,-48080425.08104351,8845574,9231264,1566843,0.4893319285153742,-0.018399447666483177,-0.01788494365998197
2026-04-19,2026-03-21 00:00:00,29,0,219812,1238086,20318910,2784810824.746135,-51164833.04352149,1460895.1070433985,-49703937.936479844,9149206,9548382,1621322,0.48932546807641714,-0.0183728218049374,-0.017848227784381325
2026-04-20,2026-03-22 00:00:00,30,1,223135,1272128,20789986,2843227136.908019,-51825046.37683167,1491549.1102843706,-50333497.26654871,9360819,9768943,1660224,0.4893327475794001,-0.01822754352056125,-0.017702946280009794
2026-04-21,2026-03-23 00:00:00,30,1,225812,1296928,20949349,2876637203.056782,-51316742.65601696,1521105.473215171,-49795637.1828036,9431879,9844244,1673226,0.48930373602617083,-0.0178391430804992,-0.01731036403544027
2026-04-22,2026-03-24 00:00:00,30,1,228129,1310624,21101980,2886023359.41829,-50265710.39151871,1524681.1181074132,-48741029.27341312,9500354,9917120,1684506,0.4892682745448764,-0.017416945094183272,-0.016888646834527843
2026-04-23,2026-03-25 00:00:00,30,1,228330,1312097,21063037,2877032706.5010247,-50628149.84231212,1498779.6496446913,-49129370.19266917,9480498,9902954,1679585,0.4891026634471507,-0.0175973494246038,-0.017076403087686508
2026-04-24,2026-03-26 00:00:00,30,1,232583,1312061,21111216,2879132968.672711,-50328872.65375905,1512236.4603700812,-48816636.19339113,9502894,9925992,1682330,0.4891116248250157,-0.01748056557351737,-0.016955325344315635
2026-04-25,2026-03-27 00:00:00,30,1,232700,1312267,21085242,2864879520.758777,-50606559.28490512,1502538.7216928895,-49104020.56321423,9488890,9915654,1680698,0.4890035035092811,-0.017664463345914712,-0.017139994965725047
2026-04-26,2026-03-28 00:00:00,30,1,231918,1313659,21027177,2869359449.698038,-49943669.34632987,1544327.0715902795,-48399342.27474196,9464822,9888940,1673415,0.48904300879591267,-0.017405860165614934,-0.016867646986450355
2026-04-27,2026-03-29 00:00:00,30,1,230760,1306631,20887732,2839667955.2008147,-49476402.28934459,1541512.9608486178,-47934889.32849866,9403390,9822947,1661395,0.4890890032771193,-0.017423305495534856,-0.01688045577325565
2026-04-28,2026-03-30 00:00:00,30,1,231015,1305751,20917125,2843238295.797663,-49235739.752223514,1597140.9354566168,-47638598.81677,9417404,9835733,1663988,0.48913608208366255,-0.01731678270688548,-0.016755049651371243
2026-04-29,2026-03-31 00:00:00,30,1,232229,1312869,21070012,2873558769.6205854,-49272139.70140603,1642929.8557573413,-47629209.84565176,9484826,9909154,1676032,0.489060316654962,-0.017146731162178998,-0.016574990687223897
2026-04-30,2026-04-01 00:00:00,30,1,232895,1312544,21056418,2871772417.869034,-48509475.16395456,1652693.9332151306,-46856781.23074218,9479824,9904376,1672218,0.48904901930438194,-0.01689182431801141,-0.016316328180877134
2026-05-01,2026-04-02 00:00:00,30,1,231957,1309608,21014603,2869620450.730822,-48165879.92061839,1685501.7045645064,-46480378.21605697,9461076,9884235,1669292,0.4890630086019294,-0.01678475629358988,-0.016197395792959157
2026-05-02,2026-04-03 00:00:00,30,1,231398,1307688,20970425,2865773033.961749,-48007443.586473376,1664393.9797273718,-46343049.60674882,9441186,9860907,1668332,0.4891275780300095,-0.016752004788078468,-0.016171221187981696
2026-05-03,2026-04-04 00:00:00,30,1,231159,1307391,20925534,2850701046.968992,-47041568.37661934,1665363.8961387558,-45376204.48048297,9421190,9839217,1665127,0.48914802267677937,-0.01650175434096686,-0.015917559832774895
2026-05-04,2026-04-05 00:00:00,30,1,230542,1300120,20817720,2840128104.1733356,-46835572.12352109,1650580.443545181,-45184991.67997849,9373548,9787366,1656806,0.4892015067757206,-0.01649065478937378,-0.01590949070698003
2026-05-05,2026-04-06 00:00:00,30,1,231195,1299994,20851299,2865962653.4421644,-47625367.332530186,1660645.2941664248,-45964722.038366355,9388801,9802037,1660461,0.4892335081980266,-0.01661758127773568,-0.016038144106016325
2026-05-06,2026-04-07 00:00:00,30,1,234439,1306553,21014642,2900155316.937465,-47417600.910687976,1671131.4505545583,-45746469.46013558,9460301,9880434,1673907,0.48913864959113496,-0.01635002119843722,-0.015773799835121723
2026-05-07,2026-04-08 00:00:00,30,1,233613,1305277,20991534,2902903826.9782887,-47677469.784435205,1679032.9732892357,-45998436.81114822,9448611,9870998,1671925,0.48906843818630075,-0.016424061087157674,-0.015845663360824887
2026-05-08,2026-04-09 00:00:00,30,1,230592,1305213,20942869,2892904302.135096,-47462999.30326669,1700809.516516464,-45762189.78675241,9428456,9848662,1665751,0.4891009122836723,-0.01640669526061986,-0.015818770691093314
2026-05-09,2026-04-10 00:00:00,30,1,230299,1304937,20931383,2886912257.2535887,-46481457.81590147,1701416.3226821353,-44780041.49322093,9423557,9846137,1661689,0.48903511389438775,-0.016100751832381896,-0.015511396780663367
2026-05-10,2026-04-11 00:00:00,30,1,227728,1304727,20805459,2863181826.116514,-46485264.041110724,1704779.5498732806,-44780484.491239,9366016,9785996,1653447,0.4890356167278926,-0.01623552637038115,-0.015640112019004098
2026-05-11,2026-04-12 00:00:00,30,1,228177,1297770,20631022,2841256132.2041764,-45955464.099665016,1661749.837501172,-44293714.2621653,9287581,9701812,1641629,0.48909309528745865,-0.016174347528469354,-0.015589483031860042
2026-05-12,2026-04-13 00:00:00,30,1,227360,1297270,20537360,2834880637.7049203,-47143015.56961469,1673884.3434869773,-45469131.22612905,9239923,9660709,1636728,0.4888684674671196,-0.01662962981319066,-0.016039169558454573
2026-05-13,2026-04-14 00:00:00,30,1,231797,1307569,20729605,2863078340.080119,-47936115.09309727,1709870.5715297505,-46226244.52156923,9328041,9752720,1648844,0.4888715392431151,-0.016742858350063814,-0.016145644313831684
2026-05-14,2026-04-15 00:00:00,30,1,231186,1306468,20672465,2854458969.4239597,-46749671.36199364,1687754.8729424118,-45061916.48905213,9303231,9725548,1643686,0.4889032028802268,-0.016377769609849355,-0.015786499988873826
2026-05-15,2026-04-16 00:00:00,30,1,228205,1305581,20585079,2839690380.935347,-46428254.05406169,1639664.8719060067,-44788589.18215668,9261258,9685106,1638715,0.4888145292679904,-0.01634975924338941,-0.01577234950783756
2026-05-16,2026-04-17 00:00:00,30,1,228103,1305219,20541490,2835060870.6436934,-45515251.86942281,1632914.817393372,-43882337.052030414,9241222,9664240,1636028,0.48881228081069905,-0.016054417857733223,-0.015478446161922104
2026-05-17,2026-04-18 00:00:00,30,1,228017,1304373,20456080,2842060696.849161,-46712270.5807868,1588517.3236697495,-45123753.25711841,9202423,9623703,1629954,0.48881129341214435,-0.016436056637556744,-0.015877125111066304
2026-05-18,2026-04-19 00:00:00,30,1,226735,1296816,20265139,2822614783.1364164,-46229628.006806605,1592275.4266685108,-44637352.58013859,9116551,9534215,1614373,0.4888030336126677,-0.01637829869063374,-0.015814185076483838
2026-05-19,2026-04-20 00:00:00,30,1,226626,1296532,20239695,2815085823.1576514,-45694094.38323037,1582170.2323355526,-44111924.15089549,9105989,9522634,1611072,0.4888170746705218,-0.01623186547541055,-0.015669832794445896
2026-05-20,2026-04-21 00:00:00,30,1,229756,1307898,20458883,2853039536.8376226,-47006803.53205429,1618222.581384017,-45388580.9506716,9205069,9627470,1626344,0.48878534115872535,-0.016476043505572222,-0.015908851021735712
2026-05-21,2026-04-22 00:00:00,30,1,228391,1308247,20409695,2844158521.507919,-48032544.539131485,1586899.170407545,-46445645.36872429,9183069,9604901,1621725,0.48877388030745206,-0.016888139031598543,-0.016330188706957054
2026-05-22,2026-04-23 00:00:00,30,1,226613,1308068,20292220,2842764270.913078,-48472819.22421314,1578428.1655248727,-46894391.05868872,9128915,9550797,1612508,0.48870748114317825,-0.017051297471332005,-0.016496053344453546
2026-05-23,2026-04-24 00:00:00,30,1,226837,1308256,20227401,2849047033.1482515,-47473073.89510526,1564430.7761691692,-45908643.118936464,9102292,9519344,1605765,0.488801950591237,-0.016662790520045084,-0.016113683833505036
2026-05-24,2026-04-25 00:00:00,30,1,222028,1308850,20093064,2857618857.6847568,-47337012.13153246,1548787.8127756848,-45788224.318757206,9043398,9454848,1594818,0.4888786753079184,-0.01656519448149391,-0.016023209041899602
2026-05-25,2026-04-26 00:00:00,30,1,220279,1299995,19863168,2848521822.878414,-45677579.41192062,1552156.7101185776,-44125422.70180177,8941645,9345900,1575623,0.4889472589131018,-0.016035537816509935,-0.015490638810417571
2026-05-26,2026-04-27 00:00:00,30,1,220365,1299888,19837080,2844014252.0258584,-44548641.02373045,1555759.3095249597,-42992881.71420577,8929340,9331793,1575947,0.488980612539211,-0.015664000625874995,-0.015116971261160498
2026-05-27,2026-04-28 00:00:00,30,1,220993,1308436,19895511,2859071352.0546865,-45994381.26850312,1560826.5276028602,-44433554.74090033,8954493,9360411,1580607,0.48891836943289463,-0.016087175031658102,-0.015541254228918744
2026-05-28,2026-04-29 00:00:00,30,1,220748,1310070,19797523,2848209474.7547626,-46340793.3307386,1509245.3658294994,-44831547.964909054,8908597,9316774,1572152,0.48880195634975004,-0.01627014927851423,-0.015740256593581185
2026-05-29,2026-04-30 00:00:00,30,1,220639,1310180,19723644,2832863111.265269,-45330319.47618897,1495222.1271215158,-43835097.349067226,8876633,9279392,1567619,0.4889083926685494,-0.016001591921588707,-0.015473778868717994
2026-05-30,2026-05-01 00:00:00,30,1,219677,1310742,19661859,2814047899.357642,-44629805.94594048,1483756.0424962682,-43146049.90344395,8849005,9249110,1563744,0.48894622451012165,-0.015859646865331627,-0.015332379350505307
2026-05-31,2026-05-02 00:00:00,30,1,217521,1314284,19586569,2793261847.233458,-44733827.923428014,1464131.6627184083,-43269696.26070952,8814761,9213718,1558090,0.48893536720429936,-0.016014906718370827,-0.015490741157534264
2026-06-01,2026-05-03 00:00:00,30,1,215924,1309309,19427677,2771160490.8613586,-44733918.64735802,1458077.7315949611,-43275840.91576215,8743558,9140264,1543855,0.4889088026038282,-0.016142666148308647,-0.01561650473095145
2026-06-02,2026-05-04 00:00:00,30,1,216850,1311493,19439208,2791536452.3244615,-45848177.66280426,1451167.2103881207,-44397010.45241558,8749370,9145394,1544444,0.4889346403227223,-0.016423993899355074,-0.01590414856143003
2026-06-03,2026-05-05 00:00:00,30,1,217087,1319433,19499674,2795812595.9605465,-45261309.46235514,1462140.39999913,-43799169.06235502,8779636,9171613,1548425,0.48908218029842937,-0.0161889639984274,-0.015665988888395828
2026-06-04,2026-05-06 00:00:00,30,1,215960,1319697,19409468,2771721125.1182866,-45293585.64499346,1461185.8594153349,-43832399.78557793,8739336,9129081,1541051,0.489094025508807,-0.01634132136690357,-0.01581414500483245
2026-06-05,2026-05-07 00:00:00,30,1,212388,1320264,19287699,2758125046.5596457,-45449957.471054144,1484618.5191724298,-43965338.95188087,8685558,9070093,1532048,0.4891714756051468,-0.016478570298234397,-0.01594029937356218
2026-06-06,2026-05-08 00:00:00,30,1,211758,1321706,19235113,2746208095.363167,-44755188.39445131,1497016.2112039505,-43258172.18324603,8662616,9043924,1528573,0.48923256604621795,-0.01629708559595982,-0.015751964410958247
2026-06-07,2026-05-09 00:00:00,30,1,210768,1320730,19137489,2733076042.2077208,-45919196.9511637,1484774.5139450254,-44434422.437217936,8620497,8996963,1520029,0.4893155426491674,-0.016801287721973205,-0.01625802639626695
2026-06-08,2026-05-10 00:00:00,30,1,209085,1313482,18910965,2705428340.0663013,-45888944.55116664,1486805.6428010245,-44402138.90836467,8519403,8887450,1504112,0.4894281005302911,-0.01696180374529604,-0.016412239884822273
2026-06-09,2026-05-11 00:00:00,30,1,208053,1314192,18810038,2710131578.866595,-46558096.81372778,1526627.8875089213,-45031468.92621866,8475855,8840017,1494166,0.48948473400588777,-0.017179275418501585,-0.01661597144484449
2026-06-10,2026-05-12 00:00:00,30,1,211560,1321776,18931477,2728620636.350009,-46423408.503623076,1570380.582680796,-44853027.920941174,8530211,8897469,1503797,0.48946337091339753,-0.017013507808737467,-0.01643798603712815
2026-06-11,2026-05-13 00:00:00,30,1,211705,1322538,18900953,2742812907.163441,-46465872.914476186,1560430.3638308975,-44905442.55064432,8518039,8882052,1500862,0.4895399110269021,-0.016940956050309024,-0.016372039971579606
2026-06-12,2026-05-14 00:00:00,30,1,208525,1323051,18836358,2755109299.3032107,-45785493.47318153,1570260.7671582354,-44215232.70602182,8487736,8852301,1496321,0.4894877675289851,-0.016618394589558043,-0.016048449590440644
2026-06-13,2026-05-15 00:00:00,30,1,209186,1324210,18811407,2764543047.658963,-47502009.81719634,1575378.8554653581,-45926630.96172996,8474747,8843736,1492924,0.4893469595460526,-0.01718259003325031,-0.01661273858644415
2026-06-14,2026-05-16 00:00:00,30,1,209182,1325085,18782706,2758020117.1050925,-47031689.15309856,1601141.023499576,-45430548.129597366,8464064,8828435,1490207,0.489464478211044,-0.01705269981948665,-0.016472159810524786
2026-06-15,2026-05-17 00:00:00,30,1,208250,1318439,18640211,2751486015.3244896,-46989201.7915955,1601568.6062233038,-45387633.1853711,8398666,8761788,1479757,0.4894198020635118,-0.017077754177156502,-0.016495680127968385
2026-06-16,2026-05-18 00:00:00,30,1,208735,1319238,18662013,2756208793.934728,-46779019.879584834,1612780.4782057146,-45166239.40137785,8407818,8772417,1481778,0.48938899846247735,-0.016972233737344588,-0.01638708921500069
2026-06-17,2026-05-19 00:00:00,30,1,212483,1326865,18840281,2798036404.6298113,-48205938.87388346,1681565.4712308461,-46524373.40265111,8488950,8856467,1494864,0.48940593356735096,-0.01722848880526315,-0.016627508250310424
2026-06-18,2026-05-20 00:00:00,30,1,213370,1327093,18851617,2810961838.389039,-48103656.028491795,1676863.7511597706,-46426792.27733118,8493824,8862817,1494976,0.4893702646727555,-0.01711288121081714,-0.01651633673687237
2026-06-19,2026-05-21 00:00:00,30,1,212093,1327325,18835026,2824445662.4322066,-48433278.348081395,1679351.968140019,-46753926.3799399,8487773,8853033,1494220,0.489468194269632,-0.017147888165203427,-0.016553310620137342
2026-06-20,2026-05-22 00:00:00,30,1,212692,1327770,18875629,2826470509.293877,-48450396.721918926,1729791.5907587302,-46720605.13115881,8505749,8871938,1497942,0.4894638164446166,-0.017141660089007277,-0.01652966304708793
2026-06-21,2026-05-23 00:00:00,30,1,212970,1328257,18967146,2832024207.342319,-48587173.58006648,1744528.805497152,-46842644.774567775,8547507,8911328,1508311,0.48958060489144895,-0.017156341197260654,-0.016540340528560214
2026-06-22,2026-05-24 00:00:00,30,1,211760,1320962,18895926,2811160747.395645,-48551547.57307658,1774603.6571148608,-46776943.91595986,8514563,8877080,1504283,0.4895778391955263,-0.017270996551177795,-0.016639725764275703
2026-06-23,2026-05-25 00:00:00,30,1,211503,1320772,18938017,2807480578.1921573,-49742011.168050684,1859304.9861371513,-47882706.18191146,8531323,8896037,1510657,0.4895361661203992,-0.017717668843173776,-0.017055400686955043
2026-06-24,2026-05-26 00:00:00,30,1,213800,1330175,19158507,2842693923.898464,-53015475.77909399,1939305.175608683,-51076170.60348356,8630696,8999458,1528353,0.48954172493331594,-0.01864973057190367,-0.017967523754171117
2026-06-25,2026-05-27 00:00:00,30,1,213571,1330858,19217616,2848979077.3095965,-54296121.599497125,1951609.0387836753,-52344512.560711294,8656359,9028746,1532511,0.48947173341634104,-0.019058097699605116,-0.018373077211273268
2026-06-26,2026-05-28 00:00:00,30,1,213183,1330956,19266920,2881874065.1848397,-55108648.91622341,1986728.0300566677,-53121920.88616522,8678818,9052724,1535378,0.48945647253916214,-0.019122504200296764,-0.018433116674984908
2026-06-27,2026-05-29 00:00:00,30,1,213174,1331065,19312605,2887352878.1296496,-54810438.189040385,2021157.3541469905,-52789280.83489163,8701206,9072026,1539373,0.4895680200427249,-0.018982937140868326,-0.018282933559921197
2026-06-28,2026-05-30 00:00:00,30,1,212434,1331156,19328910,2905027516.710317,-55936505.3113102,2045953.8173013283,-53890551.49400728,8707077,9080648,1541185,0.4894991911556987,-0.01925506901038007,-0.018550788653125563
2026-06-29,2026-05-31 00:00:00,30,1,211477,1323806,19190470,2891885829.5083084,-55718210.70392571,2041470.6203606292,-53676740.08356336,8644956,9014758,1530756,0.48952978513695067,-0.019267085213180483,-0.018561154640288728
2026-06-30,2026-06-01 00:00:00,30,1,211613,1323908,19198574,2909004786.056459,-55584443.68579096,2073756.311174011,-53510687.37461504,8647058,9020178,1531338,0.48944034029997674,-0.019107718197034333,-0.018394843360555576
2026-07-01,2026-06-02 00:00:00,30,1,213013,1331753,19391549,2970583911.267766,-55543659.97931823,2112168.7142613595,-53431491.26505657,8733637,9112737,1545175,0.48937879481848806,-0.01869789295250498,-0.017986864825593644
2026-07-02,2026-06-03 00:00:00,30,1,211820,1332130,19392237,2975481838.895703,-53630239.93119899,2134809.043199698,-51495430.88799784,8734203,9114331,1543703,0.48935128229578967,-0.01802405218211747,-0.017306585513259073
2026-07-03,2026-06-04 00:00:00,30,1,211666,1332396,19431060,2991032621.096376,-55000203.75039849,2147549.98419837,-52852653.76619827,8751458,9133183,1546419,0.48932813356443666,-0.018388366399774644,-0.01767037022378743
2026-07-04,2026-06-05 00:00:00,30,1,211462,1332590,19472626,3008855406.725781,-55661085.14139574,2163348.0107138827,-53497737.13068059,8768697,9153229,1550700,0.4892720235537185,-0.018499089393586316,-0.017780095717160604
2026-07-05,2026-06-06 00:00:00,30,1,210978,1332659,19479484,3034687751.624564,-56609500.34877734,2160496.279125876,-54449004.0696502,8772728,9158379,1548377,0.4892463136826968,-0.018654143352465995,-0.01794220971844696
2026-07-06,2026-06-07 00:00:00,30,1,209656,1325433,19390400,3034896982.720158,-55856453.088798694,2214461.8362366534,-53641991.252561145,8735208,9116581,1538611,0.4893183534714644,-0.01840472787275136,-0.01767506164393171
2026-07-07,2026-06-08 00:00:00,30,1,209793,1326452,19437521,3058574469.988569,-56483923.346875645,2249843.7793923817,-54234079.56748246,8756301,9138418,1542802,0.48932319082518144,-0.018467401693536906,-0.017731815948782557
2026-07-08,2026-06-09 00:00:00,30,1,210801,1333648,19606008,3105234606.90413,-57263444.063619345,2287396.667066298,-54976047.396552294,8831107,9219175,1555726,0.4892503618503024,-0.018440939675314936,-0.017704313636824544
2026-07-09,2026-06-10 00:00:00,30,1,210925,1333237,19637652,3116753568.9918427,-56885589.08840635,2266504.4193813037,-54619084.66902477,8845063,9235644,1556945,0.4891989566558432,-0.018251551760252505,-0.017524351367532748
2026-07-10,2026-06-11 00:00:00,30,1,205995,1332898,19623856,3131364392.6509385,-57711460.08264216,2267034.325687555,-55444425.7569543,8838987,9228147,1556722,0.4892301678838492,-0.018430132314874097,-0.01770615578534326
2026-07-11,2026-06-12 00:00:00,30,1,206135,1332974,19731768,3133092099.314474,-56862042.478848815,2275229.6018134383,-54586812.8770349,8888996,9277097,1565675,0.4893179837844054,-0.018148857638525955,-0.017422664622268394
2026-07-12,2026-06-13 00:00:00,30,1,205465,1333024,19762599,3138693838.6203585,-57106405.4260691,2257159.91975962,-54849245.50630944,8904776,9290297,1567526,0.4894058957609019,-0.01819432170267704,-0.01747518181971483
2026-07-13,2026-06-14 00:00:00,30,1,203850,1325353,19637214,3124792188.712626,-55449422.9851455,2253505.428881542,-53195917.55626406,8848539,9231920,1556755,0.48939791849310904,-0.01774499539055426,-0.017023825695807338
2026-07-14,2026-06-15 00:00:00,30,1,203710,1325358,19645699,3166345752.10781,-55437666.983779065,2278528.057525135,-53159138.926254,8851083,9237474,1557142,0.48931946312798746,-0.017508406006158574,-0.016788797903976974
2026-07-15,2026-06-16 00:00:00,30,1,208280,1332607,19873210,3221446123.050961,-56691143.4316196,2306950.940570302,-54384192.491049446,8953819,9344537,1574854,0.4893236856906708,-0.017598041769492225,-0.01688191899343124
2026-07-16,2026-06-17 00:00:00,30,1,208038,1332965,19927144,3262374228.2718883,-58287986.93793642,2353957.72788163,-55934029.21005502,8977394,9367701,1582049,0.4893620883402348,-0.017866738411801437,-0.017145190985549143
2026-07-17,2026-06-18 00:00:00,30,1,205144,1333103,19884997,3244191101.864865,-56732913.665474586,2306352.335771738,-54426561.329703085,8959130,9346187,1579680,0.4894277438626165,-0.017487537535277344,-0.016776620001952708
2026-07-18,2026-06-19 00:00:00,30,1,204330,1333560,19919644,3240469958.0920568,-58115010.19417335,2298662.4747447623,-55816347.71942893,8974650,9360535,1584459,0.4894769264667905,-0.01793413021745483,-0.017224769382615357
2026-07-19,2026-06-20 00:00:00,30,1,203357,1333717,19925013,3225908040.732454,-57246966.2371854,2320704.070851039,-54926262.16633469,8975473,9362406,1587134,0.4894498976681,-0.017746000665346703,-0.01702660505904052
2026-07-20,2026-06-21 00:00:00,30,1,201940,1326332,19790590,3207340754.919397,-56650985.48147249,2277159.7936045565,-54373825.687868826,8915929,9298410,1576251,0.48950055228465883,-0.017662914485959,-0.0169529307431618
2026-07-21,2026-06-22 00:00:00,30,1,201582,1326345,19769695,3218255091.0711155,-57713205.79960104,2288309.1498876167,-55424896.64971402,8905614,9289310,1574771,0.48945596035465716,-0.017933073720515003,-0.017222033394272432
2026-07-22,2026-06-23 00:00:00,30,1,203923,1333734,19936672,3245115148.024419,-56762445.14312923,2310489.318972304,-54451955.82415793,8981235,9366925,1588512,0.48948968179915586,-0.017491658247531038,-0.016779668313867853
2026-07-23,2026-06-24 00:00:00,30,1,203161,1334275,19962388,3251411217.4906316,-55443507.23395367,2265003.3157775,-53178503.918177046,8994690,9378112,1589586,0.48956550013438344,-0.017052136295680177,-0.01635551468608731
