"uid1","uid2","n_same_orders","rounds_1","rounds_2","same_rate","jaccard","lift","exp_same","n_tables","first_day","last_day",".sr",".so","相对倍数"
151870284,151870287,307,312,349,0.9839744,0.8672316,211.5352151,1.451295,12,2026-06-21,2026-07-14,0.9839744,307,45.7717863555593
147401563,147449329,263,550,588,0.4781818,0.3005714,210.5492373,1.249114,29,2026-03-21,2026-04-08,0.4781818,263,22.2437038897727
126516033,148571655,214,300,402,0.7133333,0.4385246,194.5499469,1.0999746,10,2026-04-19,2026-06-07,0.7133333,214,33.1823057672091
148905773,148905924,564,963,700,0.8057143,0.5131938,194.1457684,2.9050337,11,2026-04-20,2026-05-12,0.8057143,564,37.4796161396262
141610000,148891554,325,6777,576,0.5642361,0.0462436,193.2877757,1.6814307,29,2026-04-24,2026-04-28,0.5642361,325,26.2467135560579
78791553,78795288,1896,2764,2275,0.8334066,0.6032453,188.8912969,10.0375191,22,2026-03-22,2026-08-06,0.8334066,1896,38.7677858717798
110155029,111648386,203,357,520,0.5686275,0.3011869,186.4349559,1.0888516,4,2026-03-23,2026-08-06,0.5686275,203,26.4509894219766
78791553,78795292,1727,2764,1985,0.8700252,0.5714758,184.2674008,9.3722492,22,2026-03-22,2026-08-06,0.8700252,1727,40.4711825616121
126813269,128113514,327,329,328,0.9969512,0.9909091,184.115868,1.7760555,19,2026-03-21,2026-05-09,0.9969512,327,46.3754314475239
78791553,78795291,1285,2764,1547,0.8306399,0.424653,183.7560194,6.9929682,22,2026-03-28,2026-08-06,0.8306399,1285,38.6390865872152
116868944,144227719,394,568,813,0.693662,0.3991895,179.6815468,2.1927683,29,2026-05-11,2026-06-29,0.693662,394,32.2672509233675
142025491,67384754,210,420,1128,0.5,0.1569507,179.4005919,1.1705647,8,2026-03-22,2026-08-06,0.5,210,23.2586266246151
142059488,142061951,169,394,1040,0.428934,0.1335968,167.9317859,1.006361,7,2026-03-24,2026-07-09,0.428934,169,19.9528315052053
135210831,136295881,869,1835,1800,0.4827778,0.3141721,155.2334076,5.5980218,28,2026-03-22,2026-06-11,0.4827778,869,22.4574971857062
148989734,149038119,425,462,451,0.9423503,0.8709016,150.7957563,2.8183817,13,2026-04-23,2026-05-07,0.9423503,425,43.835547554588
142825390,67384754,286,767,1128,0.3728814,0.1777502,150.0161739,1.9064611,9,2026-03-22,2026-08-06,0.3728814,286,17.3454185157275
142059493,142061951,244,399,1040,0.6115288,0.2041841,147.690335,1.6521054,8,2026-03-25,2026-08-05,0.6115288,244,28.4466400587978
142065336,67384754,279,717,1128,0.3891213,0.1781609,146.7400283,1.9013217,6,2026-04-05,2026-08-06,0.3891213,279,18.1008540567697
136201768,136295881,503,1098,1800,0.4581056,0.2100209,145.9453565,3.4464954,26,2026-04-06,2026-06-04,0.4581056,503,21.3098142100905
142197172,67384754,181,490,1128,0.3693878,0.1259569,141.993181,1.2747091,5,2026-03-30,2026-08-04,0.3693878,181,17.182905839776
135210831,135331469,498,1835,992,0.5020161,0.2138257,141.7191858,3.5139914,25,2026-03-23,2026-06-10,0.5020161,498,23.3524100588908
148552125,92997434,254,307,474,0.8273616,0.4819734,140.260997,1.8109097,14,2026-04-12,2026-07-05,0.8273616,254,38.4865890758882
147678066,148105311,305,317,336,0.9621451,0.8764368,138.2449545,2.2062288,6,2026-04-03,2026-04-12,0.9621451,305,44.7563472792059
150822326,150974922,170,413,310,0.5483871,0.3074141,137.2994237,1.2381698,20,2026-06-05,2026-06-12,0.5483871,170,25.5094616093109
143663638,152511511,324,442,324,1,0.7330317,132.2449088,2.4499998,16,2026-07-03,2026-07-17,1,324,46.5172532492301
151624019,151836432,541,834,543,0.9963168,0.6471292,132.0202146,4.0978573,29,2026-06-21,2026-06-23,0.9963168,541,46.3459209020626
123363956,140580011,1185,12888,1958,0.6052094,0.0867433,129.1057789,9.1785202,29,2026-04-18,2026-06-16,0.6052094,1185,28.1526789286146
148556037,87392257,215,736,301,0.7142857,0.2615572,127.8389538,1.6818035,10,2026-04-19,2026-07-05,0.7142857,215,33.2266087992036
151679171,151679173,694,1059,709,0.9788434,0.6461825,125.3083642,5.5383374,29,2026-06-17,2026-06-21,0.9788434,694,45.5331063291375
140102937,147981022,382,608,922,0.6282895,0.3327526,123.6460355,3.0894642,10,2026-04-05,2026-07-10,0.6282895,382,29.2263017853322
107423035,142243135,199,964,535,0.3719626,0.1530769,122.3180913,1.6269057,8,2026-03-26,2026-08-06,0.3719626,199,17.3026784634421
106038738,148552125,207,698,307,0.6742671,0.2593985,122.0671956,1.6957873,12,2026-04-12,2026-06-14,0.6742671,207,31.365053448324
140102937,148516965,393,608,871,0.6463816,0.3618785,120.0889245,3.2725749,11,2026-04-12,2026-08-03,0.6463816,393,30.0678965828426
149021137,149060404,218,325,768,0.6707692,0.2491429,119.6296836,1.8222902,15,2026-04-23,2026-05-01,0.6707692,218,31.2023407481835
152841456,152843071,220,416,402,0.5472637,0.367893,116.9524488,1.8811064,27,2026-07-10,2026-07-11,0.5472637,220,25.4572041270107
124908239,145028952,551,5235,1146,0.4808028,0.0945111,116.0120872,4.7495051,26,2026-04-21,2026-05-10,0.4808028,551,22.3656256105389
107423035,142197172,182,964,490,0.3714286,0.1430818,115.1083068,1.5811196,8,2026-03-22,2026-07-23,0.3714286,182,17.277838250207
140102937,143467913,177,608,300,0.59,0.2421341,113.9301786,1.5535831,10,2026-03-21,2026-07-14,0.59,177,27.4451794170458
123363956,136690725,195,12888,330,0.5909091,0.0149735,113.2672155,1.7215926,30,2026-03-22,2026-04-12,0.5909091,195,27.4874682519747
147981022,148516965,612,922,871,0.7026406,0.5182049,113.2260349,5.4051173,13,2026-04-11,2026-07-10,0.7026406,612,32.684910733391
141873121,149216885,242,662,729,0.3655589,0.2106179,109.1848556,2.2164246,15,2026-04-27,2026-06-10,0.3655589,242,17.00479592881
151735094,151896473,286,1481,412,0.6941748,0.1779714,108.4159389,2.6379885,27,2026-06-22,2026-06-28,0.6941748,286,32.2911049708337
146376198,148516965,353,423,871,0.8345154,0.3751328,108.3166373,3.2589638,12,2026-04-11,2026-06-23,0.8345154,353,38.8193642021826
122846385,136033783,301,465,1825,0.6473118,0.1513323,104.8373887,2.8711131,9,2026-03-22,2026-06-19,0.6473118,301,30.111166931815
144695251,149933001,221,535,342,0.6461988,0.3368902,104.7902616,2.1089746,29,2026-05-12,2026-05-12,0.6461988,221,30.0593932289486
149060404,149513709,296,768,442,0.6696833,0.3238512,102.051483,2.9004968,12,2026-05-03,2026-05-05,0.6696833,296,31.1518276628802
146376198,147981022,392,423,922,0.9267139,0.4113326,100.1821833,3.9128714,12,2026-03-30,2026-06-23,0.9267139,392,43.1081851758817
153108031,153428335,186,5718,367,0.506812,0.0315308,98.0747918,1.8965118,25,2026-07-24,2026-07-24,0.506812,186,23.5755021537488
123363956,145028952,486,12888,1146,0.4240838,0.0358725,96.1068081,5.0568738,27,2026-04-21,2026-05-26,0.4240838,486,19.7272135234959
151624019,151644594,544,834,1494,0.6522782,0.3049327,95.6355066,5.6882639,28,2026-06-19,2026-06-23,0.6522782,544,30.342190218352
142751124,142751138,345,1024,345,1,0.3369141,95.583012,3.609428,7,2026-04-26,2026-05-13,1,345,46.5172532492301
134570649,134634730,1261,1279,1274,0.9897959,0.9760062,95.531026,13.1999001,11,2026-03-25,2026-06-19,0.9897959,1261,46.0425865453497
137001455,99076666,293,484,667,0.6053719,0.3414918,95.3620209,3.072502,9,2026-03-24,2026-05-30,0.6053719,293,28.1602379822676
149531262,149835432,861,1183,1034,0.8326886,0.6349558,94.7212465,9.0898297,23,2026-06-22,2026-06-28,0.8326886,861,38.7343864839469
152736496,153588834,218,2584,337,0.6468843,0.0806511,94.6613927,2.3029452,28,2026-07-29,2026-07-29,0.6468843,218,30.091280806051
147136480,149236547,235,3976,350,0.6714286,0.0574432,94.4944631,2.4869182,20,2026-04-27,2026-04-29,0.6714286,235,31.233014224976
108907557,133499546,298,595,1169,0.5008403,0.2032742,94.1149778,3.1663398,28,2026-03-30,2026-04-21,0.5008403,298,23.2977150725204
143467913,147981022,226,300,922,0.7533333,0.2269076,94.0396465,2.4032417,11,2026-03-30,2026-07-08,0.7533333,226,35.0429958971783
152795819,152973313,205,575,321,0.6386293,0.2966715,93.8259847,2.1848958,29,2026-07-13,2026-07-14,0.6386293,205,29.7072808804786
153357685,153360094,280,363,370,0.7713499,0.6181015,89.696706,3.1216308,26,2026-07-23,2026-07-23,0.7713499,280,35.8810786420683
153132850,153132851,192,303,310,0.6336634,0.456057,89.2082752,2.1522667,24,2026-07-17,2026-07-17,0.6336634,192,29.4762808525682
149617555,149698577,239,379,378,0.6322751,0.46139,89.0549725,2.6837356,19,2026-05-09,2026-05-10,0.6322751,239,29.4117009498823
106038738,92997434,208,698,474,0.4388186,0.2157676,88.7682816,2.3431793,12,2026-04-12,2026-06-14,0.4388186,208,20.4126359466726
149020220,150921525,515,1925,589,0.8743633,0.2576288,88.5118464,5.8184302,7,2026-06-02,2026-06-23,0.8743633,515,40.6729790579326
149492715,149847884,366,550,583,0.6654545,0.4771838,86.8281176,4.2152244,20,2026-06-25,2026-06-28,0.6654545,366,30.9551155023398
134594656,150830969,221,2272,512,0.4316406,0.0862271,86.4459143,2.5565118,28,2026-07-13,2026-07-14,0.4316406,221,20.0787351028496
151644594,151836432,312,1494,543,0.5745856,0.1808696,86.3516797,3.6131318,27,2026-06-21,2026-06-23,0.5745856,312,26.7281438685608
152659043,152669980,292,617,1662,0.4732577,0.1469552,86.1873879,3.3879667,29,2026-07-07,2026-07-14,0.4732577,292,22.0146482830482
140580011,145302805,935,1958,10890,0.4775281,0.0784857,85.3927812,10.9494033,29,2026-04-25,2026-06-16,0.4775281,935,22.2132955613237
151679171,151735094,509,1059,1481,0.4806421,0.2506155,85.3751783,5.9619202,28,2026-06-19,2026-06-21,0.4806421,509,22.3581502879418
149514020,149841438,969,1192,1167,0.8303342,0.6971223,85.2631092,11.3648213,23,2026-06-23,2026-06-28,0.8303342,969,38.6248662628969
148738271,153822880,223,12481,357,0.6246499,0.0176774,84.4383013,2.6409816,17,2026-08-04,2026-08-04,0.6246499,223,29.0569975904063
124908239,140624031,2515,5235,6948,0.4804202,0.2601365,83.198269,30.2289943,30,2026-03-22,2026-04-11,0.4804202,2515,22.3478281094458
142751137,142751138,199,441,345,0.5768116,0.3390119,83.030983,2.3966957,5,2026-04-26,2026-05-12,0.5768116,199,26.8316912742936
51576226,51576495,2327,7291,4415,0.5270668,0.2481075,81.8045454,28.4458521,29,2026-03-30,2026-08-05,0.5270668,2327,24.5176998148613
149020219,149020220,695,761,1925,0.913272,0.3490708,81.6337308,8.5136376,12,2026-04-22,2026-05-07,0.913272,695,42.4829049094309
142751124,142751137,441,1024,441,1,0.4306641,81.4918576,5.4115836,7,2026-03-23,2026-05-23,1,441,46.5172532492301
123363956,145302805,5167,12888,10890,0.474472,0.2776315,81.2100876,63.6251007,29,2026-04-23,2026-06-16,0.474472,5167,22.0711341836687
51576226,51576515,1821,7291,4841,0.376162,0.1766075,80.354792,22.6619963,29,2026-03-30,2026-08-05,0.376162,1821,17.4980230167369
152986548,152986550,1344,1446,1425,0.9431579,0.8801572,80.2460549,16.7484869,13,2026-07-14,2026-08-06,0.9431579,1344,43.8731148883121
123363956,140624031,2502,12888,6948,0.3601036,0.1443406,79.9780774,31.2835727,30,2026-03-22,2026-04-12,0.3601036,2502,16.7510303571595
150822326,151300270,187,413,386,0.484456,0.3055556,79.3461908,2.3567609,20,2026-06-11,2026-06-14,0.484456,187,22.535562440109
141586189,144837544,2710,3835,7541,0.7066493,0.3127164,78.3648033,34.5818516,18,2026-03-21,2026-06-21,0.7066493,2710,32.8713844464912
142751124,142795975,333,1024,333,1,0.3251953,78.1574464,4.2606305,6,2026-03-23,2026-04-06,1,333,46.5172532492301
151644594,151896473,304,1494,412,0.7378641,0.1897628,77.8977688,3.9025508,28,2026-06-22,2026-06-28,0.7378641,304,34.3234112032153
150582448,150582450,168,331,375,0.5075529,0.3122677,77.5150127,2.1673221,29,2026-05-26,2026-05-26,0.5075529,168,23.6099667866812
142119360,90016701,221,1509,408,0.5416667,0.1303066,77.3057255,2.8587792,3,2026-03-25,2026-07-30,0.5416667,221,25.1968470605748
139548995,150656998,941,1238,1076,0.8745353,0.6853605,76.2203623,12.3457823,23,2026-07-05,2026-07-22,0.8745353,941,40.6809800254915
124732775,142119360,196,362,1509,0.5414365,0.1170149,76.0231779,2.5781611,3,2026-03-23,2026-07-29,0.5414365,196,25.1861387888768
151644594,151735094,629,1494,1481,0.424713,0.2681159,75.6454369,8.3151083,29,2026-06-19,2026-06-29,0.424713,629,19.7564821792403
119145005,129993438,244,757,639,0.3818466,0.2118056,75.4970677,3.2319136,9,2026-03-25,2026-08-05,0.3818466,244,17.7624549945575
153421083,153421337,217,352,385,0.6164773,0.4173077,75.017751,2.8926487,22,2026-07-24,2026-07-24,0.6164773,217,28.6768306865016
124571633,142061296,284,820,1125,0.3463415,0.1709813,74.4952716,3.8123225,3,2026-04-06,2026-08-02,0.3463415,284,16.1108552662182
153656868,153656926,170,319,320,0.5329154,0.3624733,74.3975006,2.285023,29,2026-07-30,2026-07-30,0.5329154,170,24.7897606222148
141412004,142061296,242,698,1125,0.3467049,0.1530677,73.9371444,3.2730504,3,2026-04-01,2026-08-04,0.3467049,242,16.127759636049
144297726,96252625,318,1275,625,0.5088,0.2010114,73.8096831,4.3083778,4,2026-04-01,2026-08-06,0.5088,318,23.6679784532083
126466982,142061296,183,434,1125,0.421659,0.1329942,73.6391426,2.4850914,5,2026-04-01,2026-08-04,0.421659,183,19.6144184878171
51576495,51576515,2209,4415,4841,0.5003398,0.3134667,73.5337011,30.0406476,29,2026-03-30,2026-08-05,0.5003398,2209,23.2744331872692
141230184,142119360,292,573,1509,0.5095986,0.1631285,72.7301765,4.0148397,5,2026-03-25,2026-08-05,0.5095986,292,23.7051271316531
143079177,152312664,192,315,1232,0.6095238,0.1416974,72.1007933,2.6629388,29,2026-07-01,2026-07-01,0.6095238,192,28.3533729660331
153893297,153893331,401,410,402,0.9975124,0.9756691,72.0171959,5.5681146,17,2026-08-06,2026-08-06,0.9975124,401,46.4015369300474
149689828,153520172,170,9969,340,0.5,0.0167669,71.9033115,2.3642861,28,2026-07-27,2026-07-27,0.5,170,23.2586266246151
126466982,142119360,224,434,1509,0.516129,0.1303083,71.2494617,3.1438834,5,2026-04-01,2026-08-04,0.516129,224,24.0089034022719
149634119,149723066,626,904,846,0.7399527,0.5569395,71.070052,8.8082108,19,2026-06-23,2026-06-28,0.7399527,626,34.4205671383516
141412004,142119360,360,698,1509,0.5157593,0.1949107,70.8214503,5.0832057,3,2026-03-23,2026-08-04,0.5157593,360,23.9917059737457
141584193,141588116,2619,8565,3552,0.7373311,0.2757423,69.9977855,37.4154694,16,2026-03-22,2026-06-23,0.7373311,2619,34.2986175072334
141584193,141621502,1636,8565,2546,0.6425766,0.1726649,69.693011,23.4743768,19,2026-05-08,2026-06-21,0.6425766,1636,29.8908984342293
126382184,142061296,257,740,1125,0.3472973,0.1598259,69.5517226,3.6950918,3,2026-04-06,2026-07-30,0.3472973,257,16.1553164568739
131035206,142061296,179,490,1125,0.3653061,0.1246518,69.3300751,2.5818521,5,2026-04-01,2026-08-02,0.3653061,179,16.9930363671886
141230184,142061296,233,573,1125,0.4066318,0.1590444,69.2559392,3.3643324,5,2026-04-09,2026-08-05,0.4066318,233,18.9153944197903
126382184,142119360,362,740,1509,0.4891892,0.1918389,69.1356035,5.2360865,3,2026-03-23,2026-07-30,0.4891892,362,22.7557379031883
153898045,153898076,391,400,422,0.9775,0.9071926,68.8065431,5.6825991,17,2026-08-06,2026-08-06,0.9775,391,45.4706150511225
153873125,153873129,396,405,397,0.9974811,0.9753695,68.7664144,5.7586251,17,2026-08-05,2026-08-05,0.9974811,396,46.4000809400207
153276310,153276445,186,369,317,0.5867508,0.372,68.7182488,2.7067046,28,2026-07-21,2026-07-21,0.5867508,186,27.2940355577884
124571633,142119360,395,820,1509,0.4817073,0.2042399,68.597697,5.7582108,3,2026-03-23,2026-08-02,0.4817073,395,22.4077004661029
146765429,147225523,4249,8385,8513,0.5067382,0.3359159,68.4433319,62.0805546,29,2026-03-23,2026-08-06,0.5067382,4249,23.572069180459
131035206,142119360,246,490,1509,0.5020408,0.1403309,68.1923948,3.6074404,5,2026-04-01,2026-08-02,0.5020408,246,23.3535590350461
145621723,145669607,413,938,3702,0.4402985,0.0977052,67.6011945,6.1093595,8,2026-04-11,2026-04-12,0.4402985,413,20.4814768297562
145595740,145621723,417,8241,938,0.4445629,0.0475919,67.5823508,6.17025,8,2026-04-11,2026-04-12,0.4445629,417,20.6798450045122
153896813,153896835,366,400,402,0.915,0.8394495,67.5222025,5.4204393,17,2026-08-06,2026-08-06,0.915,366,42.5632867230456
153873118,153873125,403,412,405,0.9950617,0.97343,67.4790067,5.9722278,17,2026-08-05,2026-08-05,0.9950617,403,46.2875370975095
153873118,153873129,394,412,397,0.9924433,0.9493976,67.2690089,5.8570805,17,2026-08-05,2026-08-05,0.9924433,394,46.1657363216017
153891118,153891125,419,439,423,0.9905437,0.9458239,67.0860597,6.2457089,17,2026-08-06,2026-08-06,0.9905437,419,46.0773721473294
153900811,153900854,382,414,409,0.9339853,0.8662132,67.0444769,5.6977102,17,2026-08-06,2026-08-06,0.9339853,382,43.4464307311582
148217000,149192839,385,984,2110,0.3912602,0.1421189,66.810561,5.762562,29,2026-05-02,2026-05-02,0.3912602,385,18.2003498097444
149020220,150205386,266,1925,301,0.8837209,0.1357143,66.6654938,3.9900702,5,2026-05-18,2026-05-27,0.8837209,266,41.1082689069376
144297726,88937986,470,1275,980,0.4795918,0.2633053,66.4058011,7.0776949,4,2026-03-31,2026-08-06,0.4795918,470,22.3092932168541
153872716,153872725,402,412,417,0.9757282,0.941452,65.6234208,6.1258617,17,2026-08-05,2026-08-05,0.9757282,402,45.3881957818155
153872701,153872716,410,426,412,0.9951456,0.9579439,65.51874,6.2577516,17,2026-08-05,2026-08-05,0.9951456,410,46.2914398950571
153895360,153895367,396,417,433,0.9496403,0.8722467,65.0673271,6.0860038,17,2026-08-06,2026-08-06,0.9496403,396,44.1746583307749
153854939,153855011,372,402,403,0.9253731,0.8591224,64.560857,5.7620053,17,2026-08-05,2026-08-05,0.9253731,372,43.0458148427252
153784141,153784210,369,410,396,0.9318182,0.8443936,64.1344754,5.7535358,17,2026-08-03,2026-08-03,0.9318182,369,43.3456231916418
128021311,145302805,3626,9551,10890,0.3796461,0.2156408,63.5062139,57.0967749,29,2026-04-25,2026-06-14,0.3796461,3626,17.6600937787825
148739858,153200637,247,33753,392,0.630102,0.0072866,63.4781204,3.8911045,24,2026-07-19,2026-07-19,0.630102,247,29.3106143068464
153872701,153872725,400,426,417,0.9592326,0.9029345,63.172007,6.3319185,17,2026-08-05,2026-08-05,0.9592326,400,44.6208657791175
153827061,153827085,378,394,401,0.9593909,0.9064748,63.0907066,5.9913737,17,2026-08-04,2026-08-04,0.9593909,378,44.6282294603068
149961529,153587778,187,2697,322,0.5807453,0.0660311,62.9287399,2.9716152,28,2026-07-29,2026-07-29,0.5807453,187,27.0146761934001
153854844,153854893,361,404,402,0.89801,0.811236,62.4855513,5.7773356,17,2026-08-05,2026-08-05,0.89801,361,41.7729585903412
153857834,153857866,398,424,421,0.9453682,0.8903803,62.4271344,6.3754328,17,2026-08-05,2026-08-05,0.9453682,398,43.9759319731688
147225523,152423565,880,8513,2360,0.3728814,0.0880616,61.6472081,14.2747746,24,2026-07-05,2026-08-02,0.3728814,880,17.3454185157275
153790662,153790685,410,434,429,0.955711,0.9050773,61.561959,6.659957,17,2026-08-03,2026-08-03,0.955711,410,44.457050620075
153817420,153817518,364,398,397,0.9168766,0.8445476,60.9221559,5.9748378,17,2026-08-04,2026-08-04,0.9168766,364,42.6505810004931
141584193,141588870,2185,8565,3496,0.625,0.2212434,60.7752876,35.9521129,16,2026-03-30,2026-06-23,0.625,2185,29.0732832807688
117518457,149267933,328,395,471,0.8303797,0.6096654,60.6854394,5.4049209,29,2026-04-28,2026-04-28,0.8303797,328,38.6269827979198
153889806,153889837,473,490,475,0.9957895,0.9613821,60.4173428,7.8288779,17,2026-08-06,2026-08-06,0.9957895,473,46.3213923544243
153854844,153855011,348,404,403,0.8635236,0.7581699,60.0789458,5.7923786,17,2026-08-05,2026-08-05,0.8635236,348,40.1687459878869
153884974,153885010,422,448,469,0.9419643,0.8525253,59.6362592,7.0762319,17,2026-08-06,2026-08-06,0.9419643,422,43.8175918948338
153789401,153789863,378,424,424,0.8915094,0.8042553,59.6335989,6.3387085,17,2026-08-03,2026-08-03,0.8915094,378,41.4705685338692
153852443,153852482,393,423,438,0.929078,0.8397436,59.4824725,6.6069883,17,2026-08-05,2026-08-05,0.929078,393,43.2181566142882
153857866,153857907,373,421,419,0.8902148,0.7987152,59.3447865,6.2853036,17,2026-08-05,2026-08-05,0.8902148,373,41.4103472978128
149227414,149228008,192,300,660,0.64,0.25,59.1093204,3.2482187,6,2026-04-27,2026-05-05,0.64,192,29.7710420795073
153857907,153857947,373,419,425,0.8902148,0.7919321,58.8552738,6.3375799,17,2026-08-05,2026-08-05,0.8902148,373,41.4103472978128
151599551,151735094,565,16045,1481,0.381499,0.0333117,58.7749362,9.6129411,29,2026-06-21,2026-06-28,0.381499,565,17.746285597328
148594927,149920906,708,1536,1025,0.6907317,0.3820831,58.6065712,12.0805566,15,2026-06-03,2026-08-06,0.6907317,708,32.1309414161713
146765426,152423565,882,8235,2360,0.3737288,0.0908061,58.5796079,15.056434,23,2026-07-08,2026-08-06,0.3737288,882,17.3848372361309
153852336,153852364,402,454,425,0.9458824,0.8427673,58.4466435,6.8780682,17,2026-08-05,2026-08-05,0.9458824,402,43.9998511447896
153854893,153854939,335,402,402,0.8333333,0.7142857,58.2664064,5.7494536,17,2026-08-05,2026-08-05,0.8333333,335,38.7643761571167
153360501,153360638,215,481,364,0.5906593,0.3412698,58.246303,3.6912214,24,2026-07-23,2026-07-23,0.5906593,215,27.475848242113
153380538,153381608,197,399,380,0.5184211,0.338488,58.1919324,3.385349,24,2026-07-23,2026-07-23,0.5184211,197,24.1155255984445
153854844,153854939,335,404,402,0.8333333,0.7112527,58.0412616,5.771756,17,2026-08-05,2026-08-05,0.8333333,335,38.7643761571167
153896165,153896210,387,433,459,0.8937644,0.7663366,57.8733007,6.6870214,17,2026-08-06,2026-08-06,0.8937644,387,41.5754649399462
153824787,153824845,432,453,436,0.9908257,0.9452954,57.8642367,7.4657513,17,2026-08-04,2026-08-04,0.9908257,432,46.0904900127457
136033783,148594927,593,1825,1536,0.3860677,0.2142341,57.8057108,10.258502,12,2026-04-14,2026-08-01,0.3860677,593,17.9588089722478
153357666,153359694,229,361,481,0.634349,0.3735726,57.7637464,3.9644243,26,2026-07-23,2026-07-23,0.634349,229,29.5081730813959
144466329,146689241,254,614,316,0.8037975,0.3757396,57.5623983,4.4126028,12,2026-03-30,2026-04-05,0.8037975,254,37.3904518685981
144356035,150208017,631,819,1612,0.7704518,0.3505556,57.5192526,10.9702399,26,2026-05-26,2026-08-06,0.7704518,631,35.8393014969252
153853224,153853257,463,486,466,0.9935622,0.9468303,57.4984498,8.052391,17,2026-08-05,2026-08-05,0.9935622,463,46.2177844762622
153922281,153922283,400,470,440,0.9090909,0.7843137,57.4391199,6.963895,17,2026-08-06,2026-08-06,0.9090909,400,42.2884116218706
153858294,153858358,408,451,448,0.9107143,0.8309572,56.8007037,7.1830096,17,2026-08-05,2026-08-05,0.9107143,408,42.3639277307954
153817485,153817518,380,447,397,0.9571788,0.8189655,56.6417894,6.7088276,17,2026-08-04,2026-08-04,0.9571788,380,44.5253286443942
153858328,153858358,411,456,448,0.9174107,0.8336714,56.5868692,7.2631691,17,2026-08-05,2026-08-05,0.9174107,411,42.6754258654535
153854893,153855011,326,402,403,0.8109453,0.6805846,56.5267679,5.7671792,17,2026-08-05,2026-08-05,0.8109453,326,37.7229478913729
153858294,153858328,413,451,456,0.9157428,0.8360324,56.4116398,7.3211841,17,2026-08-05,2026-08-05,0.9157428,413,42.5978397387591
153809605,153809659,458,498,461,0.9934924,0.9141717,56.0329304,8.1737649,17,2026-08-03,2026-08-03,0.9934924,458,46.2145375719855
117518457,149268057,320,395,502,0.8101266,0.5545927,55.8939878,5.7251238,29,2026-04-28,2026-04-28,0.8101266,320,37.6848642161378
150578294,150582450,200,425,375,0.5333333,0.3333333,55.6342703,3.5949065,29,2026-05-26,2026-05-26,0.5333333,200,24.8092001823476
153882321,153882342,456,619,457,0.9978118,0.7354839,55.5173049,8.2136552,17,2026-08-05,2026-08-05,0.9978118,456,46.4154641956702
153248231,153249857,180,379,354,0.5084746,0.3254973,55.4422976,3.2466187,26,2026-07-20,2026-07-20,0.5084746,180,23.652841739001
151599551,151644594,606,16045,1494,0.4056225,0.0357881,55.3956111,10.9394948,29,2026-06-21,2026-07-07,0.4056225,606,18.8684445560859
150475362,150491694,310,326,316,0.9810127,0.9337349,55.3592129,5.5997906,6,2026-05-24,2026-05-27,0.9810127,310,45.634016206611
153857834,153857907,350,424,419,0.8353222,0.7099391,55.2609489,6.3335865,17,2026-08-05,2026-08-05,0.8353222,350,38.8568943221041
