__source_pk,dt,date,ui,function,counts,source_db,source_table,ods_table_name,sync_time
ff7e63f2a88461498e33e269768a89f1,2022-07-31,2022-07-31,6,menu_ver2_follow,20,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2e1af875f147cb03815d10d4563886e6,2022-07-31,2022-07-31,6,menu_ver2_rank,25,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
69e0b24ff54afdc8958b218767fc954b,2022-07-28,2022-07-28,4,menu_ver2_rank,161,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
4ddd1159e931466af8b07c3e055b0b85,2022-07-29,2022-07-29,4,menu_ver2_rank,228,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
cf02d900a1b7eee7023e562ca214ffeb,2022-07-29,2022-07-29,4,propaganda_btn,514,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
3a750f44d46be9d5795eff203b7b9ceb,2022-07-29,2022-07-29,6,menu_ver2_rank,39,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
3c9ea559708c06ee959d388473ecd1d9,2022-07-29,2022-07-29,4,menu_ver2_goodroadSetting,233,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
50c0f7a39d657b56855a472b8057b11c,2022-07-29,2022-07-29,6,menu_ver2_goodroadSetting,52,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
808de6781156ca0e91862af2e8af5105,2022-07-29,2022-07-29,4,menu_ver2_autobet,1227,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
11a5473dddc0c95a6e53a5b7c47ab675,2022-07-28,2022-07-28,4,bigRoad,409,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
6268ee748a143305f4356cb99d7b3c85,2022-07-28,2022-07-28,6,btn_game_item6,25159,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
977ad5c7859d55c759a8f43059af265c,2022-07-28,2022-07-28,4,menu_ver2_goodroadSetting,179,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ddcf74ccfa1d668b186c78886fec6f2e,2022-07-28,2022-07-28,6,allRoad,45,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
3790e5efb88378adf940f60e16c0f399,2022-07-29,2022-07-29,4,follow_croupier,1395,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c88d5a7a713dc7b0565695fc0a555b78,2022-07-29,2022-07-29,6,menu_ver2_follow,21,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e7d3aa77ffbdc7209585f352c3090ec7,2022-07-29,2022-07-29,4,flytable_btn,3637,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
f8f8af5d09798f05fa8aecec353c9249,2022-07-29,2022-07-29,4,game_btn_multi,3540,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
23b8de0bbc870992f782566883cf40ba,2022-08-01,2022-08-01,6,ui_6_autobet,43,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
3495c7359d3dd251a74603e43e73c4cc,2022-08-01,2022-08-01,6,propaganda_btn,12,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
6f5e7546c3f99719489b9607a59b8348,2022-08-01,2022-08-01,4,random,3,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
744633bc85c657f6bdf0ad126eb60517,2022-08-01,2022-08-01,4,zoom_video_btn,1767,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ed90158508c9e2a360206eff316b15a3,2022-08-01,2022-08-01,4,between_red,11,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
211051398266a0e667ee407f1d0191ce,2022-07-30,2022-07-30,6,allRoad,30,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
409c0b1c0e675610cd61915a3e2d8645,2022-07-30,2022-07-30,4,menu_ver2_rank,237,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
5fbf43e5c0d6491c2f93be77987e27ae,2022-07-30,2022-07-30,4,menu_ver2_goodroadSetting,205,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c9f0a6209b65f9cf25db3c997fdf3755,2022-07-30,2022-07-30,6,menu_ver2_goodroadSetting,41,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
f35fb712016da86e84afc8a462b26e75,2022-07-30,2022-07-30,4,bigRoad,657,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
258bed54e4f7d82ec776a98e9d20f8e5,2022-07-28,2022-07-28,6,ui_6_follow_btn,17,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e58c717fbdfac9d38914179052bcbc7d,2022-07-28,2022-07-28,4,menu_ver2_autobet,815,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
6021224db4f787eff7f1fc6acdb35c34,2022-07-31,2022-07-31,4,menu_ver2_rank,260,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
a66713b580427e1fab708c93b73e0bb1,2022-07-31,2022-07-31,6,ui_6_autobet,397,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
aba242cbf9ff331941778e4a7d244ef2,2022-07-31,2022-07-31,4,flytable_btn,4710,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c8e49b00a112d3ad9e40ff3b3e2103b4,2022-07-31,2022-07-31,6,bigRoad,69,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
fb6b6a20a4506461ed9a6f9d4b07bba2,2022-07-31,2022-07-31,4,bigRoad,666,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d436e3ebd5c6bb670a5827e666d21018,2022-08-01,2022-08-01,6,between_red,3,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d9be16274043879a334bb8ea4daf7488,2022-08-01,2022-08-01,4,ooseven,5,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
011511379a5eb13ba2bc0d50d276001d,2022-07-31,2022-07-31,4,game_btn_multi,3661,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
8ad8193a3a96008767ed8df3e3719558,2022-07-31,2022-07-31,4,follow_croupier,1382,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b18584ca827e176fd7c9f8f88bb7fe7a,2022-07-31,2022-07-31,4,propaganda_btn,522,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
9205e4c841deb81ec9f4414d71f962d7,2022-07-28,2022-07-28,4,game_btn_multi,2267,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
a51530369cb9d43c7d70da7b0e267027,2022-07-28,2022-07-28,6,menu_ver2_follow,15,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e2df602a6edcc5c6be8fc2bf5c98fef7,2022-07-28,2022-07-28,4,allRoad,202,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
01672ca3c0661a7ecd5745afd1470c84,2022-08-01,2022-08-01,6,between_black,2,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
1a4fb04758697380466839c116091eba,2022-08-01,2022-08-01,4,black_diamond,4,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
1ef546b3af85d1ad5683b269cf3411a5,2022-08-01,2022-08-01,4,menu_ver2_goodroadSetting,28,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
5a0c68e8272ef60feafc45708f5050fb,2022-08-01,2022-08-01,4,goodroad_btn,2557,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
aa20fe07ebbfb3393bbe14cfae4dc57f,2022-08-01,2022-08-01,6,allRoad,9,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
5ed4bc3e26e1808350fdec8570c4c4c6,2022-07-28,2022-07-28,6,bigRoad,65,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d7bceb2bf55a38d576f2d7b85e101a61,2022-07-28,2022-07-28,6,menu_ver2_goodroadSetting,41,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e024d9eaebde57770140d542a4c947b8,2022-07-28,2022-07-28,6,menu_ver2_rank,25,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
efcb201474a4e48b9d3242cae149dcd8,2022-07-28,2022-07-28,4,goodroad_btn,19537,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
91222b17cdca1a5a4c36cb2f83c78182,2022-08-01,2022-08-01,6,ooseven,1,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
9d7523e1cf84017b95ebf86e902a86e9,2022-08-01,2022-08-01,4,menu_ver2_autobet,104,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b1a72e0ee0248a8d27e7c48eeb7d8629,2022-08-01,2022-08-01,6,ui_6_follow_btn,8,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c48e530cd86ac4d5afad223a776c84ee,2022-08-01,2022-08-01,4,propaganda_btn,34,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
7612825651426f2ab012ad629c3ccd1d,2022-07-28,2022-07-28,4,follow_croupier,1027,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
bc7ee0fbdda4e97e3eaf7bb417fc0158,2022-07-28,2022-07-28,6,ui_6_autobet,280,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
712673a9b6a2cb71d46d17f8f5ee949b,2022-08-01,2022-08-01,6,btn_game_item6,25688,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
7558ec3c21759e5ecef111f8ceef49c5,2022-08-01,2022-08-01,4,between_black,8,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
8cc0b3ead3de91e67536ed5ed8dc5e3b,2022-08-01,2022-08-01,6,snake_road,1,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
97a0d75fa68e947cf7a2a2b90181999c,2022-08-01,2022-08-01,6,menu_ver2_follow,2,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ef268fa5747e580c4ab704896f5a3ad4,2022-08-01,2022-08-01,6,bigRoad,10,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
24db1c9717ace4bf1e2b85f2393484cb,2022-07-28,2022-07-28,4,flytable_btn,2377,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
6eb3bb4d3dc4f4308101ccf3417fa50f,2022-07-28,2022-07-28,4,propaganda_btn,284,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
afc9d25ab3117eafeb4453f35f797f18,2022-07-28,2022-07-28,4,zoom_video_btn,13721,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b153d5577d540909a5585c63f7d9dbb9,2022-07-28,2022-07-28,4,menu_ver2_follow,188,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
41099713039e70bb66ac9776fc3189f8,2022-07-30,2022-07-30,4,menu_ver2_autobet,1339,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
dd8bcb02a96682ca6db182ff97696089,2022-07-30,2022-07-30,4,flytable_btn,4487,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
3cf33fc0b508ba7cf7e3be42f381e4b2,2022-07-30,2022-07-30,6,propaganda_btn,35,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c4481c84d2342d1af4590c26e0bc3897,2022-07-30,2022-07-30,4,follow_croupier,1569,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
7c872fc976ce9db2e7e351f4edea7e2a,2026-01-25,2026-01-25,ui2,f1,2,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2d9e4128e4af2c2c1634f2cef92d07a8,2022-07-31,2022-07-31,4,menu_ver2_follow,275,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
15ec14c41b9b6fc08487e64fa6fa6935,2022-08-01,2022-08-01,4,follow_croupier,117,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
973261dfc8086201a9e507f10bef5a4a,2022-08-01,2022-08-01,4,neighbor,4,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c736e53d07edcf8f4db3e46f43b71d80,2022-08-01,2022-08-01,6,black_diamond,1,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d1e3846a6724b289e1d8343c46a45399,2022-08-01,2022-08-01,4,menu_ver2_rank,8,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2a9702711017ce5fff9ba2f4f19d0cad,2022-07-30,2022-07-30,6,menu_ver2_follow,18,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
93aa9b528cd20ce3d31a54ab6c360437,2022-07-30,2022-07-30,6,btn_game_item6,23502,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
98bfcd62c7b22f2567d4448f5ebb7b6a,2022-07-30,2022-07-30,4,propaganda_btn,498,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d19a95b73f3c7d21b5b632a76a33b82d,2022-07-30,2022-07-30,6,bigRoad,83,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
7773279f5d81e544d7e4a2f8210855c4,2022-08-01,2022-08-01,6,menu_ver2_rank,4,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
89c7dc3af758a7c60be968cf0ee774d8,2022-08-01,2022-08-01,6,menu_ver2_goodroadSetting,6,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b0744829da106e569d54d858bca6be28,2022-08-01,2022-08-01,4,allRoad,39,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c4ae74a65ccbece77230a0c79b2d63d5,2022-08-01,2022-08-01,4,snake_road,7,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
fa1367bb76c337c05c97e36cc750020f,2022-08-01,2022-08-01,6,burst,1,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
