日,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-07-30,830880,20130,117,30,4821561478.1082,4435876016.1157,385685446.0525,0.104994512799313
2026-08-02,301059,10310,62,30,979586951,956440236.435,23146714.695,0.0979692765063007
2026-03-22,930990,23973,124,18,2862713553.5,2910214827.847,-47501277.983,0.102612230930811
2026-04-30,1007957,26741,123,30,4487135520,4379776229.185,107359295.745,0.109042753179631
2026-05-11,882758,24970,114,30,2868205607,2834245745.068,33959864.244,0.110654442480229
2026-05-12,910909,28908,114,30,3948944029.1,3917026371.184,31917657.7,0.112893968413645
2026-05-19,1756116,26446,115,30,7696091717,6645418963.66,1050672750.65,0.104381940710449
2026-05-20,841998,23770,115,30,4328282600.5,4448264997.766,-119982407.912,0.100440939893667
2026-05-21,763763,23117,115,30,5045850373,4947028689.344,98821692.196,0.105303616007508
2026-05-22,768311,23072,116,30,11354173819,11133286200.339,220887629.875,0.0973803168295673
2026-05-23,787179,23854,119,30,6945779403.5,6652614688.291,293164716.86,0.10060756942726
2026-05-24,688914,20516,116,30,6912579968.1,6806067089.26,106512897.1,0.102298756000639
2026-05-25,635338,21168,119,30,4238437389.5,4456841018.279,-218403630.914,0.10456235259454
2026-05-26,788446,23240,117,30,9666683648,9979396283.387,-312712634.615,0.106909034030941
2026-05-27,749216,22812,124,30,6580968407.2,6542739197.608,38229210.035,0.105956660949807
2026-05-28,758500,22455,120,30,10548784434.6,10493192212.233,55592223.535,0.101677036004323
2026-05-29,892114,23966,119,30,8278907754,8577413291.029,-298505538.345,0.102821795302628
2026-06-04,780503,23036,135,30,11007829772.5,11877593155.634,-869763385.245,0.0949084308568982
2026-06-05,855648,24308,123,30,8409889865,8256674782.897,153215081.685,0.0979331039095696
2026-06-06,812544,24237,126,30,8243321863,7656023693.707,587298165.305,0.100182680125664
2026-06-08,710674,22006,128,30,10929447090,11388905024.571,-459457918.365,0.102377856723336
2026-06-09,819866,25958,120,30,5017974394,4939346831.779,78627561.983,0.101531606540568
2026-06-10,912447,28148,123,30,19828579648.6,18609442622.701,1219137029.77,0.107196347546166
2026-07-02,940173,56240,133,30,4107267496.8,4107199113.36,68389.6579999999,0.084091332043186
2026-06-07,673526,20888,135,30,3391303261,3543499742.086,-152196481.55,0.11014019035947
2026-07-03,893741,35535,131,29,3733513452.4,3651930810.413,81582648.93,0.103931204931427
2026-03-30,951455,23429,114,30,4916017336,4877029589.969,38987746.495,0.107447297654713
2026-04-07,1032671,28340,121,30,4775356889,4408151901.859,367204991.045,0.106523496165034
2026-06-21,719191,22712,123,30,6237236771.7,6031817250.469,205419521.816,0.105388819775172
