stat_date,stat_hour,player_a,player_b,same_round_count,first_game_time,last_game_time,created_time,update_time
2026-05-15,5,20839104,140241896,1,2026-05-15 05:34:01,2026-05-15 05:34:01,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,142018847,10,2026-05-15 05:17:29,2026-05-15 05:25:39,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,148043993,9,2026-05-15 05:18:18,2026-05-15 05:24:46,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,149945242,1,2026-05-15 05:21:32,2026-05-15 05:21:32,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,22719627,130218049,1,2026-05-15 05:21:31,2026-05-15 05:21:31,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,23071490,143809080,1,2026-05-15 05:39:06,2026-05-15 05:39:06,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,23929648,108860733,11,2026-05-15 05:12:20,2026-05-15 05:28:17,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,23929648,137060518,13,2026-05-15 05:12:20,2026-05-15 05:27:48,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,23929648,144151382,8,2026-05-15 05:19:53,2026-05-15 05:26:12,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,24091839,149404159,1,2026-05-15 05:08:15,2026-05-15 05:08:15,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,26830313,118807103,1,2026-05-15 05:23:29,2026-05-15 05:23:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,26830313,136305029,1,2026-05-15 05:22:31,2026-05-15 05:22:31,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,26830313,149125963,1,2026-05-15 05:23:29,2026-05-15 05:23:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,27751004,98879826,1,2026-05-15 05:31:31,2026-05-15 05:31:31,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,27751004,118807103,1,2026-05-15 05:20:47,2026-05-15 05:20:47,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,27751004,128092932,2,2026-05-15 05:16:27,2026-05-15 05:17:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,27751004,149125963,1,2026-05-15 05:31:31,2026-05-15 05:31:31,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,30686225,148668921,2,2026-05-15 05:53:54,2026-05-15 05:56:02,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,30686225,149446176,1,2026-05-15 05:56:02,2026-05-15 05:56:02,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,30730088,130218049,1,2026-05-15 05:16:46,2026-05-15 05:16:46,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,31093560,149901877,1,2026-05-15 05:56:37,2026-05-15 05:56:37,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,31945965,136885752,1,2026-05-15 05:47:37,2026-05-15 05:47:37,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,32549011,149901877,5,2026-05-15 05:14:34,2026-05-15 05:27:26,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,32972811,128769553,1,2026-05-15 05:46:12,2026-05-15 05:46:12,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,35471813,129900188,2,2026-05-15 05:51:06,2026-05-15 05:52:09,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,35471813,143809080,2,2026-05-15 05:46:38,2026-05-15 05:48:24,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36440092,142524261,1,2026-05-15 05:58:54,2026-05-15 05:58:54,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36696600,91797317,2,2026-05-15 05:18:10,2026-05-15 05:20:51,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,113242053,6,2026-05-15 05:29:12,2026-05-15 05:45:28,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,122551101,3,2026-05-15 05:21:41,2026-05-15 05:26:07,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,133226716,1,2026-05-15 05:23:30,2026-05-15 05:23:30,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,136195535,1,2026-05-15 05:37:15,2026-05-15 05:37:15,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,147204701,2,2026-05-15 05:22:25,2026-05-15 05:26:39,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,36719305,149375127,4,2026-05-15 05:23:30,2026-05-15 05:36:38,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,38561677,135183204,1,2026-05-15 05:59:07,2026-05-15 05:59:07,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,107295430,1,2026-05-15 05:59:29,2026-05-15 05:59:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,114645549,5,2026-05-15 05:26:33,2026-05-15 05:41:39,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,125894801,1,2026-05-15 05:37:25,2026-05-15 05:37:25,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,129921021,1,2026-05-15 05:31:03,2026-05-15 05:31:03,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,146338647,4,2026-05-15 05:20:48,2026-05-15 05:24:14,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,147621110,2,2026-05-15 05:23:22,2026-05-15 05:24:14,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,148501248,1,2026-05-15 05:59:29,2026-05-15 05:59:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,44612304,150043289,1,2026-05-15 05:30:07,2026-05-15 05:30:07,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,71893687,2,2026-05-15 05:09:19,2026-05-15 05:10:06,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,118024564,1,2026-05-15 05:27:29,2026-05-15 05:27:29,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,119908414,5,2026-05-15 05:11:54,2026-05-15 05:15:49,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,136344467,1,2026-05-15 05:24:40,2026-05-15 05:24:40,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,137462372,1,2026-05-15 05:21:56,2026-05-15 05:21:56,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,137728857,1,2026-05-15 05:16:27,2026-05-15 05:16:27,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,138976906,2,2026-05-15 05:24:40,2026-05-15 05:25:36,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,142133067,1,2026-05-15 05:16:27,2026-05-15 05:16:27,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,145894428,1,2026-05-15 05:49:15,2026-05-15 05:49:15,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,146890483,2,2026-05-15 05:09:19,2026-05-15 05:16:27,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,147244022,1,2026-05-15 05:44:51,2026-05-15 05:44:51,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,45113100,148698148,2,2026-05-15 05:07:29,2026-05-15 05:09:19,2026-07-14 18:55:05,2026-07-14 18:54:54
