agent_level,agent_id,top_agent_id,parent_agent_id,is_test_line,n_bets_all,n_bets_prod,n_bets_testline,n_members_all,n_members_prod,active_days,first_seen,last_seen,own_share_pct_unw,own_share_pct_w,pct_complement,pct_top_bet23,stake,valid_bet,profit,rebate_cost,cost_complement_b,cost_ownshare_a,ngr,residual_b,residual_a,hold_rate,stake_testline_audit,profit_testline_audit,agent_status,agent_formula_version,audit_rn,batch_id
1,54185,54185,,0,18,18,0,2,2,4,2026-06-24,2026-06-27,0.000000,0.000000,4.000000,96.000000,13.3039,12.5436,0.3801,0.0000,0.0152,0.0000,0.3801,0.3649,0.3801,0.02857143,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,28,1
1,44060,44060,,0,9,9,0,5,5,4,2026-05-21,2026-07-07,0.000000,0.000000,4.000000,96.000000,2.2728,2.2728,0.6280,0.0000,0.0251,0.0000,0.6280,0.6029,0.6280,0.27630785,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,29,1
1,38755,38755,,0,1,1,0,1,1,1,2026-05-22,2026-05-22,0.000000,0.000000,4.000000,96.000000,1.1149,1.1149,1.1149,0.0000,0.0446,0.0000,1.1149,1.0703,1.1149,1.00000000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,30,1
1,43150,43150,,0,9,9,0,4,4,6,2026-05-11,2026-07-30,0.000000,0.000000,4.000000,96.000000,27.6715,19.1266,6.6124,0.0000,0.2645,0.0000,6.6124,6.3479,6.6124,0.23896121,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,31,1
1,5081,5081,,0,23,23,0,4,4,7,2026-03-23,2026-07-20,0.000000,0.000000,4.000000,96.000000,152.0291,134.6938,41.1774,0.0000,1.6471,0.0000,41.1774,39.5303,41.1774,0.27085202,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,32,1
1,6596,6596,,0,2,2,0,1,1,1,2026-03-25,2026-03-25,0.000000,0.000000,4.000000,96.000000,43.0552,43.0552,43.0552,0.0000,1.7222,0.0000,43.0552,41.3330,43.0552,1.00000000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,33,1
1,4159,4159,,0,14,14,0,3,3,3,2026-06-30,2026-07-28,0.000000,0.000000,6.000000,94.000000,227.4106,170.5579,49.9924,1.3645,2.9995,0.0000,48.6280,45.6284,48.6280,0.21983333,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,34,1
1,4197,4197,,0,3,3,0,2,2,2,2026-03-31,2026-04-07,0.000000,0.000000,6.000000,94.000000,65.6735,65.6735,65.1482,0.5254,3.9089,0.0000,64.6228,60.7139,64.6228,0.99200000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,35,1
1,29087,29087,,0,1,1,0,1,1,1,2026-04-13,2026-04-13,0.000000,0.000000,6.000000,94.000000,68.9655,68.9655,68.4138,0.5517,4.1048,0.0000,67.8621,63.7572,67.8621,0.99200000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,36,1
1,36248,36248,,0,19,19,0,4,4,5,2026-05-12,2026-07-27,0.000000,0.000000,6.000000,94.000000,756.5733,635.8384,85.7025,0.0000,5.1422,0.0000,85.7025,80.5604,85.7025,0.11327721,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,37,1
