member_id,seed_src,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_alarm,roi_non_alarm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_alarm,avg_stake_non_alarm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_alarm,hold_rate,hold_rate_alarm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_alarm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_alarm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
124408255,manual_risk,113646.6602,103296.8315,-10073.1578,701,701,0.08863576,,0.08863576,0.08045539,10073.1578,113646.6602,OK,929.6715,-503.6579,5.0000,95.0000,AG03-UNRESOLVED,-9569.4999,98131.9899,-11002.8293,-10499.1714,-1433.3294,-0.09681613,-0.09238434,-0.01261216,162.1208,147.3564,-14.3697,-3357.7193,-47.5149,37882.2201,233.6667,,162.1208,56.1916,84.0248,207.7145,415.429,623.1436,623.1436,76.8544,22.5623,7.416187,7.416187,1.92944,29,80,3,2,0E-8,-0.08863576,,0.00900000,0.900000,0.908930,0.000000,,2026-05-03,2026-06-04,3,212,72,33,0.090909,,,0.000000,2,0.8467741935483871,0.9919354838709677,0.22580645161290322,E 常规,21,1
149126116,manual_risk,332404.8365,302393.6720,-8237.7778,2065,556,0.02478236,,0.02478236,0.01750464,8237.7778,332404.8365,OK,2419.1494,-494.2667,6.0000,94.0000,AG03-UNRESOLVED,-7743.5111,284250.0517,-10656.9272,-10162.6605,-2913.4160,-0.03206008,-0.03057314,-0.00876466,160.9709,543.8735,-14.8161,-514.8611,-52.4699,20775.3023,34.7500,,160.9709,34.4531,51.6796,120.5857,516.7958,681.6633,1022.4949,51.6796,-50.7157,13.190184,19.785275,3.114786,29,79,23,8,0E-8,-0.02478236,,0.00800000,0.800000,0.909715,0.992252,,2026-04-24,2026-06-17,16,157,127,55,0.290909,,,0.000000,2,0.8387096774193549,0.9354838709677419,0.3951612903225806,E 常规,22,1
113331857,manual_risk,591678.4152,525587.2164,-8273.9083,7912,7912,0.01398379,-0.00206162,0.01609609,0.01131890,8273.9083,591678.4152,OK,1576.7616,-496.4345,6.0000,94.0000,AG03-UNRESOLVED,-7777.4738,494051.9834,-9850.6700,-9354.2355,-2073.1961,-0.01664869,-0.01580966,-0.00350392,74.7824,66.4291,-1.0457,-95.1024,-11.7028,6800.9013,90.9425,54.2826,78.6948,37.9622,40.8163,94.9055,157.8532,197.3165,295.9747,40.5959,0.0,4.834254,7.251381,1.832169,29,158,103,3,0.11633062,-0.01398379,0.00206162,0.00300000,0.300000,0.888299,0.980789,-0.01815771,2026-03-22,2026-08-03,87,707,581,135,0.644444,0.689786,0.725874,0.387769,4,0.8306451612903226,0.9112903225806451,0.6209677419354839,E 常规,23,1
46270606,manual_risk,786087.7298,697638.5954,-8499.9573,916,916,0.01081299,,0.01081299,0.01081299,8499.9573,786087.7298,OK,0.0000,-424.9979,5.0000,95.0000,AG03-UNRESOLVED,-8074.9595,662756.6656,-8499.9573,-8074.9595,-424.9979,-0.01081299,-0.01027234,-0.00054065,858.1744,761.6142,-9.2794,-257.5745,-40.8652,23820.8403,27.7576,,858.1744,188.5714,591.9495,1217.8784,2014.2858,2801.1204,3613.0393,401.8999,0.0,4.732026,6.103628,1.449743,18,105,72,2,0E-8,-0.01081299,,0E-8,0.000000,0.887482,0.000000,,2026-03-23,2026-05-30,33,208,157,69,0.478261,,,0.000000,4,0.8225806451612904,0.8629032258064516,0.6854838709677419,E 常规,24,1
129118209,manual_risk,844338.5390,766632.2586,176.4103,14457,14457,-0.00020893,0.00194247,-0.00171144,-0.00747268,-176.4103,844338.5390,OK,6133.0581,10.5846,6.0000,94.0000,AG03-UNRESOLVED,165.8257,720634.3231,-5956.6478,-5967.2324,-6122.4735,-0.00705481,-0.00706735,-0.00725121,58.4034,53.0284,0.0122,1.5751,0.0313,7538.7370,129.0804,93.7355,46.2329,20.439,40.8781,73.7883,121.0494,202.0365,312.6946,22.009,0.0,4.94242,7.649448,1.428723,30,241,142,3,0.41120494,0.00020893,-0.00194247,0.00800000,0.800000,0.907968,0.000000,0.00365391,2026-03-21,2026-08-06,112,5644,1933,139,0.805755,2.027462,1.604965,1.370683,4,0.8145161290322581,0.717741935483871,0.7016129032258065,E 常规,25,1
131273794,manual_risk,472610.9995,414220.4091,-2633.5478,6141,6138,0.00557234,0.00614932,0.00208967,-0.00143927,2633.5478,472610.9995,OK,3313.7633,-131.6774,5.0000,95.0000,AG03-UNRESOLVED,-2501.8704,393509.3886,-5947.3111,-5815.6337,-3445.4407,-0.01258395,-0.01230533,-0.00729023,76.9599,67.4846,-0.4291,-109.7312,-1.5428,19692.1250,255.7500,84.2386,50.5803,20.439,57.2293,102.1952,163.5122,245.2684,367.9026,40.8781,0.0,4.285714,6.428571,1.344765,22,186,13,3,0.85787326,-0.00557234,-0.00614932,0.00800000,0.800000,0.876451,0.997883,0.00405965,2026-05-20,2026-08-03,24,1707,371,76,0.315790,1.665442,1.094577,2.859578,3,0.8064516129032258,0.8064516129032258,0.5241935483870968,E 常规,26,1
146975331,manual_risk,3017237.8100,2648225.2885,16778.1048,27449,19982,-0.00556075,-0.03075535,0.00722593,-0.01258220,-16778.1048,3017237.8100,OK,21185.3889,1006.6863,6.0000,94.0000,AG03-UNRESOLVED,15771.4185,2489331.7712,-4407.2841,-5413.9704,-20178.7026,-0.00146070,-0.00179435,-0.00668781,109.9216,132.5305,0.8397,127.1069,6.6978,22857.8622,151.3788,140.0297,99.1068,8.6133,34.4531,119.1895,340.8316,499.085,831.8083,34.0541,-8.4454,14.485943,24.143238,3.190474,29,211,304,9,0.33665745,0.00556075,0.03075535,0.00799984,0.800000,0.877699,0.866261,-0.03798128,2026-03-26,2026-08-04,132,2505,1726,132,1.000000,1.412917,1.273905,1.122191,5,0.7983870967741935,0.5967741935483871,0.8790322580645161,E 常规,27,1
80499351,manual_risk,451940.8131,401180.8662,-1268.5380,22392,22157,0.00280687,0.00552197,0.00210841,-0.00518229,1268.5380,451940.8131,OK,3610.6278,-63.4269,5.0000,95.0000,AG03-UNRESOLVED,-1205.1111,381121.8228,-4879.1658,-4815.7389,-3674.0547,-0.01079603,-0.01065568,-0.00812950,20.1831,18.1063,-0.0573,-15.4700,-0.1041,5511.4733,270.2073,16.2120,21.5405,10.3857,20.439,22.009,42.1647,42.1647,66.0269,11.0045,0.0,2.062952,3.230434,0.98748,30,266,264,3,0.20461354,-0.00280687,-0.00552197,0.00900000,0.900000,0.887685,0.007994,0.00341357,2026-03-21,2026-08-06,82,12187,2070,139,0.589928,0.752629,0.803244,0.682045,3,0.7903225806451613,0.7741935483870968,0.5161290322580645,E 常规,28,1
99956136,manual_risk,2423488.0238,2188577.9342,16356.9274,7185,7175,-0.00674933,-0.06573212,-0.00515151,-0.01487696,-16356.9274,2423488.0238,OK,19697.2014,817.8464,5.0000,95.0000,AG03-UNRESOLVED,15539.0810,2079149.0375,-3340.2740,-4158.1204,-18879.3550,-0.00137829,-0.00171576,-0.00779016,337.2983,305.0283,2.2797,629.1126,12.9920,93211.0778,275.9615,263.0453,339.8974,207.7145,295.1532,613.1709,632.4711,632.4711,632.4711,210.8237,0.0,2.142857,2.142857,1.142791,22,170,35,6,0.02637521,0.00674933,0.06573212,0.00900000,0.900000,0.903069,0.000000,-0.06058061,2026-03-21,2026-07-31,26,1259,282,133,0.195489,0.773896,0.779860,0.087917,5,0.782258064516129,0.5564516129032258,0.8306451612903226,E 常规,29,1
143826039,manual_risk,196701.6462,178581.1447,-2555.3098,2302,2299,0.01299079,,0.01299079,0.00572776,2555.3098,196701.6462,OK,1428.6492,-153.3186,6.0000,94.0000,AG03-UNRESOLVED,-2401.9912,167866.2760,-3983.9589,-3830.6403,-1581.9677,-0.02025382,-0.01947437,-0.00804247,85.4482,77.6777,-1.1115,-170.3540,-4.9618,13113.4431,153.2667,,85.4482,85.1354,85.1354,86.1326,86.1326,86.1326,86.1326,85.1354,0.0,1.011714,1.011714,1.003674,29,138,2,3,0E-8,-0.01299079,,0.00800000,0.800000,0.907878,0.000000,,2026-04-19,2026-05-08,15,515,410,20,0.750000,,,0.000000,2,0.7741935483870968,0.8951612903225806,0.2661290322580645,E 常规,30,1
