source_table,字段数,样例字段,维度域
ods_a168_wallet_feedbackerr,15,"__source_pk, dt, id, dealid, money",18_钱包处理域
ods_a168_wallet_reporter,17,"__source_pk, dt, id, bet02, bet03",18_钱包处理域
ods_a168_wallet_reporter_copy,17,"__source_pk, dt, id, bet02, bet03",18_钱包处理域
ods_a168_ipblacklist,12,"__source_pk, dt, id, ip, creator",19_权限与IP安控域
ods_a168_iphistory,12,"__source_pk, dt, id, type, uid",19_权限与IP安控域
ods_a168_permissionrole,10,"__source_pk, dt, roleid, permissionid, status",19_权限与IP安控域
ods_a168_permissions,16,"__source_pk, dt, id, permissiongroupid, name",19_权限与IP安控域
ods_a168_permissionsPage,12,"__source_pk, dt, id, page, pageName",19_权限与IP安控域
ods_a168_permissionsPageRoles,10,"__source_pk, dt, id, rolesId, pageId",19_权限与IP安控域
ods_a168_permissionsgroup,13,"__source_pk, dt, id, name, status",19_权限与IP安控域
ods_a168_roles,10,"__source_pk, dt, id, name, displayname",19_权限与IP安控域
ods_a168_white_list,15,"__source_pk, dt, id, aid, type",19_权限与IP安控域
ods_a168_jackpot,17,"__source_pk, dt, id, gid, starttime",20_彩池域
ods_a168_close_tip_list,7,"__source_pk, dt, game_user, source_db, source_table",21_通知与站点域
ods_a168_passiplist,10,"__source_pk, dt, id, agentid, lv",21_通知与站点域
ods_a168_sms_setting,19,"__source_pk, dt, id, name, code",21_通知与站点域
ods_a168_tip,10,"__source_pk, dt, id, name, price",21_通知与站点域
ods_a168_urllist,23,"__source_pk, dt, id, code, co",21_通知与站点域
ods_a168_wechat_url,10,"__source_pk, dt, id, url, status",21_通知与站点域
ods_a168_log_realtimebet,12,"__source_pk, dt, mid, gid, gameNo",22_实时下注日志域
ods_a168_SMR_log,13,"__source_pk, dt, sn, bet02, bet03",99_其他系统配置域
ods_a168_agent_bak20250610,51,"__source_pk, dt, age001, age002, age003",99_其他系统配置域
ods_a168_aisetting,9,"__source_pk, dt, sn, gid, content",99_其他系统配置域
ods_a168_func_counter,10,"__source_pk, dt, date, ui, function",99_其他系统配置域
ods_a168_game_parame,10,"__source_pk, dt, gpm001, gpm002, gpm003",99_其他系统配置域
ods_a168_in_out_m,16,"__source_pk, dt, iom001, iom002, iom003",99_其他系统配置域
ods_a168_in_out_m_chip,16,"__source_pk, dt, iom001, iom002, iom003",99_其他系统配置域
ods_a168_log_age_cash_change,19,"__source_pk, dt, lacc01, lacc02, lacc03",99_其他系统配置域
ods_a168_log_mem_change,17,"__source_pk, dt, lmc01, lmc02, lmc03",99_其他系统配置域
ods_a168_mem_login,14,"__source_pk, dt, mlg001, mlg002, mlg003",99_其他系统配置域
ods_a168_news,14,"__source_pk, dt, new001, new002, new003",99_其他系统配置域
ods_a168_play_set,18,"__source_pk, dt, ps001, ps002, ps003",99_其他系统配置域
ods_a168_realtimebet,18,"__source_pk, dt, rtb01, rtb02, rtb03",99_其他系统配置域
ods_a168_realtimelobby,12,"__source_pk, dt, rtl01, rtl02, rtl03",99_其他系统配置域
ods_a168_site,8,"__source_pk, dt, sn, value, source_db",99_其他系统配置域
ods_a168_temp_id_list,7,"__source_pk, dt, id, source_db, source_table",99_其他系统配置域
sync_checkpoint,13,"task_name, source_db, source_table, target_table, sync_mode",99_其他系统配置域
