source_db,source_table,table_type,table_comment,create_time,update_time
ods_mariadb_2b,ods_a168_realtimebet,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:09:35
ods_mariadb_2b,ods_a168_realtimelobby,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:08:58
ods_mariadb_2b,ods_a168_realtimelog,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:04:09
ods_mariadb_2b,ods_a168_risklist,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 09:01:08
ods_mariadb_2b,ods_a168_roles,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:52:50
ods_mariadb_2b,ods_a168_shuffle_gid,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:13:48
ods_mariadb_2b,ods_a168_shuffle_info,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_site,BASE TABLE,,2026-05-18 11:21:18,2026-07-27 20:55:15
ods_mariadb_2b,ods_a168_sms_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:49:43
ods_mariadb_2b,ods_a168_stream,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:53:36
ods_mariadb_2b,ods_a168_subagent_permissionrole,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:14:37
ods_mariadb_2b,ods_a168_symbol,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:09:56
ods_mariadb_2b,ods_a168_tablelimit,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 23:13:34
ods_mariadb_2b,ods_a168_tablelimit_third,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:14:10
ods_mariadb_2b,ods_a168_temp_id_list,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:00:45
ods_mariadb_2b,ods_a168_tip,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:15:04
ods_mariadb_2b,ods_a168_urllist,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:03:50
ods_mariadb_2b,ods_a168_wallet_dtl,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:56:05
ods_mariadb_2b,ods_a168_wallet_feedbackerr,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:01:22
ods_mariadb_2b,ods_a168_wallet_reporter,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:58:37
ods_mariadb_2b,ods_a168_wallet_reporter_copy,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 10:25:46
ods_mariadb_2b,ods_a168_wechat_url,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:43:24
ods_mariadb_2b,ods_a168_white_list,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:07:32
ods_mariadb_2b,sync_checkpoint,BASE TABLE,,2026-05-18 11:00:26,2026-07-28 09:01:18
