字段,表名,含义
mem001,ods_a168_member,source_type=int(11); 
mem001,ods_a168_member_dtl,source_type=int(11); mid
mem002,ods_a168_member,source_type=varchar(48); 
mem002,ods_a168_member_dtl,source_type=int(11); 類別
mem003,ods_a168_member,source_type=varchar(65); 
mem003,ods_a168_member_dtl,"source_type=decimal(16,2); 退水"
mem004,ods_a168_member,source_type=varchar(48); 
mem004,ods_a168_member_dtl,source_type=int(11); LV1ID
mem005,ods_a168_member,source_type=timestamp; 
mem005,ods_a168_member_dtl,source_type=int(11); LV2ID
mem006,ods_a168_member,source_type=int(11); 
mem006,ods_a168_member_dtl,source_type=int(11); LV3ID
mem007,ods_a168_member,source_type=int(11); 
mem007,ods_a168_member_dtl,source_type=int(11); LV4ID
mem008,ods_a168_member,source_type=int(11); 
mem008,ods_a168_member_dtl,source_type=int(11); LV5ID
mem009,ods_a168_member,source_type=int(11); 
mem009,ods_a168_member_dtl,source_type=int(11); 最大押分05
mem010,ods_a168_member,source_type=int(11); 
mem010,ods_a168_member_dtl,source_type=int(11); 最大押分06
mem012,ods_a168_member,source_type=int(11); 
mem012,ods_a168_member_dtl,source_type=int(11); 最大可贏金額
mem013,ods_a168_member,source_type=timestamp; 
mem013,ods_a168_member_dtl,source_type=datetime; 可贏可輸起算時間點
mem014,ods_a168_member,source_type=char(15); 
mem014,ods_a168_member_dtl,source_type=int(11); 最大可輸金額
mem015,ods_a168_member,source_type=int(11); login_error
mem015,ods_a168_member_dtl,source_type=varchar(300); 新版限額
mem016,ods_a168_member,"source_type=enum(''Y'',''N''); enable"
mem016,ods_a168_member_dtl,"source_type=decimal(16,2); 電投退水"
modify_time,ods_a168_agents_LoginPass,source_type=timestamp; 
modify_time,ods_a168_member_url,source_type=timestamp; 最後異動時間
msname,ods_a168_game_type,source_type=varchar(20); 
msname,ods_a168_partner_gamelist,source_type=varchar(50); 
msname,ods_a168_partner_type,source_type=varchar(20); 
msname,ods_a168_payment_type,source_type=varchar(20); 
odds,ods_a168_member_odds,"source_type=decimal(10,4); 賠率"
odds,ods_a168_odds_default,source_type=text; 賠率
op_ip,ods_a168_category,source_type=varchar(50); 操作者IP
op_ip,ods_a168_payment_platform,source_type=varchar(128); 操作者ip
op_ip,ods_a168_payment_setting,source_type=varchar(128); 操作者ip
op_time,ods_a168_member_category,source_type=timestamp; 更新時間
op_time,ods_a168_partner_bng_token,source_type=timestamp; 
op_time,ods_a168_payment_platform,source_type=datetime; 操作時間
op_time,ods_a168_payment_setting,source_type=datetime; 操作時間
op_utp,ods_a168_log_age_cash_change,source_type=char(1); 操作者類型
op_utp,ods_a168_payment_platform,source_type=varchar(1); 操作者utp
op_utp,ods_a168_payment_setting,source_type=varchar(1); 操作utp
opengame,ods_a168_agent,source_type=varchar(255); 
opengame,ods_a168_agent_bak20250610,source_type=varchar(255); 
opengame,ods_a168_agent_test,source_type=varchar(255); 
opengame,ods_a168_member,source_type=varchar(255); 輸入要開啟的種類
opengame,ods_a168_opengame_log,source_type=varchar(255); 
optime,ods_a168_change_log,source_type=datetime; 操作時間
optime,ods_a168_jackpot,source_type=datetime; 最後操作時間
optime,ods_a168_orderslist,source_type=datetime; 操作時間
optime,ods_a168_risklist,source_type=datetime; 操作時間
ordered,ods_a168_permissions,source_type=int(11); 顯示的順序
ordered,ods_a168_permissionsgroup,source_type=int(11); 排序
orders,ods_a168_agent_partner_gamelist,source_type=int(11); 順序
orders,ods_a168_dailyreport_member,source_type=tinyint(1); 劃單 1:是
orders,ods_a168_dailyreport_table,source_type=tinyint(1); 劃單 1:是
orders,ods_a168_member_partner_gamelist,source_type=int(11); 順序
orders,ods_a168_partner_gamelist,source_type=tinyint(3); 順序
page,ods_a168_ipblacklist,"source_type=enum(''A'',''F'',''B''); A=全部,F=前台,B=後台"
page,ods_a168_permissionsPage,source_type=varchar(50); 頁面 url
partnerBetId,ods_a168_bet01,source_type=varchar(50); 第三方注單編號
partnerBetId,ods_a168_bet_partner,source_type=varchar(100); 
password,ods_a168_agents_LoginPass,source_type=varchar(255); 
password,ods_a168_employee,source_type=varchar(20); 
password,ods_a168_member_partner_account,source_type=varchar(32); 第三方遊戲密碼
password,ods_a168_sms_setting,source_type=varchar(20); 密碼
percent,ods_a168_RedPacketSetup_setting,source_type=int(3); 概率
percent,ods_a168_jackpot,source_type=int(11); 機率
ps003,ods_a168_game_type,"source_type=decimal(16,2); "
ps003,ods_a168_partner_type,"source_type=decimal(16,2); 退水"
ps003,ods_a168_play_set,"source_type=decimal(16,2); 退水"
ps004,ods_a168_game_type,source_type=int(11); 
ps004,ods_a168_partner_type,source_type=int(11); 最小押分
ps004,ods_a168_play_set,source_type=int(11); 最小押分
ps005,ods_a168_game_type,source_type=int(11); 
ps005,ods_a168_partner_type,source_type=int(11); 最大押分
ps005,ods_a168_play_set,source_type=int(11); 最大押分
ps006,ods_a168_game_type,source_type=int(11); 
ps006,ods_a168_partner_type,source_type=int(11); 押分倍數
ps006,ods_a168_play_set,source_type=int(11); 押分倍數
ps007,ods_a168_game_type,source_type=int(11); 
ps007,ods_a168_partner_type,source_type=int(11); 最大押分02
ps007,ods_a168_play_set,source_type=int(11); 最大押分02
ps008,ods_a168_game_type,source_type=int(11); 
ps008,ods_a168_partner_type,source_type=int(11); 最大押分03
ps008,ods_a168_play_set,source_type=int(11); 最大押分03
ps009,ods_a168_game_type,source_type=int(11); 
ps009,ods_a168_partner_type,source_type=int(11); 最大押分04
ps009,ods_a168_play_set,source_type=int(11); 最大押分04
ps010,ods_a168_game_type,source_type=int(11); 
ps010,ods_a168_partner_type,source_type=int(11); 最大押分05
ps010,ods_a168_play_set,source_type=int(11); 最大押分05
ps011,ods_a168_game_type,source_type=int(11); 
ps011,ods_a168_partner_type,source_type=int(11); 最大押分06
ps011,ods_a168_play_set,source_type=int(11); 最大押分06
rate,ods_a168_RedPacket_Order,"source_type=decimal(8,4); "
rate,ods_a168_currency,"source_type=decimal(8,4); 匯率"
receivetime,ods_a168_RedPacket_Order,source_type=datetime; 領取時間
receivetime,ods_a168_SMR_log,source_type=datetime; 
requestDate,ods_a168_partner_transation,source_type=datetime; 第三方請求時間
requestDate,ods_a168_wallet_dtl,source_type=datetime; 我方請求時間
risk,ods_a168_dailyreport2,source_type=tinyint(1); 風險單1:是
risk,ods_a168_dailyreport_member,source_type=tinyint(1); 風險單 1:是
risk,ods_a168_dailyreport_table,source_type=tinyint(1); 風險單 1:是
rolesId,ods_a168_control,source_type=int(11); 角色ID
rolesId,ods_a168_permissionsPageRoles,source_type=int(3); 
sort,ods_a168_bet_limit_default,source_type=int(11); 排序
sort,ods_a168_tablelimit,source_type=int(3); 
tableid,ods_a168_member_explosion_setting,source_type=int(5); 
tableid,ods_a168_shuffle_info,source_type=int(11); 
tableid,ods_a168_tablelimit,source_type=int(3); 
tableid,ods_a168_tablelimit_third,source_type=int(3); wm桌號
thname,ods_a168_game_type,source_type=varchar(20); 
thname,ods_a168_partner_gamelist,source_type=varchar(50); 
thname,ods_a168_partner_type,source_type=varchar(20); 
thname,ods_a168_payment_type,source_type=varchar(20); 
token,ods_a168_aggregate_token,source_type=text; 
token,ods_a168_partner_bng_token,source_type=varchar(50); 
ui,ods_a168_func_counter,source_type=varchar(255); 
ui,ods_a168_member_click_counter,source_type=varchar(255); 
ui,ods_a168_urllist,source_type=varchar(1); 
uid,ods_a168_RedPacketSetup,source_type=int(11); 操作者id
uid,ods_a168_iphistory,source_type=varchar(20); 
update_at,ods_a168_aggregate_token,source_type=datetime; 
update_at,ods_a168_aggregate_transaction,source_type=datetime; 更新時間
update_at,ods_a168_partner_setting,source_type=datetime; 
update_at,ods_a168_tablelimit_third,source_type=datetime; 更新時間
update_at,ods_a168_wallet_reporter,source_type=datetime; 更新時間
update_at,ods_a168_wallet_reporter_copy,source_type=datetime; 更新時間
update_time,ods_a168_RedPacketSetup,source_type=datetime; 操作時間
update_time,ods_a168_white_list,source_type=datetime; 
updatetime,ods_a168_bet01,source_type=datetime; 更新時間
updatetime,ods_a168_bet02,source_type=datetime; 更新時間
updatetime,ods_a168_category,source_type=timestamp; 最後操作時間
updatetime,ods_a168_conversion,source_type=datetime; 
updatetime,ods_a168_game_callwebapi,source_type=datetime; 
username,ods_a168_member_partner_account,source_type=varchar(30); 第三方遊戲帳號
username,ods_a168_sms_setting,source_type=varchar(20); 帳號
utp,ods_a168_RedPacketSetup,source_type=char(1); 操作者類型
utp,ods_a168_change_log,source_type=varchar(1); 操作者utp
viname,ods_a168_game_type,source_type=varchar(20); 
viname,ods_a168_partner_gamelist,source_type=varchar(50); 
viname,ods_a168_partner_type,source_type=varchar(20); 
viname,ods_a168_payment_type,source_type=varchar(20); 
wallet_id,ods_a168_partner_transation,source_type=bigint(20); wallet_dtl 處理 id
wallet_id,ods_a168_payment_order,source_type=int(11); wallet_dtl 處理 id
