module_id,csv_name,e_dedup,e_testline,q_dedup,q_testline,status
103,VB_41b_identity_strata_v18b.csv,Y,Y,N,Y,E_ONLY
104,VB_41c1_964_detail.csv,Y,Y,N,Y,E_ONLY
105,VB_41c2_concentration.csv,Y,Y,N,Y,E_ONLY
106,VB_41c2_concentration_v2.csv,Y,Y,N,Y,E_ONLY
107,V_ipmatch.csv,Y,Y,N,Y,E_ONLY
108,V_recon.csv,Y,Y,Y,Y,CLEAN
109,V_table_counts.csv,Y,Y,N,Y,E_ONLY
110,X_combo.csv,Y,Y,Y,Y,CLEAN
111,Z01_table_inventory.csv,Y,Y,N,Y,E_ONLY
112,Z02_excluded_tables.csv,Y,Y,N,Y,E_ONLY
113,Z03_column_dictionary.csv,Y,Y,N,Y,E_ONLY
114,Z04_name_collision.csv,Y,Y,N,Y,E_ONLY
115,Z05_missing_typehint.csv,Y,Y,N,Y,E_ONLY
116,Z06_generated_probe_sql.csv,Y,Y,N,Y,E_ONLY
117,Z07_probe_bet02.csv,Y,Y,N,Y,E_ONLY
118,Z08_roundkey_integrity.csv,Y,Y,N,Y,E_ONLY
119,Z09_time_axis_recon.csv,Y,Y,N,Y,E_ONLY
120,Z11_sentinel_impact.csv,Y,Y,N,Y,E_ONLY
121,Z14_zero_month_diagnosis.csv,Y,Y,Y,Y,CLEAN
122,_P12b-pre.csv,Y,Y,N,Y,E_ONLY
123,_PH0_1b_table_inventory.csv,Y,Y,N,Y,E_ONLY
124,_PH0_2b_column_inventory.csv,Y,Y,N,Y,E_ONLY
125,_PH0_3_lmc_category.csv,Y,Y,N,Y,E_ONLY
126,_PH0_4L1_member_columns.csv,Y,Y,N,Y,E_ONLY
127,_PH0_4b_rg_keyword.csv,Y,Y,N,Y,E_ONLY
128,_PH0_4w2_balance_points.csv,Y,Y,N,Y,E_ONLY
129,_PH0_6b_member_daily.csv,Y,Y,N,Y,E_ONLY
