uid1,uid2,总同桌局数
142014010,142024819,582
20528051,63514180,582
107906451,147857446,582
10649454,113311676,582
19570235,118118853,581
20528051,143809080,581
139169953,150832975,581
11080438,152638777,581
146359206,147129280,580
106195450,133319507,580
89353522,139169953,580
111220023,116007922,580
123903499,137963671,580
113375267,116479096,579
87525057,135444165,579
94314040,123591261,579
136523211,142014010,579
113311676,142014010,578
151384275,151591057,578
139169953,151290699,578
3206119,145846574,577
106593553,141556233,577
49291334,142020180,577
72216248,125924418,576
87525057,132499625,576
142020180,151459304,576
25186958,142020180,575
142020180,146517084,575
122595651,135715113,575
119104147,145846574,575
135715113,148255028,575
123591261,130277595,574
72216248,119713647,574
6255961,143066478,574
89596067,118719977,574
81846921,150389642,574
133831900,142014010,573
63093963,123483915,573
40344615,142020180,573
65060864,124403027,572
122742831,142020180,572
114645549,141556233,571
82193564,114881779,571
81846921,149651647,571
95296595,141556233,571
107945998,145846574,571
145846574,150137057,571
123483915,147761702,570
126378299,139169953,570
47651653,142020180,570
123591261,145804441,569
68360281,81846921,569
29714380,142020180,569
137014834,142316568,568
135715113,151594401,567
21740865,124627111,566
134896269,139169953,566
69838693,123591261,565
72216248,139136427,565
101211241,145870516,565
120316504,122313879,565
89596067,135702585,565
67314953,113375267,564
142020180,142074833,564
20528051,148883608,564
142279111,143713225,564
6255961,152135183,564
3774826,145846574,563
132499625,145846574,563
101506309,149273924,563
140193572,142020180,563
20528051,67553792,562
7462908,132266683,562
48785505,89596067,562
68360281,125552398,561
83095108,145846574,561
137963671,150054728,561
111039832,150014770,561
110985716,137670394,560
101506309,142795182,560
49285724,101506309,560
68365234,142020180,559
114463776,132513825,559
112854433,146793502,559
137220178,146517701,559
11080438,19570235,559
91099680,113211660,558
114881779,140831154,558
7462908,142478759,558
16720151,72216248,557
120046662,147779608,557
122713439,142020180,557
142279111,150304963,557
72216248,122397593,556
62287853,145846574,556
24862477,143901669,555
121125993,141556233,555
145846574,152209405,555
145846574,146387870,555
123591261,146059573,554
81846921,142137156,554
76494646,142020180,554
113311676,128044242,554
142020180,149472226,554
145846574,145853160,553
104846702,142391599,553
132266683,147761702,553
81846921,139793826,553
101506309,123112419,553
6255961,94863925,553
90473758,147761702,553
72216248,74119380,552
107587651,135715113,552
142020180,150014770,552
142020180,144298687,552
17658682,141556233,552
128114345,142020180,551
115728114,145846574,551
131679833,150014770,551
123591261,137452727,550
122550337,135444165,550
61932387,114881779,550
140840421,147761702,550
120316504,150635380,550
73703589,149651647,550
132513825,147986133,549
54046314,123483915,549
145846574,147723190,549
112066335,121732938,548
79474706,142020180,548
142608020,145846574,548
72216248,125080476,548
116007922,145382253,548
24862477,72216248,548
123483915,134296707,547
110449804,142327375,547
110249610,139045947,547
142391599,145846574,547
54046314,148541506,547
72634316,152119245,547
128044242,142020180,547
17658682,101153588,546
29714380,113211660,546
123591261,140879127,546
140608290,152352973,546
14786296,113211660,545
142327375,146580984,545
145846574,150903143,545
101506309,125338962,545
63093963,151384275,545
110449804,141556233,545
5789535,72216248,544
80499351,141556233,544
140288014,142327375,543
83573633,120316504,543
144703366,145846574,542
31160697,116007922,542
125338962,144554498,542
142020180,152141069,542
145846574,149495470,541
31499059,142391599,541
22236980,135715113,541
136663437,137854561,541
6255961,87525057,541
124835041,125487212,541
97075301,149651647,540
101506309,148322228,540
115822008,142020180,540
113311676,142445460,539
14751019,120046662,539
142020180,145780776,539
20528051,142792207,538
38559714,118402175,538
63006662,142020180,538
126976807,144554498,538
135444165,146560009,537
120249935,137242099,537
52169523,130850377,536
85205672,113375267,535
91099680,135444165,535
38559714,129323665,535
20528051,129745466,535
19570235,91935079,535
81846921,101506309,535
123591261,137523049,534
122678865,149651647,534
20528051,126404796,534
93387125,142020180,534
72311907,113375267,533
101153588,123927271,533
122932039,132513825,533
70992922,123903499,533
101506309,151459304,533
113311676,146517701,533
139614157,142020180,533
120046662,147971144,532
111645889,137670394,532
3206119,123903499,532
122551101,141556233,532
101153588,116998222,531
28484858,120046662,531
89596067,132499625,531
106195450,131113734,530
134729808,142020180,530
136480151,146517701,529
59665310,145846574,529
125552398,136523211,529
113375267,129745466,528
130054688,132513825,528
114464385,152352973,528
111304225,149651647,527
50221060,128768638,527
54046314,106195450,526
142020180,148883608,526
115314671,137670394,526
120013995,142020180,526
123591261,149076115,525
8788462,148165195,525
116998222,147857446,525
