交易id,会员,投注选项,赔率,投注额,bet33,bet34,bet35,bet36,bet37,bet38,bet39,bet40,bet41
5514841631,150784105,Num36,0.1472,794.054,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0
5514841644,6333766,Odd,3.8733,3000.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,50.0
5514841650,106012107,Player,3.8733,1289.4,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,300.0
5514841667,135340603,Banker,4.8926,313.1546,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,60.0
5514841673,152404003,Player,3.8733,201.98,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,50.0
5514841678,142011995,W3R1,3.8733,5556.72,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,100.0
5514841686,153245182,Player,1.0000,556.2,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,20.0
5514841692,132180160,Nga243,3.8733,256.655,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,9.5
5514841699,153389498,Banker,4.8926,1131.35,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,30.0
5514841703,149071701,Banker,3.8733,5456.2,0.0,0.0,0.0,0.0,0.0,,37.0,8.0,100.0
5514841708,151604882,Banker,1.0000,743.4,0.0,0.0,0.0,0.0,0.0,,115.0,0.0,340.0
5514841717,149828363,Banker,4.8926,1210.0,0.0,0.0,0.0,0.0,0.0,,909.0,0.0,400.0
5514841720,142433196,Player,3.8733,2225.1,0.0,0.0,0.0,0.0,0.0,,115.0,0.0,200.0
5514841734,152310916,Num7,4.8926,474.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,3.0
5514841741,127932852,Even,1.0000,257.76,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,19.0
5514841755,128582182,Ssh123,1.0000,1234.37,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,310.0
5514841762,153373908,Player1Double,1.0000,929.25,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,10.0
5514841769,124386960,Num28,4.6832,44149.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,300.0
5514841776,124386960,Num24,4.6832,43849.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,300.0
5514841783,124386960,Num20,4.6832,43549.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,300.0
5514841788,127632560,Player,4.8926,212.8,0.0,0.0,0.0,0.0,0.0,,902.0,0.0,10.0
5514841797,149966185,Banker,3.8733,2243.18,0.0,0.0,0.0,0.0,0.0,,112.0,11.0,300.0
5514841805,142005555,Nga143,3.8733,10048.8,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
5514841811,152182959,Nim34,3.8733,118.17,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,20.0
5514841826,128989327,Banker,4.8926,1129.0,0.0,0.0,0.0,0.0,0.0,,36.0,0.0,70.0
5514841832,124241493,Player,3.8733,2108.38,0.0,0.0,0.0,0.0,0.0,,115.0,0.0,500.0
5514841839,91143903,Num5,2.6384,1050.16,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841847,91143903,Num20,2.6384,1050.16,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841853,91143903,Num31,2.6384,1050.16,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514841858,91143903,Odd,2.6384,1050.16,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,200.0
5514841864,114219666,Player,4.8926,1551.5,0.0,0.0,0.0,0.0,0.0,,908.0,10.0,50.0
5514841870,48037496,SuperLucky7,1.0000,19550.3,0.0,0.0,0.0,0.0,0.0,,112.0,11.0,50.0
5514841885,133510116,Banker,3.8733,400.74,0.0,0.0,0.0,0.0,0.0,,37.0,8.0,100.0
5514841891,101746773,SuperLucky7,4.8926,2.42,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0
5514841900,151944761,Nga132,3.8733,187.245,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,59.0
5514841914,153225552,Player,4.8926,20.92,0.0,0.0,0.0,0.0,0.0,,115.0,0.0,5.0
5514841923,133295395,PPair,2638.3768,835500.0,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,100000.0
5514841928,139887843,Banker,1.0000,5936.63,0.0,0.0,0.0,0.0,0.0,,116.0,0.0,50.0
5514841937,137459951,Player,4.8926,1099.96,0.0,0.0,0.0,0.0,0.0,,31.0,0.0,90.0
5514841942,139887843,Banker,1.0000,5836.63,0.0,0.0,0.0,0.0,0.0,,901.0,0.0,0.0
5514841949,151353467,Nga341,3.8733,3484.475,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
5514841956,149274763,Super6,4.8926,123.4706,0.0,0.0,0.0,0.0,0.0,,116.0,0.0,5.0
5514841961,152761661,Player,3.8733,909.4,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,909.0
5514841975,153377310,Banker,4.8926,2292.553,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,20.0
5514841980,114576405,Player,4.8926,130.27,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,10.0
5514841994,97944775,Tie,4.8926,10230.22,0.0,0.0,0.0,0.0,0.0,,37.0,8.0,50.0
5514842004,144389679,Tie,4.8926,128.2,0.0,0.0,0.0,0.0,0.0,,906.0,3.0,10.0
5514842010,116568928,Banker,4.8926,705.4,0.0,0.0,0.0,0.0,0.0,,112.0,11.0,40.0
5514842027,136386912,Lucky7,3.8733,1422.5,0.0,0.0,0.0,0.0,0.0,,112.0,11.0,50.0
5514842033,149477078,Player,4.8926,100.5,0.0,0.0,0.0,0.0,0.0,,908.0,10.0,100.0
5514842038,132895148,Nim34,4.8926,1804.9592,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,70.0
5514842046,153198150,Player,4.8926,800.15,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,400.0
5514842052,134234048,Fan4,1.0000,43.82,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514842059,143346893,Banker,3.8733,4516.09,0.0,0.0,0.0,0.0,0.0,,908.0,10.0,100.0
5514842065,144389679,BPair,4.8926,78.2,0.0,0.0,0.0,0.0,0.0,,906.0,3.0,10.0
5514842071,126032736,Banker,3.8733,10609.21,0.0,0.0,0.0,0.0,0.0,,32.0,7.0,1300.0
5514842084,127932852,Kwok12,1.0000,227.76,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,190.0
5514842090,128797079,Tie,3.8733,574.92,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,10.0
5514842101,147669076,Player,3.8733,253.5,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,120.0
5514842115,151132225,Banker,4.8926,610.74,0.0,0.0,0.0,0.0,0.0,,112.0,11.0,100.0
5514842122,148076843,Banker,3.8733,7546.39,0.0,0.0,0.0,0.0,0.0,,32.0,7.0,100.0
5514842129,139887843,Banker,1.0000,5636.63,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,50.0
5514842136,114219666,Player,4.8926,1501.5,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,50.0
5514842143,153392816,Banker,3.8733,438.64,0.0,0.0,0.0,0.0,0.0,,116.0,0.0,150.0
5514842148,65347031,Odd,3.8733,57.28,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,57.0
5514842157,153389067,DoubleDice4,4.8926,260.36,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,10.0
5514842160,146883792,Player,0.1472,40.1265,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,40.0
5514842174,150730160,Player,0.6011,400.01,0.0,0.0,0.0,0.0,0.0,,907.0,3.0,80.0
5514842181,137030995,Player,4.8926,889.7,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,160.0
