uid,bet01_笔数,bet01_投注额,daily_笔数,daily_金额,笔数倍差
142147596,11,5362.66,206,30464.0000,18.7
113558806,5,490.69,93,9678.0000,18.6
142011802,5,1205.45,93,7795.0000,18.6
150275335,5,3100.43,93,6147.0000,18.6
55614745,5,624.65,92,6463.0000,18.4
150532326,3,28.5,55,516.0000,18.3
152992380,10,3786.7999999999997,183,21976.0000,18.3
152168922,1,25.45,18,1800.0000,18.0
149770296,1,1060.1442,18,16206.0000,18.0
148076561,1,1521.18,18,20291.0000,18.0
146120975,2,189.78,36,40181.0000,18.0
151430449,2,111910.07999999999,36,3971139.0000,18.0
127556113,1,5.831,18,1015.0000,18.0
97440741,2,4257.366,36,186600.0000,18.0
153097696,1,127.6,18,554.0000,18.0
134729808,6,17721.38,107,54450.0000,17.8
125940163,3,321.7,53,855.0000,17.7
114464385,5,1646.45,88,11713.0000,17.6
143162680,3,1271.8200000000002,52,33281.0000,17.3
126359997,19,40350.57,329,12550.0000,17.3
146220463,1,35.3,17,2657.0000,17.0
152666737,1,700.57,17,4470.0000,17.0
150727146,1,18953.82,17,41782.0000,17.0
142901308,1,151.0,17,1990.0000,17.0
146020434,1,64.14,17,1914.0000,17.0
6104426,2,1510.56,34,10980.0000,17.0
140674532,4,703.7364,68,39279.0000,17.0
114601491,29,6758.27,481,16000.0000,16.6
121496788,20,33080.0,330,79674.0000,16.5
30952831,4,326.238,65,1466.0000,16.3
135924887,18,61613.53999999999,293,31770.0000,16.3
119545794,11,1406.2699999999998,179,3623.0000,16.3
150264844,3,134.584,49,2240.0000,16.3
133623466,2,120.68,32,3758.0000,16.0
153102879,2,110.5638,32,1651.0000,16.0
148405020,1,17.15,16,485.0000,16.0
138057993,3,1260.6999999999998,48,4213.0000,16.0
152906025,1,16.76,16,3483.0000,16.0
139126103,6,574.2777000000001,96,3125.0000,16.0
153100286,1,20.15,16,769.0000,16.0
146103365,1,12.75,16,327.0000,16.0
152712530,8,690.3199999999999,126,4573.0000,15.8
149055107,2,320.24,31,9545.0000,15.5
21712495,13,14427.349999999999,200,318213.0000,15.4
147175655,1,19283.84,15,18650.0000,15.0
112526410,1,1.45,15,335.0000,15.0
149375732,13,6951.75,195,15955.0000,15.0
123368347,3,551.47,45,6079.0000,15.0
149512898,1,39.77,15,462.0000,15.0
150327681,4,228.76,60,2296.0000,15.0
128881431,1,10.44,15,444.0000,15.0
135655368,1,26.54,15,6875.0000,15.0
152261873,1,300.4644,15,3000.0000,15.0
152928777,7,7109.85,102,109992.0000,14.6
151029433,8,437153.43999999994,117,6512558.0000,14.6
12960716,2,7950.8,29,11997.0000,14.5
114287246,2,54.44,29,635.0000,14.5
114194992,9,51140.54,128,14746.0000,14.2
142076023,8,484.0,113,5620.0000,14.1
146573830,2,158.86,28,5337.0000,14.0
111470508,2,20922.86,28,9200.0000,14.0
125168512,3,644.1899999999999,42,16692.0000,14.0
152486372,2,62.15,28,1594.0000,14.0
152727090,1,41.87,14,520.0000,14.0
106867015,1,24.0,14,967.0000,14.0
146593099,1,11.49,14,800.0000,14.0
125767670,13,315.3657,179,4802.0000,13.8
110671598,2,3254.8,27,369225.0000,13.5
148743547,6,1564.1600000000003,81,4951.0000,13.5
142969675,2,198.75,27,2210.0000,13.5
140529858,11,6123.1993,147,7397.0000,13.4
130645023,3,750.62,40,12453.0000,13.3
149947041,6,5621.75,79,7729.0000,13.2
111460110,63,354805.36,825,763251.0000,13.1
121607664,8,557.64,105,6240.0000,13.1
66064746,1,200.27,13,822.0000,13.0
146633734,1,24.6485,13,658.0000,13.0
152609672,2,356.5,26,40000.0000,13.0
127175536,1,2812.53,13,1840.0000,13.0
128173476,5,751.317,65,1833.0000,13.0
150698874,3,63.290000000000006,39,2125.0000,13.0
149449411,1,46.2,13,1547.0000,13.0
145436608,5,1035.0,65,5690.0000,13.0
153085924,2,36.0,26,314.0000,13.0
142035774,1,324.65,13,146.0000,13.0
76414768,130,6233.700000000003,1659,7700.0000,12.8
92247060,12,19076.2,151,6536.0000,12.6
146107059,2,42.0,25,172.0000,12.5
107803365,2,659.88,25,3402.0000,12.5
112915005,24,12482.800000000003,297,10185.0000,12.4
123521230,9,1142909.0,112,1035000.0000,12.4
108806525,10,1606.86,123,15434.0000,12.3
151732487,3,445.0,37,1850.0000,12.3
151991502,4,7488.76,49,14297.0000,12.3
147814571,60,24261.72,724,28781.0000,12.1
144295481,2,1357.34,24,4830.0000,12.0
152134211,2,1026.3918,24,6680.0000,12.0
151715069,1,224.9,12,587.0000,12.0
69756054,13,743.7300000000001,156,1960.0000,12.0
53050669,2,1000.067,24,16736.0000,12.0
152491984,2,27.94,24,270.0000,12.0
69796682,21,34058249.04,252,129884381.0000,12.0
141397048,1,49.93,12,567.0000,12.0
122759519,2,934.6400000000001,24,2706.0000,12.0
94790939,1,300.98,12,613.0000,12.0
153109505,1,101.56,12,660.0000,12.0
65556447,29,4300.16,348,21263.0000,12.0
152103543,7,2695.1500000000005,83,22444.0000,11.9
136529706,7,2153.95,83,31496.0000,11.9
143828492,5,413.45,59,25723.0000,11.8
69117044,5,3050.9500000000003,59,22659.0000,11.8
122551676,6,343.65,71,152085.0000,11.8
146463225,4,2651.9532,47,15849.0000,11.8
151501394,5,970.2,59,6387.0000,11.8
20894131,3,1501.32,35,4923.0000,11.7
23849889,3,1632.0180999999998,35,35055.0000,11.7
117972216,47,21695.239999999994,546,19064.0000,11.6
147431522,21,1906.93,242,4305.0000,11.5
108568991,16,95009.51359999999,184,45816.0000,11.5
148737355,6,1472.44,68,6708.0000,11.3
136295627,4,149.04000000000002,45,2462.0000,11.3
153061155,27,633021.8200000001,306,464600.0000,11.3
153107275,13,704.55,146,2920.0000,11.2
152229287,16,331.45360000000005,177,3960.0000,11.1
152120911,14,2683.54,156,21632.0000,11.1
146380598,1,150.61,11,1100.0000,11.0
151673836,1,25.98,11,929.0000,11.0
150310047,1,20.5512,11,220.0000,11.0
140568819,3,210.57,33,1770.0000,11.0
151148766,16,94546.82000000002,176,19580.0000,11.0
123611826,1,15.17,11,164.0000,11.0
151138788,2,3416.693,22,13100.0000,11.0
152977466,1,2485.105,11,2900.0000,11.0
152581537,1,1346.51,11,260.0000,11.0
135106408,2,54.45,22,688.0000,11.0
119814835,15,21985.0,163,206120.0000,10.9
131034244,11,662500.0,119,1904400.0000,10.8
139520464,9,4577.45,96,34167.0000,10.7
143125135,3,1129.1200000000001,32,920.0000,10.7
153050731,10,1245.2,106,3368.0000,10.6
148134471,4,50.4612,42,580.0000,10.5
71533381,2,1155.3,21,20837.0000,10.5
71247840,2,334.96,21,5434.0000,10.5
127634459,2,13.68,21,126.0000,10.5
147391359,17,2925.225,178,3180.0000,10.5
126769898,5,1343.0,52,2146.0000,10.4
142177543,15,3032.04,156,111064.0000,10.4
43043317,12,791.9200000000001,125,6725.0000,10.4
130041587,3,1049.9,31,9252.0000,10.3
152548748,3,250.45000000000002,31,3632.0000,10.3
109182873,22,26751.54,226,66604.0000,10.3
148031496,4,1687.3600000000001,41,5509.0000,10.3
148590526,1,26.9,10,1314.0000,10.0
151795061,1,201.47,10,1100.0000,10.0
134509303,1,35.2,10,318.0000,10.0
34126187,5,1400.85,50,4778.0000,10.0
98086554,1,1702.196,10,3800.0000,10.0
152784367,1,22.05,10,682.0000,10.0
119584499,2,180.94,20,428.0000,10.0
84946200,6,204.8,60,640.0000,10.0
147671484,1,1000.78,10,500.0000,10.0
142009279,8,2674.33,80,62500.0000,10.0
152946100,2,87.7,20,538.0000,10.0
137097096,6,948853.56,60,2028573.0000,10.0
152673690,7,8415.25,69,44380.0000,9.9
142058673,7,585.5,69,19499.0000,9.9
152794069,16,7694.88,157,5957.0000,9.8
132585247,16,744.8600000000001,157,2586.0000,9.8
142994872,3,55.449999999999996,29,705.0000,9.7
149828363,6,1240.7,58,5820.0000,9.7
133570322,3,83.5601,29,1248.0000,9.7
137485379,6,335.28999999999996,58,2843.0000,9.7
120532663,4,95.74,38,3027.0000,9.5
150650582,4,150.36,38,8416.0000,9.5
17145178,4,701.72,38,4009.0000,9.5
137315017,10,966.5999999999999,95,2179.0000,9.5
148148590,2,23.799999999999997,19,408.0000,9.5
88363517,4,246.48000000000002,38,1639.0000,9.5
134084204,26,1711.0,248,4624.0000,9.5
55293277,7,1257.01,66,1350.0000,9.4
152950353,10,6478.000000000001,94,48275.0000,9.4
115314671,22,862.3599999999999,204,2516.0000,9.3
150934891,4,297.9,37,1269.0000,9.3
150968154,14,597.492,130,1370.0000,9.3
151193437,6,852.277,55,4315.0000,9.2
142640070,34,3710.1,310,5712.0000,9.1
147164982,22,44023.134999999995,201,84529.0000,9.1
153110885,1,206.7401,9,578.0000,9.0
148418468,1,11.5,9,208.0000,9.0
97560937,2,594.45,18,18782.0000,9.0
148531650,1,38.36,9,3964.0000,9.0
147452472,1,23003.11,9,1800.0000,9.0
145303050,1,3.39,9,17.0000,9.0
151654117,1,5.1825,9,250.0000,9.0
145623566,1,24.1,9,930.0000,9.0
129426778,1,18.5,9,341.0000,9.0
152549289,1,10.87,9,110.0000,9.0
149183569,1,6450.0,9,76650.0000,9.0
150450532,2,61.08,18,1339.0000,9.0
126539730,1,15.36,9,197.0000,9.0
151753312,9,1111.55,79,2413.0000,8.8
152540920,5,133.25,44,1705.0000,8.8
151091118,3,3091.92,26,6461.0000,8.7
142880651,15,151691.25,131,152081.0000,8.7
152954903,3,141.10999999999999,26,550.0000,8.7
153098553,3,494.59800000000007,26,96504.0000,8.7
132266683,25,48980.18,217,107101.0000,8.7
102288889,13,14355.609999999999,113,32992.0000,8.7
145649679,3,130.0418,26,1615.0000,8.7
151170015,112,55107.59999999999,978,138472.0000,8.7
89353522,74,78461.64000000001,639,174880.0000,8.6
150516016,7,333.09000000000003,60,2715.0000,8.6
150189255,14,4522.72,121,8330.0000,8.6
142325431,13,2243.66,112,11797.0000,8.6
142274345,10,1093.8,86,1040.0000,8.6
87578055,5,472155.0,43,11020000.0000,8.6
142047087,2,6337.86,17,22749.0000,8.5
153092425,4,216.35999999999999,34,11117.0000,8.5
148030627,13,23090.920000000002,111,104495.0000,8.5
151181023,29,14665.0,246,168857.0000,8.5
150161750,2,91.0,17,2652.0000,8.5
88372450,2,8420.8,17,125314.0000,8.5
15225807,5,122.8,42,444.0000,8.4
151533465,30,27872.399999999998,252,64204.0000,8.4
150809271,57,27080.84,477,56698.0000,8.4
118928120,9,901.1213999999999,76,53140.0000,8.4
108941758,7,12482.55,58,94008.0000,8.3
115822008,297,1421273.8,2465,373175.0000,8.3
151683012,57,15566.320299999998,471,21969.0000,8.3
94154241,3,621.4100000000001,25,995.0000,8.3
153056783,11,13486.36,91,6680.0000,8.3
144280884,24,168177.12000000002,200,75800.0000,8.3
148991588,17,1028.5,141,3437.0000,8.3
62593062,3,50.46,25,620.0000,8.3
152032025,39,130600.0,320,268500.0000,8.2
149446176,29,15008.449999999999,238,32988.0000,8.2
148403576,5,1655.78,41,2585.0000,8.2
125559706,25,2346500.0,204,55910000.0000,8.2
148758187,9,6825.17,74,7715.0000,8.2
151693114,62,6854.5,505,14958.0000,8.1
31863993,17,12412.550000000001,137,25920.0000,8.1
152570990,16,32848.479999999996,130,298830.0000,8.1
117231930,14,2648.42,113,14269.0000,8.1
153095109,1,25.77,8,191.0000,8.0
150042726,1,20.35,8,550.0000,8.0
71235534,1,98.54,8,2481.0000,8.0
152957330,24,12208.800000000001,191,34771.0000,8.0
142389257,1,102.5,8,551.0000,8.0
136468814,7,11172.300000000001,56,23844.0000,8.0
148448032,1,156.71,8,11639.0000,8.0
151830376,1,151.68,8,549.0000,8.0
141942795,3,46.11,24,1046.0000,8.0
152525076,3,19035.4,24,23796.0000,8.0
147450456,1,33.65,8,1734.0000,8.0
153110675,2,109.91,16,783.0000,8.0
151551607,1,200.5644,8,730.0000,8.0
144379355,2,5860.0,16,1505.0000,8.0
137070988,1,884.59,8,380.0000,8.0
142320538,1,14.28,8,576.0000,8.0
91314423,3,120.6867,24,320.0000,8.0
152201669,3,30165.61,24,1520.0000,8.0
152602765,1,4805.21,8,3630.0000,8.0
22469149,1,60.0042,8,240.0000,8.0
153091276,1,8.6,8,66.0000,8.0
144285296,6,3602.8200000000006,48,10091.0000,8.0
151302855,1,12.22,8,263.0000,8.0
132037757,7,112510.0,56,171500.0000,8.0
135474607,2,51.3986,16,287.0000,8.0
102929212,2,8000.6,16,75018.0000,8.0
76928716,6,406.52000000000004,48,1068.0000,8.0
149882096,10,968.3499999999999,79,48519.0000,7.9
122782497,20,254652.00000000003,158,762367.0000,7.9
106003703,4,3940.0,31,18302.0000,7.8
151902637,16,4490.280000000001,125,15132.0000,7.8
130782645,17,4681.22,133,9735.0000,7.8
127931098,8,321.42,62,887.0000,7.8
143030351,5,692.9000000000001,39,5123.0000,7.8
145310940,4,3164.96,31,2620.0000,7.8
143485413,5,401.95000000000005,39,450.0000,7.8
152900495,67,70723.14,523,63868.0000,7.8
140242757,4,201.44,31,1570.0000,7.8
129672820,9,1956.7900000000002,70,5115.0000,7.8
150741003,9,437.15000000000003,69,1010.0000,7.7
137852852,3,673.5999999999999,23,2471.0000,7.7
151505932,6,131856.04,46,2613020.0000,7.7
150624561,6,23104.1268,46,239625.0000,7.7
112003695,3,1358.6100000000001,23,9497.0000,7.7
122213601,7,1070.3300000000002,54,48986.0000,7.7
149099085,6,1142.4,45,9588.0000,7.5
108544750,29,6102.599999999999,217,26642.0000,7.5
139373935,2,52.66,15,804.0000,7.5
152619922,5,333.4195,37,992.0000,7.4
138993771,16,8694.08,119,11540.0000,7.4
113473465,13,93.53,96,156.0000,7.4
143508018,53,350.89000000000004,392,668.0000,7.4
132839120,8,19377.2,59,18905.0000,7.4
124147516,4,1790.8000000000002,29,6229.0000,7.3
152329892,6,5005.77,44,19427.0000,7.3
148487976,12,59078.55999999999,87,32250.0000,7.3
99845038,30,43450.26700000001,220,20912.0000,7.3
147579985,4,840.6,29,13438.0000,7.3
131348717,4,392.81999999999994,29,1060.0000,7.3
143324749,17,30516.0,123,30219.0000,7.2
112702171,6,970.0,43,4044.0000,7.2
153110192,6,5603.6,43,1501.0000,7.2
116602178,10,16185.8,71,36286.0000,7.1
147504725,8,379.51000000000005,57,604.0000,7.1
139090664,1,180.49,7,715.0000,7.0
67314953,6,1067435.62,42,24848977.0000,7.0
64114595,1,86.1,7,1800.0000,7.0
144564071,1,1175.24,7,165.0000,7.0
144415464,1,61.6,7,475.0000,7.0
149697838,1,460.0,7,603.0000,7.0
147450874,1,24.47,7,321.0000,7.0
152847969,1,28.21,7,192.0000,7.0
149078838,2,661.8,14,359.0000,7.0
151682290,1,806.97,7,129.0000,7.0
17626573,1,200.2,7,1946.0000,7.0
134169286,1,1300.84,7,601.0000,7.0
125551952,1,476.818,7,90.0000,7.0
153110024,1,100.0,7,836.0000,7.0
150115699,11,689.45,77,2762.0000,7.0
143314074,8,8329.35,56,53549.0000,7.0
99308202,1,11.68,7,3500.0000,7.0
143797612,2,147500.0,14,1237160.0000,7.0
122562885,1,12.3,7,261.0000,7.0
139598679,19,2388.9000000000005,133,3041.0000,7.0
128697604,1,24.57,7,119.0000,7.0
152756180,2,42.93,14,228.0000,7.0
137492642,1,17.67,7,303.0000,7.0
148862974,3,240.20000000000002,21,872.0000,7.0
126436964,1,33.13,7,684.0000,7.0
142390173,1,18.78,7,208.0000,7.0
115344025,1,23.0,7,2902.0000,7.0
112531021,1,51.7,7,401.0000,7.0
71893687,11,8441.98,77,7748.0000,7.0
109146832,1,65.2,7,1955.0000,7.0
148456742,1,11.73,7,853.0000,7.0
131186154,2,1766.0,14,1047.0000,7.0
139565372,4,40.0,28,1810.0000,7.0
152142899,4,1292.88,28,2553.0000,7.0
15863665,16,829.2,110,17696.0000,6.9
125027183,11,32468.74,76,83586.0000,6.9
153085216,17,69655.47,117,15376.0000,6.9
148677815,8,923.1600000000001,55,2210.0000,6.9
133349322,7,47305.69,48,39263.0000,6.9
139732219,16,505.1600000000001,110,1159.0000,6.9
139758684,13,7198.75,90,1915.0000,6.9
132814972,51,13017.43,345,29422.0000,6.8
137390997,4,957.0999999999999,27,5493.0000,6.8
152218870,25,8783.75,170,7479.0000,6.8
145466874,5,2343.75,34,132220.0000,6.8
148121509,6,6007.9223999999995,41,12752.0000,6.8
131529212,20,7373.418000000001,135,8826.0000,6.8
133465177,133,26083.83330000001,894,61768.0000,6.7
116243945,3,720.03,20,43270.0000,6.7
52373518,18,270841.20000000007,121,258727.0000,6.7
17149447,3,506.54999999999995,20,4603.0000,6.7
148584738,3,1100.0,20,5700.0000,6.7
151241500,7,914.2700000000001,46,970.0000,6.6
107245731,14,117957.74,93,565362.0000,6.6
153073593,25,10250.27,164,21588.0000,6.6
153047581,8,1581750.0,53,1341000.0000,6.6
132831729,16,179993.72,105,598870.0000,6.6
153032148,2,31.787999999999997,13,130.0000,6.5
125686252,2,555.414,13,3240.0000,6.5
150381427,10,7634.390000000001,65,105794.0000,6.5
152971769,2,200.08,13,940.0000,6.5
138896919,6,469.0,39,1070.0000,6.5
144774147,4,1972.93,26,2153.0000,6.5
103947513,599,98348.99000000005,3883,20488.0000,6.5
71568666,4,1501.12,26,2830.0000,6.5
71516190,2,327.08,13,7461.0000,6.5
107265901,21,5189.15,136,13015.0000,6.5
153096751,2,865.6400000000001,13,1660.0000,6.5
62085868,4,296.96,26,1123.0000,6.5
149821027,2,2540.72,13,660.0000,6.5
148989226,8,3325.04,51,7701.0000,6.4
116512225,5,802.797,32,3218.0000,6.4
143068129,12,711.0,76,2569.0000,6.3
149423817,32,21337.1408,202,21020.0000,6.3
149000188,15,14302.000000000002,94,21115.0000,6.3
118639719,6,977.9000000000001,38,3227.0000,6.3
141031889,3,292.0,19,457.0000,6.3
145943070,17,84184.64,107,22447.0000,6.3
99286789,34,3188.0,214,6097.0000,6.3
84591789,6,1425.8808,38,4470.0000,6.3
109250621,34,16012.419999999998,214,23569.0000,6.3
135798333,64,9482.100000000002,404,12513.0000,6.3
123394571,56,6645.719999999999,346,6750.0000,6.2
23144443,221,66106.28000000001,1368,20520.0000,6.2
148386221,85,3068081.5499999993,525,977120.0000,6.2
124002268,38,111804.74000000002,234,32520.0000,6.2
148498487,10,13094.186000000002,61,11547.0000,6.1
148043993,62,16288.6,377,9727.0000,6.1
122673424,8,1080.0,49,15605.0000,6.1
153106858,3,800.0,18,2591.0000,6.0
153064246,2,779.0,12,960.0000,6.0
142382541,4,547.52,24,7685.0000,6.0
106672963,1,3.07,6,153.0000,6.0
150014993,1,11.0,6,181.0000,6.0
137657236,2,1203.012,12,6354.0000,6.0
153064235,2,779.0,12,960.0000,6.0
127176303,10,5471.509999999999,60,12900.0000,6.0
142793685,45,11018.209999999997,272,2940.0000,6.0
126604145,1,10.37,6,335.0000,6.0
152349384,1,1508.34,6,1551.0000,6.0
152711920,1,2.01,6,8.0000,6.0
123494146,1,37.0,6,162.0000,6.0
152595160,1,64.51,6,320.0000,6.0
124379482,2,60.900000000000006,12,640.0000,6.0
152586735,1,14.0,6,144.0000,6.0
134212627,1,113.25,6,1724.0000,6.0
100478378,1,610.1,6,732.0000,6.0
144807876,9,100706.77,54,16000.0000,6.0
153110780,1,10.65,6,1951.0000,6.0
152995374,2,34.22,12,152.0000,6.0
143870577,1,65.14,6,1816.0000,6.0
153048270,1,50.37,6,1250.0000,6.0
89835311,1,37.44,6,1840.0000,6.0
146183045,5,121.44999999999999,30,5659.0000,6.0
152225370,1,15.31,6,95.0000,6.0
92847523,9,20425.600000000002,54,20194.0000,6.0
126894547,1,120.518,6,610.0000,6.0
152703682,49,28686.0,290,24610.0000,5.9
69672141,7,892.0,41,3487.0000,5.9
105082871,16,537452.8,95,1333704.0000,5.9
140537408,8,7424.639999999999,47,7988.0000,5.9
71191275,49,42970.69999999999,287,68377.0000,5.9
52165204,34,178992.0,202,103047.0000,5.9
152068255,18,12822.680000000002,107,13614.0000,5.9
152872426,60,18824.0,346,9649.0000,5.8
152347453,176,2416.82,1017,1775.0000,5.8
