TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_age_sub_login,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_age_sub_login,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_age_sub_login,asl001,varchar,source_type=int(11); sub_id
ods_mariadb_2b,ods_a168_age_sub_login,asl002,varchar,source_type=int(11); site
ods_mariadb_2b,ods_a168_age_sub_login,asl003,varchar,source_type=varchar(50); sid
ods_mariadb_2b,ods_a168_age_sub_login,asl004,varchar,source_type=datetime; this_login
ods_mariadb_2b,ods_a168_age_sub_login,asl005,varchar,source_type=datetime; last_login
ods_mariadb_2b,ods_a168_age_sub_login,asl006,varchar,source_type=text; ip
ods_mariadb_2b,ods_a168_age_sub_login,asl007,varchar,source_type=text; info
ods_mariadb_2b,ods_a168_age_sub_login,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_age_sub_login,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_age_sub_login,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_age_sub_login,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent,age001,varchar,source_type=int(11); sn
ods_mariadb_2b,ods_a168_agent,age002,varchar,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent,age003,varchar,source_type=varchar(50); 
ods_mariadb_2b,ods_a168_agent,age004,varchar,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent,age005,varchar,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent,age006,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age007,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age008,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age009,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age010,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age011,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age012,varchar,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent,age013,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_agent,age014,varchar,source_type=int(11); 風險重置開關
ods_mariadb_2b,ods_a168_agent,age015,varchar,"source_type=enum(''Y'',''N''); 啟停用狀態"
ods_mariadb_2b,ods_a168_agent,age016,varchar,"source_type=enum(''Y'',''N''); 啟停押狀態"
ods_mariadb_2b,ods_a168_agent,age017,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,age018,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,age019,varchar,source_type=int(11); 結算報表開關
ods_mariadb_2b,ods_a168_agent,age020,varchar,source_type=int(11); 結算報表格式
ods_mariadb_2b,ods_a168_agent,age021,varchar,source_type=int(11); 結算報表語系
ods_mariadb_2b,ods_a168_agent,age022,varchar,source_type=int(11); 測試線判別
ods_mariadb_2b,ods_a168_agent,age023,varchar,source_type=char(1); 
ods_mariadb_2b,ods_a168_agent,age024,varchar,source_type=varchar(30); 備註
ods_mariadb_2b,ods_a168_agent,credit,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent,cash,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent,type,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,currency,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,tip,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,red,varchar,"source_type=enum(''N'',''Y''); 紅包開關"
ods_mariadb_2b,ods_a168_agent,prefix_add,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,prefix_acc,varchar,source_type=varchar(12); 前綴碼
ods_mariadb_2b,ods_a168_agent,receipt_acc,varchar,source_type=int(3); 收款帳號
ods_mariadb_2b,ods_a168_agent,notification,varchar,source_type=int(11); 通知帳號
ods_mariadb_2b,ods_a168_agent,sacc,varchar,source_type=varchar(30); 顯示帳號
ods_mariadb_2b,ods_a168_agent,opengame,varchar,source_type=varchar(255); 
ods_mariadb_2b,ods_a168_agent,site,varchar,source_type=varchar(60); 
ods_mariadb_2b,ods_a168_agent,membermax,varchar,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent,profitmax,varchar,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent,promotecode,varchar,source_type=char(6); 推廣代碼
ods_mariadb_2b,ods_a168_agent,kickperiod,varchar,source_type=int(3); 踢出局數
ods_mariadb_2b,ods_a168_agent,identity,varchar,source_type=int(11); 0:信用;1:API
ods_mariadb_2b,ods_a168_agent,chkKey,varchar,source_type=varchar(100); 
ods_mariadb_2b,ods_a168_agent,chkLock,varchar,"source_type=enum(''Y'',''N''); 是否鎖定"
ods_mariadb_2b,ods_a168_agent,last_chpsw,varchar,source_type=timestamp; 上次修改密碼時間
ods_mariadb_2b,ods_a168_agent,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_bak20250610,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_bak20250610,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_bak20250610,age001,varchar,source_type=int(11); sn
ods_mariadb_2b,ods_a168_agent_bak20250610,age002,varchar,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age003,varchar,source_type=varchar(50); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age004,varchar,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age005,varchar,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age006,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age007,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age008,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age009,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age010,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age011,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age012,varchar,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age013,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age014,varchar,source_type=int(11); 風險重置開關
ods_mariadb_2b,ods_a168_agent_bak20250610,age015,varchar,"source_type=enum(''Y'',''N''); 啟停用狀態"
ods_mariadb_2b,ods_a168_agent_bak20250610,age016,varchar,"source_type=enum(''Y'',''N''); 啟停押狀態"
ods_mariadb_2b,ods_a168_agent_bak20250610,age017,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,age018,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,age019,varchar,source_type=int(11); 結算報表開關
ods_mariadb_2b,ods_a168_agent_bak20250610,age020,varchar,source_type=int(11); 結算報表格式
ods_mariadb_2b,ods_a168_agent_bak20250610,age021,varchar,source_type=int(11); 結算報表語系
ods_mariadb_2b,ods_a168_agent_bak20250610,age022,varchar,source_type=int(11); 測試線判別
ods_mariadb_2b,ods_a168_agent_bak20250610,age023,varchar,source_type=char(1); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age024,varchar,source_type=varchar(30); 備註
ods_mariadb_2b,ods_a168_agent_bak20250610,credit,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_bak20250610,cash,varchar,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_bak20250610,type,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,currency,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,tip,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,red,varchar,"source_type=enum(''N'',''Y''); 紅包開關"
ods_mariadb_2b,ods_a168_agent_bak20250610,prefix_add,varchar,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,prefix_acc,varchar,source_type=varchar(12); 前綴碼
ods_mariadb_2b,ods_a168_agent_bak20250610,receipt_acc,varchar,source_type=int(3); 收款帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,notification,varchar,source_type=int(11); 通知帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,sacc,varchar,source_type=varchar(30); 顯示帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,opengame,varchar,source_type=varchar(255); 
ods_mariadb_2b,ods_a168_agent_bak20250610,site,varchar,source_type=varchar(60); 
ods_mariadb_2b,ods_a168_agent_bak20250610,membermax,varchar,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent_bak20250610,profitmax,varchar,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_bak20250610,promotecode,varchar,source_type=char(6); 推廣代碼
ods_mariadb_2b,ods_a168_agent_bak20250610,kickperiod,varchar,source_type=int(3); 踢出局數
ods_mariadb_2b,ods_a168_agent_bak20250610,identity,varchar,source_type=int(11); 0:信用;1:API
ods_mariadb_2b,ods_a168_agent_bak20250610,chkKey,varchar,source_type=varchar(100); 
ods_mariadb_2b,ods_a168_agent_bak20250610,chkLock,varchar,"source_type=enum(''Y'',''N''); 是否鎖定"
