TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_bet02,bet03,varchar,"source_type=decimal(12,0); 場次編號"
ods_mariadb_2b,ods_a168_bet02,bet04,varchar,source_type=int(11); 子場次編號
ods_mariadb_2b,ods_a168_bet02,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_bet02,bet06,varchar,source_type=datetime; 開局時間
ods_mariadb_2b,ods_a168_bet02,bet07,varchar,source_type=date; 帳務日期
ods_mariadb_2b,ods_a168_bet02,bet08,varchar,source_type=datetime; 下注時間
ods_mariadb_2b,ods_a168_bet02,bet09,varchar,source_type=varchar(100); 下注內容
ods_mariadb_2b,ods_a168_bet02,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_bet02,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_bet02,bet12,varchar,"source_type=decimal(16,4); 起始點數"
ods_mariadb_2b,ods_a168_bet02,bet12a,varchar,"source_type=decimal(16,4); 起始籌碼"
ods_mariadb_2b,ods_a168_bet02,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_bet02,bet14,varchar,"source_type=decimal(16,4); 派彩"
ods_mariadb_2b,ods_a168_bet02,bet15,varchar,"source_type=decimal(16,4); 退水％數"
ods_mariadb_2b,ods_a168_bet02,bet16,varchar,"source_type=decimal(16,4); 退水金額"
ods_mariadb_2b,ods_a168_bet02,bet17,varchar,"source_type=decimal(16,4); 結果"
ods_mariadb_2b,ods_a168_bet02,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_bet02,bet19,varchar,source_type=int(11); LV2ID
ods_mariadb_2b,ods_a168_bet02,bet20,varchar,source_type=int(11); LV3ID
ods_mariadb_2b,ods_a168_bet02,bet21,varchar,source_type=int(11); LV4ID
ods_mariadb_2b,ods_a168_bet02,bet22,varchar,source_type=int(11); LV5ID
ods_mariadb_2b,ods_a168_bet02,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
ods_mariadb_2b,ods_a168_bet02,bet24,varchar,"source_type=decimal(16,4); LV2佔成"
ods_mariadb_2b,ods_a168_bet02,bet25,varchar,"source_type=decimal(16,4); LV3佔成"
ods_mariadb_2b,ods_a168_bet02,bet26,varchar,"source_type=decimal(16,4); LV4佔成"
ods_mariadb_2b,ods_a168_bet02,bet27,varchar,"source_type=decimal(16,4); LV5佔成"
ods_mariadb_2b,ods_a168_bet02,bet28,varchar,"source_type=decimal(16,4); LV1退水%數"
ods_mariadb_2b,ods_a168_bet02,bet29,varchar,"source_type=decimal(16,4); LV2退水%數"
ods_mariadb_2b,ods_a168_bet02,bet30,varchar,"source_type=decimal(16,4); LV3退水%數"
ods_mariadb_2b,ods_a168_bet02,bet31,varchar,"source_type=decimal(16,4); LV4退水%數"
ods_mariadb_2b,ods_a168_bet02,bet32,varchar,"source_type=decimal(16,4); LV5退水%數"
ods_mariadb_2b,ods_a168_bet02,bet33,varchar,"source_type=decimal(16,4); LV1結果"
ods_mariadb_2b,ods_a168_bet02,bet34,varchar,"source_type=decimal(16,4); LV2結果"
ods_mariadb_2b,ods_a168_bet02,bet35,varchar,"source_type=decimal(16,4); LV3結果"
ods_mariadb_2b,ods_a168_bet02,bet36,varchar,"source_type=decimal(16,4); LV4結果"
ods_mariadb_2b,ods_a168_bet02,bet37,varchar,"source_type=decimal(16,4); LV5結果"
ods_mariadb_2b,ods_a168_bet02,bet38,varchar,"source_type=enum(''Y'',''N''); 重對"
ods_mariadb_2b,ods_a168_bet02,bet39,varchar,source_type=int(11); 桌子編號
ods_mariadb_2b,ods_a168_bet02,bet40,varchar,source_type=int(11); 房間編號
ods_mariadb_2b,ods_a168_bet02,bet41,varchar,"source_type=decimal(16,4); 下注退水金額"
ods_mariadb_2b,ods_a168_bet02,betwalletid,varchar,source_type=text; 下注單一錢包用
ods_mariadb_2b,ods_a168_bet02,resultwalletid,varchar,source_type=varchar(50); 結算單一錢包用
ods_mariadb_2b,ods_a168_bet02,validbet,varchar,"source_type=decimal(16,4); 有效投注"
ods_mariadb_2b,ods_a168_bet02,commission,varchar,"source_type=int(11); 0.一般,1,免傭"
ods_mariadb_2b,ods_a168_bet_No,bet01,varchar,source_type=bigint(20); 
ods_mariadb_2b,ods_a168_bet_partner,bet01,varchar,source_type=bigint(11); 注單編號
ods_mariadb_2b,ods_a168_bet_partner,betTime,varchar,source_type=datetime; 下注時間
ods_mariadb_2b,ods_a168_bet_partner,partnerBetId,varchar,source_type=varchar(100); 
ods_mariadb_2b,ods_a168_bet_partner,bet_result,varchar,source_type=text; 開獎結果
ods_mariadb_2b,ods_a168_betchange_log,old_bet01,varchar,source_type=bigint(20); 
ods_mariadb_2b,ods_a168_betchange_log,new_bet01,varchar,source_type=bigint(20); 
ods_mariadb_2b,ods_a168_betchange_log,old_bet05,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_betchange_log,new_bet05,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_betchange_log,old_bet09,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_betchange_log,new_bet09,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_dailyreport,bet02,varchar,source_type=int(11); 遊戲編號
ods_mariadb_2b,ods_a168_dailyreport,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_dailyreport,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_dailyreport,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_mariadb_2b,ods_a168_dailyreport,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_mariadb_2b,ods_a168_dailyreport,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_mariadb_2b,ods_a168_dailyreport,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_dailyreport,bet19,varchar,source_type=int(11); LV2ID
ods_mariadb_2b,ods_a168_dailyreport,bet20,varchar,source_type=int(11); LV3ID
ods_mariadb_2b,ods_a168_dailyreport,bet21,varchar,source_type=int(11); LV4ID
ods_mariadb_2b,ods_a168_dailyreport,bet22,varchar,source_type=int(11); LV5ID
ods_mariadb_2b,ods_a168_dailyreport,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
ods_mariadb_2b,ods_a168_dailyreport,bet24,varchar,"source_type=decimal(16,4); LV2佔成"
ods_mariadb_2b,ods_a168_dailyreport,bet25,varchar,"source_type=decimal(16,4); LV3佔成"
ods_mariadb_2b,ods_a168_dailyreport,bet26,varchar,"source_type=decimal(16,4); LV4佔成"
ods_mariadb_2b,ods_a168_dailyreport,bet27,varchar,"source_type=decimal(16,4); LV5佔成"
ods_mariadb_2b,ods_a168_dailyreport,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_mariadb_2b,ods_a168_dailyreport,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_mariadb_2b,ods_a168_dailyreport,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_mariadb_2b,ods_a168_dailyreport,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_mariadb_2b,ods_a168_dailyreport,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_mariadb_2b,ods_a168_dailyreport,bet39,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_dailyreport,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_dailyreport,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_dailyreport2,bet02,varchar,source_type=int(11); 遊戲編號
ods_mariadb_2b,ods_a168_dailyreport2,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_dailyreport2,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_dailyreport2,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_mariadb_2b,ods_a168_dailyreport2,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_mariadb_2b,ods_a168_dailyreport2,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_mariadb_2b,ods_a168_dailyreport2,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_dailyreport2,bet19,varchar,source_type=int(11); LV2ID
ods_mariadb_2b,ods_a168_dailyreport2,bet20,varchar,source_type=int(11); LV3ID
ods_mariadb_2b,ods_a168_dailyreport2,bet21,varchar,source_type=int(11); LV4ID
ods_mariadb_2b,ods_a168_dailyreport2,bet22,varchar,source_type=int(11); LV5ID
ods_mariadb_2b,ods_a168_dailyreport2,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
ods_mariadb_2b,ods_a168_dailyreport2,bet24,varchar,"source_type=decimal(16,4); LV2佔成"
ods_mariadb_2b,ods_a168_dailyreport2,bet25,varchar,"source_type=decimal(16,4); LV3佔成"
ods_mariadb_2b,ods_a168_dailyreport2,bet26,varchar,"source_type=decimal(16,4); LV4佔成"
ods_mariadb_2b,ods_a168_dailyreport2,bet27,varchar,"source_type=decimal(16,4); LV5佔成"
ods_mariadb_2b,ods_a168_dailyreport2,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_mariadb_2b,ods_a168_dailyreport2,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_mariadb_2b,ods_a168_dailyreport2,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_mariadb_2b,ods_a168_dailyreport2,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_mariadb_2b,ods_a168_dailyreport2,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_mariadb_2b,ods_a168_dailyreport2,bet39,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_dailyreport2,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_dailyreport2,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_dailyreport_member,bet02,varchar,source_type=int(11); 遊戲編號
ods_mariadb_2b,ods_a168_dailyreport_member,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_dailyreport_member,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_dailyreport_member,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_mariadb_2b,ods_a168_dailyreport_member,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_mariadb_2b,ods_a168_dailyreport_member,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_mariadb_2b,ods_a168_dailyreport_member,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_dailyreport_member,bet19,varchar,source_type=int(11); LV2ID
ods_mariadb_2b,ods_a168_dailyreport_member,bet20,varchar,source_type=int(11); LV3ID
ods_mariadb_2b,ods_a168_dailyreport_member,bet21,varchar,source_type=int(11); LV4ID
ods_mariadb_2b,ods_a168_dailyreport_member,bet22,varchar,source_type=int(11); LV5ID
ods_mariadb_2b,ods_a168_dailyreport_member,bet23,varchar,"source_type=decimal(16,4); LV1占成"
ods_mariadb_2b,ods_a168_dailyreport_member,bet24,varchar,"source_type=decimal(16,4); LV2占成"
ods_mariadb_2b,ods_a168_dailyreport_member,bet25,varchar,"source_type=decimal(16,4); LV3占成"
ods_mariadb_2b,ods_a168_dailyreport_member,bet26,varchar,"source_type=decimal(16,4); LV4占成"
ods_mariadb_2b,ods_a168_dailyreport_member,bet27,varchar,"source_type=decimal(16,4); LV5占成"
ods_mariadb_2b,ods_a168_dailyreport_member,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_mariadb_2b,ods_a168_dailyreport_member,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_mariadb_2b,ods_a168_dailyreport_member,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_mariadb_2b,ods_a168_dailyreport_member,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_mariadb_2b,ods_a168_dailyreport_member,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_mariadb_2b,ods_a168_dailyreport_member,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_dailyreport_member,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_dailyreport_table,bet02,varchar,source_type=int(11); 遊戲編號
ods_mariadb_2b,ods_a168_dailyreport_table,bet10,varchar,source_type=int(11); 幣別
ods_mariadb_2b,ods_a168_dailyreport_table,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_mariadb_2b,ods_a168_dailyreport_table,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_mariadb_2b,ods_a168_dailyreport_table,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_mariadb_2b,ods_a168_dailyreport_table,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_dailyreport_table,bet23,varchar,"source_type=decimal(16,4); LV1占成"
ods_mariadb_2b,ods_a168_dailyreport_table,bet28,varchar,"source_type=decimal(16,4); LV1退水%數"
ods_mariadb_2b,ods_a168_dailyreport_table,bet39,varchar,source_type=int(11); 桌子編號
ods_mariadb_2b,ods_a168_dailyreport_table,bet41,varchar,"source_type=decimal(16,4); 下注退水金額"
ods_mariadb_2b,ods_a168_dailyreport_table,validbet,varchar,"source_type=decimal(16,4); 有效投注"
ods_mariadb_2b,ods_a168_dailyreport_usercount,bet05,varchar,source_type=int(11); 會員編號
ods_mariadb_2b,ods_a168_dailyreport_usercount,bet02,varchar,source_type=int(11); 遊戲編號
ods_mariadb_2b,ods_a168_dailyreport_usercount,bet39,varchar,source_type=int(11); 桌號
ods_mariadb_2b,ods_a168_dailyreport_usercount,bet18,varchar,source_type=int(11); LV1ID
ods_mariadb_2b,ods_a168_game_result,result,varchar,source_type=varchar(512); 結果
ods_mariadb_2b,ods_a168_game_tip,amount_list,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_log_realtimebet,betTime,varchar,source_type=datetime; 
ods_mariadb_2b,ods_a168_log_realtimebet,totalBetMoney,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_member,singlebetprompt,varchar,"source_type=decimal(15,0); 單注金額告警"
ods_mariadb_2b,ods_a168_member,conwinprompt,varchar,source_type=int(3); 連贏局數告警
ods_mariadb_2b,ods_a168_member,winlossprompt,varchar,"source_type=enum(''0'',''1''); 最大可輸可贏提示"
ods_mariadb_2b,ods_a168_orderslist,bet01,varchar,source_type=bigint(20); 注單編號
ods_mariadb_2b,ods_a168_payment_order,amount,varchar,"source_type=decimal(16,4); 金額"
ods_mariadb_2b,ods_a168_payment_order,real_amount,varchar,"source_type=decimal(16,4); 實際交易金額"
ods_mariadb_2b,ods_a168_realtimelog,betmember,varchar,source_type=int(11); 本日累計投注人數
ods_mariadb_2b,ods_a168_realtimelog,betamount,varchar,"source_type=decimal(11,2); 本日累計投注金額"
ods_mariadb_2b,ods_a168_risklist,bet01,varchar,source_type=bigint(20); 注單編號
ods_mariadb_2b,ods_a168_stream,validitySecond,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_tablelimit,minbet,varchar,source_type=int(11); 最小下注(電投用)
ods_mariadb_2b,ods_a168_tablelimit,maxbet,varchar,source_type=int(11); 最大下注(電投用)
ods_mariadb_2b,ods_a168_tablelimit,tieminbet,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_tablelimit,tiemaxbet,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_tablelimit,pairminbet,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_tablelimit,pairmaxbet,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_tablelimit,bettime,varchar,source_type=int(3); 下注時間
ods_mariadb_2b,ods_a168_wallet_dtl,bet_detail,varchar,source_type=text; 
ods_mariadb_2b,ods_a168_wallet_reporter,bet02,varchar,source_type=int(11); 遊戲類別
ods_mariadb_2b,ods_a168_wallet_reporter,bet03,varchar,source_type=int(11); 期數
ods_mariadb_2b,ods_a168_wallet_reporter,bet04,varchar,source_type=int(11); 局號
ods_mariadb_2b,ods_a168_wallet_reporter,bet22,varchar,source_type=int(11); 代理
ods_mariadb_2b,ods_a168_wallet_reporter_copy,bet02,varchar,source_type=int(11); 遊戲類別
ods_mariadb_2b,ods_a168_wallet_reporter_copy,bet03,varchar,source_type=int(11); 期數
ods_mariadb_2b,ods_a168_wallet_reporter_copy,bet04,varchar,source_type=int(11); 局號
ods_mariadb_2b,ods_a168_wallet_reporter_copy,bet22,varchar,source_type=int(11); 代理
