bet05,avg_players,max_players
122060083,210540.02271753107,769572
130072760,400405.41475826973,769572
53050669,209421.2537791347,769572
147695209,255542.84126984127,769572
136484038,769572.0,769572
139044426,166402.73125720877,769572
147696380,267852.0,267852
128600389,188868.83850931676,267852
147673778,441876.5,769572
35235942,414011.170700309,769572
147775073,769572.0,769572
146496720,200791.90476190476,267852
147769398,269415.3827160494,769572
147774296,350778.5381165919,769572
147354108,209350.0909090909,769572
143624829,769572.0,769572
146957887,158786.7142857143,769572
128702116,240925.69543973941,267852
147478821,258824.20508982035,769572
83850238,528234.0124959949,769572
147462142,206223.46868618106,769572
147481396,245855.20055710306,769572
114353665,245824.31121399178,769572
129470461,219566.0,219566
147656110,238523.0,238523
120960116,198858.07216494845,769572
146707486,660178.1979522185,769572
133379961,410037.0859598854,769572
145065337,769572.0,769572
134229754,247965.187250996,769572
146468584,758274.5397631134,769572
147898665,420914.4018126888,769572
147777342,240186.57142857142,250168
99935575,377040.8490566038,769572
100592892,219626.76679228552,769572
146476976,199406.92565055762,769572
147772599,769572.0,769572
147045611,200127.56,238523
133974676,227576.14102564103,769572
144363793,78607.0,78607
142449391,362582.6712328767,769572
147168823,286516.6939010357,769572
138951738,250757.2107369123,769572
147340528,169583.37284125856,769572
141297406,166905.80457954993,769572
27657607,146028.5313253012,267852
147789817,727088.08,769572
124290440,195710.34941763728,769572
147814854,769572.0,769572
147814926,769572.0,769572
142289587,769572.0,769572
147815121,264991.42907801416,769572
147815137,233998.0,233998
119563065,287268.28571428574,769572
143876801,308186.3783783784,769572
143265557,267852.0,267852
112132989,769572.0,769572
141479096,98909.48534201954,769572
147816355,769572.0,769572
146993317,181604.37163636365,769572
147816543,524806.4166666666,769572
123988409,242711.63157894736,267852
147816405,124409.89655172414,147278
147395046,209807.0716121011,769572
127227990,148343.94615384616,250168
146874105,138453.95535714287,267852
126940813,216909.67475728155,769572
107122728,193456.6876876877,769572
146024183,204674.62459755313,769572
147782027,71888.85714285714,76588
147782127,769572.0,769572
147781699,769572.0,769572
147782146,85730.0,85730
142360939,205057.01617250673,769572
144040302,769572.0,769572
147143628,277130.4112149533,769572
143989509,264429.5,267852
147782341,149848.44444444444,185196
146365602,188124.55688622754,769572
148022400,191037.89264756645,769572
148022492,250168.0,250168
138839713,769572.0,769572
148023319,769572.0,769572
137691667,128418.77960526316,769572
147365221,258620.78291621327,769572
148023826,276185.23076923075,769572
112969936,208783.33125,769572
124739291,237791.21459525047,769572
148012347,326453.0412371134,769572
147785510,769572.0,769572
142788203,183582.76,769572
147785539,233998.0,233998
29504109,769572.0,769572
147694595,220763.46666666667,233343
146985505,238523.0,238523
147002416,76588.0,76588
147782895,201045.9189189189,769572
147784963,188494.83072100315,769572
146136583,769572.0,769572
122636105,769572.0,769572
42447404,746955.75,769572
130468133,261701.04347826086,267852
147529981,223805.07692307694,233343
147787419,140944.0,140944
146967256,173911.93984962406,769572
112182925,769572.0,769572
128166935,170193.7,267852
146321593,205772.63758389262,769572
143332372,147622.0909090909,769572
128099484,222602.55091383812,769572
147692691,754617.406374502,769572
125428440,182547.2542680712,769572
143555780,228608.60891089108,769572
146085078,154442.84444444443,267852
147855753,419256.3339394418,769572
147174248,199586.90476190476,267852
125552157,280759.8086956522,769572
148028149,220639.5044642857,769572
26397801,200235.38218286954,769572
148028302,769572.0,769572
136883363,245367.47080979284,769572
122817046,462921.8501783591,769572
148028564,193788.5,219566
144433827,261504.53092105262,769572
10749368,108779.1393442623,769572
129607709,118763.66666666667,147278
146475665,626111.8938562808,769572
148028241,411180.9935483871,769572
148029293,769572.0,769572
148029218,769572.0,769572
145609311,404007.3076923077,769572
148029362,769572.0,769572
136825368,336250.1218487395,769572
141565793,302247.15425531915,769572
118084797,201832.80579355365,769572
111981475,769572.0,769572
136755985,189337.52222222224,769572
100049078,261582.7993031359,769572
74686606,229478.23499267935,769572
47340022,378990.693877551,769572
148027159,85425.72222222222,140944
147860476,178412.32,267852
87682145,240928.0,250168
66568657,128953.2,157697
126552069,225086.84210526315,769572
146280791,216150.23529411765,769572
4353450,135487.22222222222,250168
147782723,163474.78260869565,250168
146796777,233998.0,233998
124829393,769572.0,769572
147783301,132794.77272727274,250168
140268130,208107.0,267852
92395044,83644.88636363637,96721
132225645,136868.0909090909,267852
147783395,165304.92592592593,250168
109771053,643599.2545454545,769572
147783551,212191.70588235295,267852
146862795,267852.0,267852
147618974,769572.0,769572
146732694,247802.68329411765,769572
105863790,256882.29411764705,267852
133231202,170570.914893617,267852
120392401,243008.4173553719,267852
146552990,247613.85185185185,769572
146310867,192178.0,769572
121367049,151234.0181818182,769572
148085525,209276.5377094972,769572
117343061,229948.26556343577,769572
14464159,600149.9746233148,769572
109172446,740832.9825436409,769572
148097929,218708.06896551725,769572
144943647,248735.48076923078,769572
112098449,414636.790625,769572
148060889,224016.48571428572,769572
144849759,405826.2179836512,769572
123745301,203756.8889490791,769572
148100286,769572.0,769572
147967221,264044.27816091955,769572
148099250,238131.7786885246,769572
89525406,416740.87543554005,769572
14509422,636800.7518115942,769572
46361538,769572.0,769572
148100352,769572.0,769572
128990310,187558.67141292442,769572
146964357,278376.45911214955,769572
148100494,769572.0,769572
147807013,535428.438016529,769572
