TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,COLUMN_TYPE,IS_NULLABLE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_RedPacketSetup,setting,14,varchar,varchar(1048576),YES,source_type=text; 紅包雨gid配置
ods_mariadb_2b,ods_a168_RedPacketSetup,duration,15,varchar,varchar(65533),YES,source_type=int(10); 持續時間
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid,16,varchar,varchar(65533),YES,source_type=tinyint(1); 活動獎金是否需要打碼
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid_percent,17,varchar,varchar(65533),YES,"source_type=int(3); 需打碼時,獎金的%數"
ods_mariadb_2b,ods_a168_RedPacketSetup,rules,18,varchar,varchar(1048576),YES,source_type=text; 活動規則
ods_mariadb_2b,ods_a168_RedPacketSetup,black_list,19,varchar,varchar(1048576),YES,source_type=text; 黑名單帳號(逗號隔開)(不使用)
ods_mariadb_2b,ods_a168_RedPacketSetup,utp,20,varchar,varchar(65533),YES,source_type=char(1); 操作者類型
ods_mariadb_2b,ods_a168_RedPacketSetup,uid,21,varchar,varchar(65533),YES,source_type=int(11); 操作者id
ods_mariadb_2b,ods_a168_RedPacketSetup,update_time,22,varchar,varchar(65533),YES,source_type=datetime; 操作時間
ods_mariadb_2b,ods_a168_RedPacketSetup,source_db,23,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_RedPacketSetup,source_table,24,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_RedPacketSetup,ods_table_name,25,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_RedPacketSetup,sync_time,26,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,id,3,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,red_id,4,varchar,varchar(65533),YES,source_type=int(11); 紅包設定id
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,currency,5,varchar,varchar(65533),YES,source_type=int(3); 幣別
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,gtype,6,varchar,varchar(65533),YES,source_type=int(4); 遊戲id
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,sync,7,varchar,varchar(65533),YES,"source_type=tinyint(1); 同步sync.0:否,1:是"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_count,8,varchar,varchar(65533),YES,source_type=int(10); 投注局數
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,bet_amount,9,varchar,varchar(65533),YES,"source_type=decimal(16,2); 單筆下注金額"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,money_from,10,varchar,varchar(65533),YES,"source_type=decimal(16,2); 紅包金額範圍"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,money_to,11,varchar,varchar(65533),YES,"source_type=decimal(16,2); 紅包金額範圍"
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,percent,12,varchar,varchar(65533),YES,source_type=int(3); 概率
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,source_db,13,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,source_table,14,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,ods_table_name,15,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_RedPacketSetup_setting,sync_time,16,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_RedPacket_No,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacket_No,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacket_No,id,3,varchar,varchar(65533),YES,source_type=bigint(20); 
ods_mariadb_2b,ods_a168_RedPacket_No,source_db,4,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_RedPacket_No,source_table,5,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_RedPacket_No,ods_table_name,6,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_RedPacket_No,sync_time,7,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_RedPacket_Order,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_RedPacket_Order,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_RedPacket_Order,id,3,varchar,varchar(65533),YES,source_type=bigint(20); 
ods_mariadb_2b,ods_a168_RedPacket_Order,mid,4,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacket_Order,gameid,5,varchar,varchar(65533),YES,source_type=int(11); 遊戲
ods_mariadb_2b,ods_a168_RedPacket_Order,currency,6,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_RedPacket_Order,rate,7,varchar,varchar(65533),YES,"source_type=decimal(8,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,money,8,varchar,varchar(65533),YES,"source_type=decimal(16,4); 中獎金額"
ods_mariadb_2b,ods_a168_RedPacket_Order,status,9,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); Y:已領取,N:未領取"
ods_mariadb_2b,ods_a168_RedPacket_Order,lv1percent,10,varchar,varchar(65533),YES,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv2percent,11,varchar,varchar(65533),YES,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv3percent,12,varchar,varchar(65533),YES,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv4percent,13,varchar,varchar(65533),YES,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,lv5percent,14,varchar,varchar(65533),YES,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_RedPacket_Order,addtime,15,varchar,varchar(65533),YES,source_type=datetime; gs寫單時間
ods_mariadb_2b,ods_a168_RedPacket_Order,receivetime,16,varchar,varchar(65533),YES,source_type=datetime; 領取時間
ods_mariadb_2b,ods_a168_RedPacket_Order,source_db,17,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_RedPacket_Order,source_table,18,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_RedPacket_Order,ods_table_name,19,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_RedPacket_Order,sync_time,20,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_SMR_log,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_SMR_log,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_SMR_log,sn,3,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet02,4,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet03,5,varchar,varchar(65533),YES,"source_type=decimal(12,0); "
ods_mariadb_2b,ods_a168_SMR_log,bet04,6,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,bet22,7,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,category,8,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_SMR_log,receivetime,9,varchar,varchar(65533),YES,source_type=datetime; 
ods_mariadb_2b,ods_a168_SMR_log,source_db,10,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_SMR_log,source_table,11,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_SMR_log,ods_table_name,12,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_SMR_log,sync_time,13,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_age_login,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_age_login,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_age_login,alg001,3,varchar,varchar(65533),YES,source_type=int(11); age_id
ods_mariadb_2b,ods_a168_age_login,alg002,4,varchar,varchar(65533),YES,source_type=int(11); site
ods_mariadb_2b,ods_a168_age_login,alg003,5,varchar,varchar(65533),YES,source_type=varchar(50); sid
ods_mariadb_2b,ods_a168_age_login,alg004,6,varchar,varchar(65533),YES,source_type=timestamp; this_login
ods_mariadb_2b,ods_a168_age_login,alg005,7,varchar,varchar(65533),YES,source_type=timestamp; last_login
ods_mariadb_2b,ods_a168_age_login,alg006,8,varchar,varchar(1048576),YES,source_type=text; ip
ods_mariadb_2b,ods_a168_age_login,alg007,9,varchar,varchar(1048576),YES,source_type=text; info
ods_mariadb_2b,ods_a168_age_login,source_db,10,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_age_login,source_table,11,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_age_login,ods_table_name,12,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_age_login,sync_time,13,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_age_sub_login,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_age_sub_login,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_age_sub_login,asl001,3,varchar,varchar(65533),YES,source_type=int(11); sub_id
ods_mariadb_2b,ods_a168_age_sub_login,asl002,4,varchar,varchar(65533),YES,source_type=int(11); site
ods_mariadb_2b,ods_a168_age_sub_login,asl003,5,varchar,varchar(65533),YES,source_type=varchar(50); sid
ods_mariadb_2b,ods_a168_age_sub_login,asl004,6,varchar,varchar(65533),YES,source_type=datetime; this_login
ods_mariadb_2b,ods_a168_age_sub_login,asl005,7,varchar,varchar(65533),YES,source_type=datetime; last_login
ods_mariadb_2b,ods_a168_age_sub_login,asl006,8,varchar,varchar(1048576),YES,source_type=text; ip
ods_mariadb_2b,ods_a168_age_sub_login,asl007,9,varchar,varchar(1048576),YES,source_type=text; info
ods_mariadb_2b,ods_a168_age_sub_login,source_db,10,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_age_sub_login,source_table,11,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_age_sub_login,ods_table_name,12,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_age_sub_login,sync_time,13,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_agent,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent,age001,3,varchar,varchar(65533),YES,source_type=int(11); sn
ods_mariadb_2b,ods_a168_agent,age002,4,varchar,varchar(65533),YES,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent,age003,5,varchar,varchar(65533),YES,source_type=varchar(50); 
ods_mariadb_2b,ods_a168_agent,age004,6,varchar,varchar(65533),YES,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent,age005,7,varchar,varchar(65533),YES,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent,age006,8,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age007,9,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age008,10,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age009,11,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age010,12,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age011,13,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,age012,14,varchar,varchar(65533),YES,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent,age013,15,varchar,varchar(1048576),YES,source_type=text; 
ods_mariadb_2b,ods_a168_agent,age014,16,varchar,varchar(65533),YES,source_type=int(11); 風險重置開關
ods_mariadb_2b,ods_a168_agent,age015,17,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 啟停用狀態"
ods_mariadb_2b,ods_a168_agent,age016,18,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 啟停押狀態"
ods_mariadb_2b,ods_a168_agent,age017,19,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,age018,20,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,age019,21,varchar,varchar(65533),YES,source_type=int(11); 結算報表開關
ods_mariadb_2b,ods_a168_agent,age020,22,varchar,varchar(65533),YES,source_type=int(11); 結算報表格式
ods_mariadb_2b,ods_a168_agent,age021,23,varchar,varchar(65533),YES,source_type=int(11); 結算報表語系
ods_mariadb_2b,ods_a168_agent,age022,24,varchar,varchar(65533),YES,source_type=int(11); 測試線判別
ods_mariadb_2b,ods_a168_agent,age023,25,varchar,varchar(65533),YES,source_type=char(1); 
ods_mariadb_2b,ods_a168_agent,age024,26,varchar,varchar(65533),YES,source_type=varchar(30); 備註
ods_mariadb_2b,ods_a168_agent,credit,27,varchar,varchar(65533),YES,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent,cash,28,varchar,varchar(65533),YES,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent,type,29,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,currency,30,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent,tip,31,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,red,32,varchar,varchar(65533),YES,"source_type=enum(''N'',''Y''); 紅包開關"
ods_mariadb_2b,ods_a168_agent,prefix_add,33,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent,prefix_acc,34,varchar,varchar(65533),YES,source_type=varchar(12); 前綴碼
ods_mariadb_2b,ods_a168_agent,receipt_acc,35,varchar,varchar(65533),YES,source_type=int(3); 收款帳號
ods_mariadb_2b,ods_a168_agent,notification,36,varchar,varchar(65533),YES,source_type=int(11); 通知帳號
ods_mariadb_2b,ods_a168_agent,sacc,37,varchar,varchar(65533),YES,source_type=varchar(30); 顯示帳號
ods_mariadb_2b,ods_a168_agent,opengame,38,varchar,varchar(65533),YES,source_type=varchar(255); 
ods_mariadb_2b,ods_a168_agent,site,39,varchar,varchar(65533),YES,source_type=varchar(60); 
ods_mariadb_2b,ods_a168_agent,membermax,40,varchar,varchar(65533),YES,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent,profitmax,41,varchar,varchar(65533),YES,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent,promotecode,42,varchar,varchar(65533),YES,source_type=char(6); 推廣代碼
ods_mariadb_2b,ods_a168_agent,kickperiod,43,varchar,varchar(65533),YES,source_type=int(3); 踢出局數
ods_mariadb_2b,ods_a168_agent,identity,44,varchar,varchar(65533),YES,source_type=int(11); 0:信用;1:API
ods_mariadb_2b,ods_a168_agent,chkKey,45,varchar,varchar(65533),YES,source_type=varchar(100); 
ods_mariadb_2b,ods_a168_agent,chkLock,46,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 是否鎖定"
ods_mariadb_2b,ods_a168_agent,last_chpsw,47,varchar,varchar(65533),YES,source_type=timestamp; 上次修改密碼時間
ods_mariadb_2b,ods_a168_agent,source_db,48,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_agent,source_table,49,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_agent,ods_table_name,50,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_agent,sync_time,51,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_agent_bak20250610,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_bak20250610,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_bak20250610,age001,3,varchar,varchar(65533),YES,source_type=int(11); sn
ods_mariadb_2b,ods_a168_agent_bak20250610,age002,4,varchar,varchar(65533),YES,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age003,5,varchar,varchar(65533),YES,source_type=varchar(50); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age004,6,varchar,varchar(65533),YES,source_type=varchar(30); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age005,7,varchar,varchar(65533),YES,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age006,8,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age007,9,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age008,10,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age009,11,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age010,12,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age011,13,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age012,14,varchar,varchar(65533),YES,source_type=timestamp; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age013,15,varchar,varchar(1048576),YES,source_type=text; 
ods_mariadb_2b,ods_a168_agent_bak20250610,age014,16,varchar,varchar(65533),YES,source_type=int(11); 風險重置開關
ods_mariadb_2b,ods_a168_agent_bak20250610,age015,17,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 啟停用狀態"
ods_mariadb_2b,ods_a168_agent_bak20250610,age016,18,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 啟停押狀態"
ods_mariadb_2b,ods_a168_agent_bak20250610,age017,19,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,age018,20,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,age019,21,varchar,varchar(65533),YES,source_type=int(11); 結算報表開關
ods_mariadb_2b,ods_a168_agent_bak20250610,age020,22,varchar,varchar(65533),YES,source_type=int(11); 結算報表格式
ods_mariadb_2b,ods_a168_agent_bak20250610,age021,23,varchar,varchar(65533),YES,source_type=int(11); 結算報表語系
ods_mariadb_2b,ods_a168_agent_bak20250610,age022,24,varchar,varchar(65533),YES,source_type=int(11); 測試線判別
ods_mariadb_2b,ods_a168_agent_bak20250610,age023,25,varchar,varchar(65533),YES,source_type=char(1); 
ods_mariadb_2b,ods_a168_agent_bak20250610,age024,26,varchar,varchar(65533),YES,source_type=varchar(30); 備註
ods_mariadb_2b,ods_a168_agent_bak20250610,credit,27,varchar,varchar(65533),YES,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_bak20250610,cash,28,varchar,varchar(65533),YES,"source_type=decimal(15,4); "
ods_mariadb_2b,ods_a168_agent_bak20250610,type,29,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,currency,30,varchar,varchar(65533),YES,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_bak20250610,tip,31,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,red,32,varchar,varchar(65533),YES,"source_type=enum(''N'',''Y''); 紅包開關"
ods_mariadb_2b,ods_a168_agent_bak20250610,prefix_add,33,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); "
ods_mariadb_2b,ods_a168_agent_bak20250610,prefix_acc,34,varchar,varchar(65533),YES,source_type=varchar(12); 前綴碼
ods_mariadb_2b,ods_a168_agent_bak20250610,receipt_acc,35,varchar,varchar(65533),YES,source_type=int(3); 收款帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,notification,36,varchar,varchar(65533),YES,source_type=int(11); 通知帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,sacc,37,varchar,varchar(65533),YES,source_type=varchar(30); 顯示帳號
ods_mariadb_2b,ods_a168_agent_bak20250610,opengame,38,varchar,varchar(65533),YES,source_type=varchar(255); 
ods_mariadb_2b,ods_a168_agent_bak20250610,site,39,varchar,varchar(65533),YES,source_type=varchar(60); 
ods_mariadb_2b,ods_a168_agent_bak20250610,membermax,40,varchar,varchar(65533),YES,source_type=int(11); 會員總數
ods_mariadb_2b,ods_a168_agent_bak20250610,profitmax,41,varchar,varchar(65533),YES,source_type=varchar(11); 最大利潤
ods_mariadb_2b,ods_a168_agent_bak20250610,promotecode,42,varchar,varchar(65533),YES,source_type=char(6); 推廣代碼
ods_mariadb_2b,ods_a168_agent_bak20250610,kickperiod,43,varchar,varchar(65533),YES,source_type=int(3); 踢出局數
ods_mariadb_2b,ods_a168_agent_bak20250610,identity,44,varchar,varchar(65533),YES,source_type=int(11); 0:信用;1:API
ods_mariadb_2b,ods_a168_agent_bak20250610,chkKey,45,varchar,varchar(65533),YES,source_type=varchar(100); 
ods_mariadb_2b,ods_a168_agent_bak20250610,chkLock,46,varchar,varchar(65533),YES,"source_type=enum(''Y'',''N''); 是否鎖定"
ods_mariadb_2b,ods_a168_agent_bak20250610,last_chpsw,47,varchar,varchar(65533),YES,source_type=timestamp; 上次修改密碼時間
ods_mariadb_2b,ods_a168_agent_bak20250610,source_db,48,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_agent_bak20250610,source_table,49,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_agent_bak20250610,ods_table_name,50,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_agent_bak20250610,sync_time,51,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_agent_dtl,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_dtl,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_dtl,ag001,3,varchar,varchar(65533),YES,source_type=int(11); id
ods_mariadb_2b,ods_a168_agent_dtl,ag002,4,varchar,varchar(65533),YES,source_type=int(11); 類別
ods_mariadb_2b,ods_a168_agent_dtl,ag003,5,varchar,varchar(65533),YES,"source_type=decimal(16,2); 退水"
ods_mariadb_2b,ods_a168_agent_dtl,ag004,6,varchar,varchar(65533),YES,source_type=int(11); 最小押分
ods_mariadb_2b,ods_a168_agent_dtl,ag005,7,varchar,varchar(65533),YES,source_type=int(11); 最大押分
ods_mariadb_2b,ods_a168_agent_dtl,ag006,8,varchar,varchar(65533),YES,source_type=int(11); 押分倍數
ods_mariadb_2b,ods_a168_agent_dtl,ag007,9,varchar,varchar(65533),YES,source_type=int(11); 最大押分02
ods_mariadb_2b,ods_a168_agent_dtl,ag008,10,varchar,varchar(65533),YES,source_type=int(11); 最大押分03
ods_mariadb_2b,ods_a168_agent_dtl,ag009,11,varchar,varchar(65533),YES,source_type=int(11); 最大押分04
ods_mariadb_2b,ods_a168_agent_dtl,ag010,12,varchar,varchar(65533),YES,source_type=int(11); 最大押分05
ods_mariadb_2b,ods_a168_agent_dtl,ag011,13,varchar,varchar(65533),YES,source_type=int(11); 最大押分06
ods_mariadb_2b,ods_a168_agent_dtl,ag012,14,varchar,varchar(65533),YES,"source_type=decimal(16,2); 佔成"
ods_mariadb_2b,ods_a168_agent_dtl,ag013,15,varchar,varchar(65533),YES,source_type=int(11); 選則限紅（BIT）
ods_mariadb_2b,ods_a168_agent_dtl,ag014,16,varchar,varchar(65533),YES,source_type=varchar(300); 新版限額
ods_mariadb_2b,ods_a168_agent_dtl,ag015,17,varchar,varchar(65533),YES,"source_type=decimal(16,2); 電投退水"
ods_mariadb_2b,ods_a168_agent_dtl,ag016,18,varchar,varchar(65533),YES,source_type=int(3); 電投佔成
ods_mariadb_2b,ods_a168_agent_dtl,source_db,19,varchar,varchar(64),YES,来源库
ods_mariadb_2b,ods_a168_agent_dtl,source_table,20,varchar,varchar(128),YES,来源表
ods_mariadb_2b,ods_a168_agent_dtl,ods_table_name,21,varchar,varchar(256),YES,ODS表名
ods_mariadb_2b,ods_a168_agent_dtl,sync_time,22,datetime,datetime,YES,同步时间
ods_mariadb_2b,ods_a168_agent_dtl_test,__source_pk,1,varchar,varchar(64),NO,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_dtl_test,dt,2,date,date,NO,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_dtl_test,ag001,3,varchar,varchar(65533),YES,source_type=int(11); id
ods_mariadb_2b,ods_a168_agent_dtl_test,ag002,4,varchar,varchar(65533),YES,source_type=int(11); 類別
