uid,bet01_笔数,bet01_投注额,daily_笔数_跨产品汇总,daily_金额_跨产品汇总,当天涉及产品数,笔数倍差_修正后
153061155,27,633021.8200000001,306,464600.0000,1,11.33
153058547,33,185880.5,373,450485.0000,2,11.3
136295627,4,149.04000000000002,45,2462.0000,1,11.25
153107275,13,704.55,146,2920.0000,1,11.23
152229287,16,331.4536,179,3988.0000,2,11.19
152120911,14,2683.54,156,21632.0000,1,11.14
151148766,16,94546.81999999999,176,19580.0000,1,11.0
152977466,1,2485.105,11,2900.0000,1,11.0
152581537,1,1346.51,11,260.0000,1,11.0
151138788,2,3416.693,22,13100.0000,1,11.0
151673836,1,25.98,11,929.0000,1,11.0
150310047,1,20.5512,11,220.0000,1,11.0
140568819,3,210.57,33,1770.0000,1,11.0
123611826,1,15.17,11,164.0000,1,11.0
146380598,1,150.61,11,1100.0000,1,11.0
135106408,2,54.45,22,688.0000,1,11.0
119814835,15,21985.0,163,206120.0000,1,10.87
131034244,11,662500.0,119,1904400.0000,1,10.82
139520464,9,4577.450000000001,96,34167.0000,1,10.67
143125135,3,1129.1200000000001,32,920.0000,1,10.67
153050731,10,1245.2000000000003,106,3368.0000,1,10.6
127634459,2,13.68,21,126.0000,1,10.5
137315017,10,966.5999999999999,105,2529.0000,2,10.5
148134471,4,50.4612,42,580.0000,1,10.5
71247840,2,334.96,21,5434.0000,1,10.5
71533381,2,1155.3,21,20837.0000,1,10.5
147391359,17,2925.225,178,3180.0000,1,10.47
43043317,12,791.92,125,6725.0000,1,10.42
126769898,5,1343.0,52,2146.0000,1,10.4
142177543,15,3032.0399999999995,156,111064.0000,1,10.4
130041587,3,1049.9,31,9252.0000,1,10.33
152548748,3,250.45000000000002,31,3632.0000,1,10.33
149000188,15,14302.0,155,30756.0000,2,10.33
109182873,22,26751.539999999997,226,66604.0000,1,10.27
148031496,4,1687.3600000000001,41,5509.0000,1,10.25
62594945,30,4268.9,303,48243.0000,2,10.1
119584499,2,180.94,20,428.0000,1,10.0
84946200,6,204.79999999999998,60,640.0000,1,10.0
152784367,1,22.05,10,682.0000,1,10.0
134509303,1,35.2,10,318.0000,1,10.0
150450532,2,61.08,20,1379.0000,2,10.0
148590526,1,26.9,10,1314.0000,1,10.0
152946100,2,87.7,20,538.0000,1,10.0
151795061,1,201.47,10,1100.0000,1,10.0
34126187,5,1400.8500000000001,50,4778.0000,1,10.0
98086554,1,1702.196,10,3800.0000,1,10.0
137097096,6,948853.56,60,2028573.0000,1,10.0
152673690,7,8415.25,69,44380.0000,1,9.86
142058673,7,585.5,69,19499.0000,1,9.86
132585247,16,744.8599999999999,157,2586.0000,1,9.81
152794069,16,7694.879999999999,157,5957.0000,1,9.81
79867450,4,1628.84,39,8712.0000,3,9.75
93805137,7,2199.09,68,8142.0000,3,9.71
133570322,3,83.5601,29,1248.0000,1,9.67
142994872,3,55.449999999999996,29,705.0000,1,9.67
137485379,6,335.29,58,2843.0000,1,9.67
149828363,6,1240.7,58,5820.0000,1,9.67
94062495,7,110874.27500000001,67,207640.0000,3,9.57
134084204,26,1711.0,248,4624.0000,1,9.54
17145178,4,701.72,38,4009.0000,1,9.5
148148590,2,23.799999999999997,19,408.0000,1,9.5
88363517,4,246.48000000000002,38,1639.0000,1,9.5
150650582,4,150.36,38,8416.0000,1,9.5
120532663,4,95.74,38,3027.0000,1,9.5
142047087,2,6337.86,19,22849.0000,2,9.5
55293277,7,1257.01,66,1350.0000,1,9.43
152950353,10,6477.999999999999,94,48275.0000,1,9.4
151204990,15,17783.399999999998,140,21730.0000,2,9.33
150968154,14,597.492,130,1370.0000,1,9.29
115314671,22,862.3599999999999,204,2516.0000,1,9.27
