__source_pk,dt,mid,account,url,remark,operator,modify_time,source_db,source_table,ods_table_name,sync_time
49193aee99a6c98bb8e7b18675d5c9ee,2026-03-28,146495299,51807!yxzlb123z,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-28 14:07:29,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
63a833f8b9e4b386234923b35ac227cd,2026-04-02,147260714,51807!yxyxb1234,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02 15:49:02,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
b04131bc9c088cc5b8efb76f5da1116f,2026-04-02,147419095,53369!k9cxks2026,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02 15:49:02,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
ed2a4a80f4a1e8b970b86ebce905d783,2026-04-02,77232854,on3yf1992xt,https://wmtc.hbhbnk.com,WM148,全家幹架王,2026-04-02 15:49:02,a168,member_url,ods_a168_member_url,2026-05-19 18:52:29
b9a584b51da9730d191668891f55f987,2026-03-21,147572995,53369!k9zh19961016,https://wmtc.bapi2026.net,WM561,rowena,2026-03-21 14:00:37,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
cba434359c715d97b7c5dbedd9466d31,2026-03-15,90357852,103502618,https://wmkh.joya99.com,WM339,小拳石,2026-03-15 05:35:51,a168,member_url,ods_a168_member_url,2026-05-19 18:52:29
034c5c62764e4ecf06307b23d270c5cc,2026-04-30,125284358,52302!hmlwlw883012,https://wmtc.bapi2026.net,WM561,全家幹架王,2026-04-30 11:02:14,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
902395c28cd232caab5ace97a03b37f5,2026-05-06,101466185,on3bobo036,https://wmtc.hbhbnk.com,【WM148】,csJay,2026-05-06 17:34:53,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
32a7a24540a6ccf6a19833fcd0dfd257,2026-04-02,144205026,53367!xywy609435111,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02 15:49:02,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
532b92515e68c7e401f053cd44c01e3f,2026-04-02,146164179,53367!xypoo373762,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02 15:49:02,a168,member_url,ods_a168_member_url,2026-05-20 07:14:03
