__source_pk,dt,bet01,op,optime,source_db,source_table,ods_table_name,sync_time
2856242417|249|2022-08-01 13:50:56,2022-08-01,2856242417,249,2022-08-01 13:50:56,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003025046|259|2022-10-07 13:33:49,2022-10-07,3003025046,259,2022-10-07 13:33:49,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003051048|259|2022-10-07 13:33:49,2022-10-07,3003051048,259,2022-10-07 13:33:49,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003060666|259|2022-10-07 13:33:49,2022-10-07,3003060666,259,2022-10-07 13:33:49,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003876157|259|2022-10-07 13:35:05,2022-10-07,3003876157,259,2022-10-07 13:35:05,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003882209|259|2022-10-07 13:35:05,2022-10-07,3003882209,259,2022-10-07 13:35:05,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003884377|259|2022-10-07 13:35:05,2022-10-07,3003884377,259,2022-10-07 13:35:05,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003890469|259|2022-10-07 13:35:05,2022-10-07,3003890469,259,2022-10-07 13:35:05,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3003924646|259|2022-10-07 13:35:05,2022-10-07,3003924646,259,2022-10-07 13:35:05,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2147483647|177|2022-07-12 17:58:26,2022-07-12,2147483647,177,2022-07-12 17:58:26,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965459042|249|2022-09-22 15:22:45,2022-09-22,2965459042,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965463261|249|2022-09-22 15:22:45,2022-09-22,2965463261,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965474501|249|2022-09-22 15:22:45,2022-09-22,2965474501,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965486572|249|2022-09-22 15:22:45,2022-09-22,2965486572,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965502021|249|2022-09-22 15:22:45,2022-09-22,2965502021,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
