__source_pk,dt,sn,gid,tableid,people,setting_time,editor,modif_time,source_db,source_table,ods_table_name,sync_time
17e62166fc8586dfa4d1bc0e1742c08b,2021-06-23,43,105,31,30,3,92,2021-06-23 15:04:26,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
8e296a067a37563370ded05f5a3bf3ec,2021-06-23,25,103,1,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
98f13708210194c475687be6106a3b84,2021-06-23,20,101,5,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
9bf31c7ff062936a96d3c8bd1f8f2ff3,2021-06-23,15,121,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
e2c420d928d4bf8ce0ff2ec19b371514,2021-06-23,71,101,506,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
03afdbd66e7929b125f8597834fa83a4,2021-06-23,63,101,343,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
37693cfc748049e45d87b8c7d8b9aacd,2021-06-23,23,101,8,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
7cbbc409ec990f19c78c75bd1e06f215,2021-06-23,70,102,3,50,3,211,2021-06-23 23:51:50,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
aab3238922bcc25a6f606eb525ffdc56,2021-06-23,14,117,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c20ad4d76fe97759aa27a0c99bff6710,2021-06-23,12,112,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c81e728d9d4c2f636f067f89cc14862c,2021-06-23,2,102,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
e369853df766fa44e1ed0ff613f563bd,2021-06-23,34,110,1,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
66f041e16a60928b05a7e228a89c3799,2021-06-23,58,101,202,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
b53b3a3d6ab90ce0268229151c9bde11,2021-06-23,55,101,108,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c0c7c76d30bd3dcaefc96f40275bdc0a,2021-06-23,50,101,103,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c74d97b01eae257e44aa9d5bade97baf,2021-06-23,16,128,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
c9f0f895fb98ab9159f51fd0297e236d,2021-06-23,8,108,0,0,0,92,2021-06-23 15:42:41,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
e4da3b7fbbce2345d7772b0674a318d5,2021-06-23,5,105,0,60,3,92,2021-06-23 15:03:11,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
eccbc87e4b5ce2fe28308fd9f2a7baf3,2021-06-23,3,103,0,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
a684eceee76fc522773286a895bc8436,2023-10-13,54,108,2,15,0,249,2023-10-13 02:57:19,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d2ddea18f00665ce8623e36bd4e3c7c5,2021-10-15,73,128,1,10,1,92,2021-10-15 10:42:41,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
f457c545a9ded88f18ecee47145a72c0,2021-11-03,49,101,102,200,1,243,2021-11-03 11:57:19,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
093f65e080a295f8076b1c5722a46aa2,2021-06-23,59,101,203,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
14bfa6bb14875e45bba028a21ed38046,2021-06-23,69,101,115,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
1f0e3dad99908345f7439f8ffabdffc4,2021-06-23,19,101,3,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
3416a75f4cea9109507cacd8e2f2aefc,2021-06-23,41,101,36,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
4e732ced3463d06de0ca9a15b6153677,2021-06-23,26,104,1,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
6f4922f45568161a8cdf4ad2299f6d23,2021-06-23,18,101,2,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
70efdf2ec9b086079795c442636b55fb,2021-06-23,17,101,1,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
d67d8ab4f4c10bf22aa353e27879133c,2021-06-23,39,101,33,0,0,,2021-06-23 14:30:56,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23 04:16:04
