__source_pk,dt,roleid,permissionid,status,lastmodifytime,source_db,source_table,ods_table_name,sync_time
d02c4f3da2c7533a0bdf3ab172c45c33,2025-07-31,22,18,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
ee051bf65eb0afe7e2271bd1c929498b,2025-07-31,22,127,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f050c18cf8ac25083ce139878f938143,2025-07-31,22,20,1,2025-07-31 19:03:21,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
5bb1ea293a5e53c0cb55dd7d248f76de,2025-10-07,21,57,0,2025-10-07 11:27:45,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
2d77bbf6e7c3ca12655d28e84cb5f1ff,2022-12-02,21,33,0,2022-12-02 17:13:25,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
6414f54479181cf57f9965de55f29532,2025-07-31,22,19,0,2025-07-31 16:52:29,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
9252c660c21469f1a51f7de205c04dcd,2025-07-31,22,100,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b489d742a4e83b8d6e60e1e40b61e60a,2025-07-31,22,78,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c936054f72954c752b8d29f8a9481ba5,2025-07-31,22,10,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
ed893355259ba2ebff2f47221d69d536,2025-07-31,22,66,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f3dbd7ed42aca1c13cd4ecbea5ade0ca,2025-07-31,22,63,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e96615e118a3bef7b726be62575427f6,2017-08-27,8,18,1,2017-08-27 21:32:45,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
148b85d482d9a4b919e32084f17513a9,2020-03-31,33,80,1,2020-03-31 14:41:12,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
d6e0226119729230a89835bb84600c0f,2019-01-10,19,19,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
099aa40d4463cd52c0afaf158597cb46,2026-01-23,21,62,0,2026-01-23 19:43:50,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
0786cb547216dc6592ad9e8a69e037e8,2026-04-03,41,75,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
59636db501c32b8dd21a093c25abf305,2026-04-03,41,72,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
66b7d0dcc1b25549f1af3e30581fdd49,2026-04-03,41,129,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
6c576c955641212399d9dc01b6db6b52,2026-04-03,41,15,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
9fa72d515158c5c08ddbdb102e79d143,2026-04-03,41,22,0,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b3f4c705aff972022e998513847e1c43,2026-04-03,41,89,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
b4c8c9797083da0c948de1d8b694a99b,2026-04-03,41,125,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f15fcb84498745efc21222a6a588fb4b,2026-04-03,41,135,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f4ef54658ae88dc17b582983395d725f,2026-04-03,23,37,0,2026-04-03 09:59:48,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
05650868975c5b3518d3605c93b8c393,2017-08-28,4,14,0,2017-08-28 17:17:15,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
2c862736c6cee2d54204b548540bc4f7,2017-08-28,4,22,0,2017-08-28 17:17:15,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c02f677d4e6c4a6e45cc75a32c6beec5,2017-08-28,4,11,0,2017-08-28 17:17:15,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
267a1eb8c795b9d653204b2fc1b41c24,2017-09-01,6,47,1,2017-09-01 11:58:05,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
75cf219fc872342266cce9607f6d21ee,2018-08-13,3,7,0,2018-08-13 20:04:31,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
07c9edeef44a5274f90571bee4391547,2019-11-05,21,51,0,2019-11-05 23:20:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1d08f9b38b2f9ba4dbc76b27d70a79fb,2019-11-26,2,60,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c0cce841edf786416ac44154ad063a62,2019-01-02,18,58,1,2019-01-02 11:19:35,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
2291b06f97859ae671e347b5bfd49281,2020-08-27,2,50,1,2020-08-27 08:36:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
249f56ea60844c76cec8809fd7922fc0,2020-08-27,1,42,0,2020-08-27 08:41:53,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
5294fc4c09527d70c53738bb92bbd11c,2020-08-27,1,66,0,2020-08-27 08:41:53,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c293f716ac9eba7b0171c6c0e2e484ea,2020-08-27,1,33,0,2020-08-27 08:41:53,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
049b64ca1904c61d96575a3752c8a072,2025-03-14,1,18,1,2025-03-14 17:50:00,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
052b1853bbaad59ffb75710ce9b34dbc,2025-03-14,1,50,1,2025-03-14 17:50:00,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bc91a81c4378d8dde90762715a289763,2025-03-14,1,127,1,2025-03-14 17:50:00,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e98128870f0d51c7f521121c3e95bd60,2020-04-23,11,42,1,2020-04-23 20:46:37,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
36b0ea783addf2963dfc39552e541c65,2025-07-31,22,96,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
4c3c96e7c47c579d63333bde4c039551,2025-07-31,22,44,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
0e00631d407d8800181dd3e6ff639ffb,2019-07-08,20,39,1,2019-07-08 18:09:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
6a1d5735486aa035cf051e219615f540,2019-07-08,20,52,1,2019-07-08 18:09:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
99ff3ff53a2038b89115f76db895fd3d,2020-04-22,35,50,1,2020-04-22 16:44:25,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
5efd9f6def78108360686a827f69df85,2019-01-10,19,47,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a5936825c53cf7c91a5bd8fec5c112b5,2019-01-10,19,48,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b796c01495727d497783be35a3ea87ae,2019-01-10,19,16,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b5659c13e2e8f71c2fd750125f721a1f,2018-03-09,16,47,0,2018-03-09 22:43:41,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1dfaad2ecf1fb536086148193237b436,2025-08-24,46,18,1,2025-08-24 12:38:04,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7c294147bfadcbaa27b8eef64dbdea48,2025-08-24,47,18,1,2025-08-24 12:38:19,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
26896ad4161e67209ce38cc4d1164f60,2016-07-15,2,3,0,2016-07-15 17:18:03,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a8b85ea6a8ff56862a3208ab31d8ce5f,2019-10-25,21,14,0,2019-10-25 09:36:26,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
4be7d774f1bf1182760ed816071d435b,2020-08-03,28,60,0,2020-08-03 10:25:48,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
8e256ddee9c51faf165e4e5e8a0a16ab,2020-08-03,28,47,0,2020-08-03 10:25:48,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
09d291361e38133faf2466b8034d7217,2026-04-03,41,44,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
5528d08e70c064a1a2ec8f30b319266c,2026-04-03,41,133,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
615631c152a57cf2edb465838dd9059a,2026-04-03,41,60,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
8ac2d6a40642426d52c393aeb7652a1a,2026-04-03,41,53,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
937f49a3a717d22b33dc11bde3e60743,2026-04-03,41,68,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
a41a71ee83033085253f827c2f909616,2026-04-03,41,42,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
e2efbdf1a339c6b00ecf76df94bbd89c,2026-04-03,41,124,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f2bb3127376efdda663d7f80796362d9,2026-04-03,41,70,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f36d165bd4a63014879b1d768efbcd84,2026-04-03,41,21,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f763db89e2c6357d065154bd877677b9,2026-04-03,41,43,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
f94a9d72789af2ac3ed0007de8c6cc5c,2026-04-03,41,69,1,2026-04-03 09:52:19,a168,permissionrole,ods_a168_permissionrole,2026-05-19 18:34:16
554b45398d3d27b4c4910ad3fa99e3e6,2020-08-03,28,39,0,2020-08-03 10:25:48,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
