dt,ggr,vbet,hold
2026-05-05,-1056447.344,97173325.7548,-0.010871783339656
2026-05-06,-2154927.5588,94855075.2703,-0.0227181049897362
2026-05-07,-1571288.0006,89546231.1107,-0.0175472265120519
2026-05-08,-1018127.0585,99098450.0769,-0.0102738948763572
2026-05-09,-1248382.9824,88525756.3167,-0.0141019182929533
2026-05-10,-1826051.8821,78775927.8916,-0.023180328445166
2026-05-11,-1342190.383,77329236.398,-0.0173568296483879
2026-05-12,-2311698.3588,86696069.976,-0.0266643961997348
2026-05-13,-1473994.1552,93067594.5852,-0.015837888169019
2026-05-14,-1730066.3602,77484299.5623,-0.0223279602445005
2026-05-15,-2264659.8013,81923160.4605,-0.0276437064753126
2026-05-16,-1641851.9066,99224355.1017,-0.0165468639722292
2026-05-17,-1405851.1331,61462539.9886,-0.0228733002794996
2026-05-18,-1731894.7458,76738559.2382,-0.0225687680742626
2026-05-19,-1252367.8293,85399215.0139,-0.0146648634779156
2026-05-20,-1142169.1604,89116432.693,-0.0128165942675768
2026-05-21,-1824869.1727,73613557.8521,-0.0247898515700928
2026-05-22,-1577812.1262,84715204.1579,-0.0186248990589591
2026-05-23,-952425.415,79914242.1179,-0.0119180935682886
2026-05-24,-839513.0124,79703486.0331,-0.0105329522481784
2026-05-25,-171306.8064,78937341.8777,-0.00217016183120798
2026-05-26,-1405677.22,81229509.7689,-0.0173050068134005
2026-05-27,-872489.7809,77079332.5923,-0.0113193738393521
2026-05-28,-1758241.2391,82847213.5925,-0.0212226961276966
2026-05-29,-1289421.3175,88224088.4821,-0.0146152977002603
2026-05-30,-2154867.1498,76145869.1648,-0.0282991995946135
2026-05-31,-1301173.7962,70178655.1843,-0.0185408767492469
2026-06-01,-2093143.1076,84851908.826,-0.0246681911645885
2026-06-02,-1859748.95,84963123.0607,-0.0218888958292099
2026-06-03,-1250237.4529,83712585.9319,-0.0149348803287126
2026-06-04,-1733056.478,81094662.6873,-0.0213707834840209
2026-06-05,-2264640.3319,85610127.358,-0.0264529489884981
2026-06-06,-1309240.4812,84318933.8374,-0.0155272418852536
2026-06-07,-2169420.4433,66278351.877,-0.0327319612190422
2026-06-08,-1905715.067,89830907.9349,-0.021214469616416
2026-06-09,-696359.1198,86056396.3031,-0.00809189263918683
2026-06-10,-2029589.5422,99219904.9271,-0.0204554675162328
2026-06-11,-2303477.0839,90184823.5834,-0.0255417374273602
2026-06-12,-2304494.3027,109857607.998,-0.0209771024938205
2026-06-13,-1927532.7485,80055598.4805,-0.0240774260024989
2026-06-14,-1473454.1075,70838007.4865,-0.0208003324737896
2026-06-15,-1554876.9394,90099355.945,-0.0172573590908813
2026-06-16,-1676197.4735,93904642.7178,-0.0178499957508732
2026-06-17,-3017131.2871,101851308.6781,-0.0296229015243742
2026-06-18,-1384660.6114,98895543.5051,-0.0140012437600749
2026-06-19,-1946179.9071,88930805.5536,-0.0218842041853203
2026-06-20,-1274810.9067,80408252.7799,-0.0158542296670656
2026-06-21,-1185001.9864,72498011.3472,-0.0163453033314929
2026-06-22,-2198616.4369,71414113.3797,-0.0307868617679285
2026-06-23,-3088384.194,97545977.8979,-0.0316608050947274
2026-06-24,-1982090.6262,91332669.7427,-0.0217018798616519
2026-06-25,-3024455.7528,94329041.5519,-0.0320628271319384
2026-06-26,-1476604.9115,107844801.3358,-0.0136919433594415
2026-06-27,-1999943.6118,93958826.5837,-0.0212853191607115
2026-06-28,-1294477.7787,74486772.8158,-0.0173786261609312
2026-06-29,-1599100.6568,81043288.5357,-0.019731438416342
2026-06-30,-713898.0002,106391133.7023,-0.00671012682501913
2026-07-01,-1824544.8325,122928597.9584,-0.0148423138537498
2026-07-02,-2412220.1874,93816341.9955,-0.0257121535128251
2026-07-03,-1684298.1677,92600672.0096,-0.0181888330953515
2026-07-04,-2769809.4306,116361269.3221,-0.0238035340000708
2026-07-05,-1395825.6012,79643284.9735,-0.0175259672132363
2026-07-06,-1745315.2106,98539780.217,-0.0177117830662555
2026-07-07,-3128199.2035,106824459.8108,-0.0292835480660557
2026-07-08,-1768587.3891,100401529.3608,-0.0176151439162292
2026-07-09,-1803182.6468,110265948.4668,-0.0163530325714554
2026-07-10,-1282674.9679,100398765.3945,-0.0127758041930092
2026-07-11,-1191557.4401,97195787.4783,-0.0122593527046224
2026-07-12,-2589055.5104,98513857.0438,-0.0262811302703221
2026-07-13,-1164516.7429,99208227.3018,-0.0117381065519641
2026-07-14,-1448403.9928,116806404.7236,-0.0124000391607581
2026-07-15,-4069543.6425,137813562.069,-0.0295293408094515
2026-07-16,-1863873.5972,107675239.4569,-0.0173101411856722
2026-07-17,-1539946.9693,83995477.8644,-0.0183336890086636
2026-07-18,-2392839.3951,87328978.3798,-0.0274002907109868
2026-07-19,-922470.1151,73324017.373,-0.0125807361373475
2026-07-20,-2289183.1103,77309867.3252,-0.0296104907368508
2026-07-21,-1513468.8992,97832876.1178,-0.0154699417952064
2026-07-22,121578.1694,87297772.9638,0.00139268351611232
2026-07-23,-1957247.7368,89249883.6498,-0.0219299752196863
2026-07-24,-2297840.6289,83377785.1998,-0.027559386752642
2026-07-25,-224225.0107,98188002.7627,-0.00228362940879758
2026-07-26,-747459.6413,66749523.7766,-0.0111979771391572
2026-07-27,-1128365.9267,79185409.3231,-0.0142496696846755
2026-07-28,-2018585.5945,100692088.9207,-0.0200471121032134
2026-07-29,-2475408.8061,84152287.9023,-0.0294158230014367
2026-07-30,-2544007.9084,87796629.1269,-0.0289761455957828
2026-07-31,-1738216.9376,84340161.1501,-0.0206095994351552
2026-08-01,-1924580.5061,79831547.6499,-0.0241080194829771
2026-08-02,-1065030.4537,71032552.494,-0.0149935545930151
2026-08-03,-2283608.3824,76466594.2279,-0.0298641309379357
2026-08-04,-1106405.428,70732643.3826,-0.0156420766295322
2026-08-05,-2011625.8292,75223035.6951,-0.0267421516642014
2026-08-06,-2336199.7032,82764907.5357,-0.0282269354580297
