subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
118.71.141.0/24,8,21,6,261,13747.2702956760,-2030.0406814689,11409.9643856857
211.234.181.0/24,26,21,8,1214,203397.0948038717,-6799.8496503474,181468.2620419981
103.190.47.0/24,26,21,9,399,4605.0725961793,-441.9011175306,4069.4408308948
27.51.25.0/24,19,21,11,1430,111034.1471955091,-2271.8792106061,101275.5351644308
14.247.53.0/24,6,21,5,652,5194.4199630581,-203.2332705381,4805.2383063353
42.116.229.0/24,22,21,6,545,9225.7605395401,-57.4627568450,8512.6779301409
140.213.184.0/24,63,21,9,1068,21290.2014829402,-2345.3794027432,19121.9425123682
27.51.64.0/24,15,21,12,2257,202719.9251947770,-4981.7741468869,180723.1323069961
103.230.123.0/24,19,21,14,539,7387.2210368356,1503.2593049206,7189.2812218927
136.158.63.0/24,12,21,4,508,126294.7046151137,-14422.8333628961,110842.7312999735
14.186.228.0/24,2,21,4,5054,109988.4486992470,-2678.6923359964,101632.6554626648
140.213.70.0/24,42,21,8,1278,31259.7961417433,-3853.9799488525,28673.9652093211
49.49.35.0/24,12,21,8,1083,62185.1857507167,-1280.9669153982,55177.3694296236
182.1.238.0/24,67,21,10,657,80585.9806355515,2079.7790267250,72904.9351814111
14.237.225.0/24,17,21,7,239,2625.7506997053,-150.5158797245,2279.4679216500
115.76.88.0/24,11,21,6,2242,27113.9213241383,-852.7763554892,25065.0457801401
171.97.74.0/24,21,21,10,446,12952.1378424802,-1257.2282780964,11823.2159638462
49.48.110.0/24,16,21,9,2422,482369.7388951472,12893.6846990906,447459.9325824607
49.231.149.0/24,1,21,7,911,26423.3054473991,-75.4540746454,22071.0872857333
140.213.4.0/24,41,21,8,954,32169.6829179028,-561.6950840629,28961.7346530827
115.72.120.0/24,7,21,5,110,1216.2186292593,-462.5609477625,1114.7141893839
114.8.217.0/24,27,21,9,256,8035.2478452872,-1276.0436436098,7063.2048186616
223.204.15.0/24,18,21,8,1446,88354.4762842343,-7710.1957483006,78527.0530828721
112.215.133.0/24,32,21,10,371,9249.5921452313,-829.3119637161,8099.3663944498
183.42.161.0/24,21,21,10,655,92358.0000000000,3872.7500000000,84444.5000000000
106.202.2.0/24,27,21,4,1816,47150.1239178798,110.7995736819,42288.0515009062
42.112.139.0/24,18,21,8,465,30161.3763391500,-1063.0427162586,26983.1254991563
113.186.154.0/24,7,21,6,474,10660.0076419184,-203.6781097519,9617.3676644344
49.48.108.0/24,17,21,10,2226,70200.5298669329,2363.9294523387,61833.5194756874
171.98.227.0/24,17,21,11,1812,90796.9839403236,-11753.4173934659,81035.8499940147
116.98.33.0/24,19,21,8,1866,222184.9548512955,-4867.1484014678,202259.8730274647
116.108.142.0/24,12,21,6,1438,136532.5353263718,6320.3811444170,125836.1300903374
27.65.238.0/24,14,21,6,490,14998.8545539608,-653.6979582414,14175.3128625192
171.227.112.0/24,15,21,4,235,3928.6613446167,-752.6715327368,3548.3533871377
152.58.131.0/24,44,21,1,423,3399.3999520889,-14.2862722281,3244.5104299414
115.76.24.0/24,16,21,7,603,132735.4584793207,-26414.8398962812,118633.5973152955
182.63.38.0/24,38,21,8,721,58971.5384126304,-2313.8038944222,54880.6540459410
183.80.201.0/24,13,21,5,331,13816.6993797675,2117.7936828576,13464.3199277203
171.241.50.0/24,14,21,6,494,18038.5907881679,25.9741982803,16862.2947369714
49.216.183.0/24,14,21,9,1942,449188.6306606047,5442.4622686179,396065.2728851678
115.77.245.0/24,13,21,2,94,44994.1222551364,-2195.2820202272,39494.3408371815
171.239.42.0/24,11,21,4,128,7405.7757701699,1100.0915616168,7185.4464610141
39.144.179.0/24,29,21,10,991,166486.0000000000,15853.2500000000,152476.0000000000
113.169.252.0/24,7,21,5,893,5695.9767294237,-508.8046745041,4839.7332796033
14.248.57.0/24,6,21,5,917,457978.4606305109,22336.1535151465,406617.2373351137
14.236.112.0/24,5,21,3,524,9644.3966196011,1843.4518552081,7428.9656956038
106.192.95.0/24,20,21,4,864,21410.5127580912,-259.4727748132,18925.4988089783
14.164.164.0/24,14,21,5,1369,22765.8545955751,-1096.7769323729,20217.6928428252
116.103.47.0/24,13,21,4,291,6661.9916834022,121.3922017651,5930.2793243128
171.240.213.0/24,14,21,7,600,49740.9260101264,-5241.6546536320,45717.2581996540
1.55.69.0/24,20,21,6,1080,90856.8271152049,-8.9114846044,80292.2919302284
171.236.113.0/24,20,21,6,557,120684.0463995051,-968.2795965976,106942.4120601698
183.42.227.0/24,26,21,9,851,74777.3804347826,-12656.2934782608,67044.3804347826
116.106.154.0/24,18,21,4,765,16299.7235961598,-385.7212597594,15240.5727830864
113.188.86.0/24,12,21,7,337,15321.7879273561,1261.1827283791,13377.5543615329
14.229.97.0/24,8,21,4,150,3792.2857324797,243.6963930134,3300.7588159560
171.233.68.0/24,15,21,5,796,303564.7948813688,-84089.6636425316,299226.8463876414
222.253.48.0/24,13,21,8,8829,511746.7214634779,-8452.7274880025,464350.2636348410
116.96.61.0/24,19,21,7,2618,18518.1364628640,72.0525812667,16991.5324608425
14.24.161.0/24,21,21,9,439,30578.0000000000,745.9500000000,25594.0000000000
113.182.42.0/24,6,21,5,1056,20312.4878147279,58.4224033542,18283.7428930191
220.197.73.0/24,28,21,6,608,110342.0000000000,-4299.2500000000,103581.0000000000
14.191.57.0/24,20,21,5,502,22588.5606935761,-2606.5541431554,21275.0763637799
21.129.103.0/24,2,21,3,29,979.6961040264,7.9377603530,892.5184796166
116.98.126.0/24,6,21,4,72,1227.8230458637,89.5201453175,1154.1886547507
14.240.21.0/24,17,21,7,585,187877.7716002638,36605.9119903838,172912.1618249697
223.160.200.0/24,24,21,5,756,128004.0000000000,1787.5000000000,115921.0000000000
161.142.154.0/24,21,21,11,314,58373.1209902880,-2028.0818627778,49294.9341770809
14.26.226.0/24,22,21,8,651,42668.0000000000,-2534.9000000000,40795.0000000000
14.173.20.0/24,13,21,5,726,28909.3838667945,-928.1622293589,26743.8482533077
113.188.2.0/24,18,21,4,203,6131.9029846314,98.2544692705,5237.5925712789
171.234.27.0/24,12,21,4,1105,28549.2007789765,-564.7499808259,25288.3991978160
152.58.191.0/24,40,21,3,481,3271.9180535367,-161.4503985310,2923.1149900092
113.176.70.0/24,12,21,8,222,14386.4012281363,-2098.5690440571,13293.6610825781
114.79.47.0/24,15,21,8,270,6232.4460681008,850.7386748450,5662.4850305330
110.28.144.0/24,29,21,10,2198,260615.8559631678,-19297.6154320430,235774.4231544626
101.10.53.0/24,16,21,9,1147,48136.0356983493,-3849.5225511338,42868.9023860376
116.106.230.0/24,14,21,6,742,14220.3420825796,605.5659077714,13185.7995595178
101.9.197.0/24,24,21,10,3013,156057.1627474133,10537.0286689207,142748.9225552427
49.216.48.0/24,22,21,9,2181,358484.8921645419,-24918.3979926700,311487.0847444490
171.246.111.0/24,11,21,4,570,13984.2460590235,315.6697751890,12599.6807704914
171.245.109.0/24,14,21,5,2953,79953.4965985919,-672.5204468664,74116.3138495208
222.254.216.0/24,17,21,7,362,9785.1301658686,313.0584691172,9099.5770803497
42.119.103.0/24,4,21,7,221,36124.6168676571,-557.8228177082,35493.7768993205
182.5.9.0/24,30,21,10,562,23094.4699251674,-3472.3793858724,21239.4890580271
140.213.137.0/24,49,21,8,1701,85310.0544351916,-4141.7748675423,77473.9523933627
113.161.208.0/24,9,21,7,1561,107701.9613696344,-6065.3544592714,98523.6466261356
27.130.80.0/24,22,21,9,1197,28679.7959775108,-1574.0279017761,25914.2613910874
183.80.229.0/24,17,21,6,300,41930.5787225848,-5430.9531783162,40774.4168494667
113.5.161.0/24,37,21,8,3297,4306588.0000000000,-21106.8000000000,3831644.0000000000
223.104.124.0/24,39,21,9,1378,166200.0000000000,248.0000000000,142790.0000000000
14.187.44.0/24,8,21,5,1533,75420.2391175351,-8751.7873728816,66664.5314846086
116.100.71.0/24,10,21,6,1097,18138.1245185182,-562.4822039381,16806.3701439841
113.183.167.0/24,13,21,6,1865,80440.9914630480,-2425.3876640027,73026.9549820045
152.59.201.0/24,67,21,5,1810,119223.8325091954,3393.3879437213,111900.2169135121
116.106.128.0/24,20,21,5,1113,52141.8190190682,3933.4764922423,47846.0256388617
39.14.169.0/24,20,21,9,1817,297047.2687275866,4615.3410005462,266533.8400398282
171.6.30.0/24,14,21,7,1540,46837.9762269980,1709.7116832865,43138.0883492232
106.101.69.0/24,27,21,8,2513,266715.0286134561,-10240.5081344139,244527.6965548850
138.19.141.0/24,1,21,8,711,61249.6417952528,1477.1089180542,53878.7158062932
123.31.127.0/24,18,21,5,15119,730538.4619415923,-10024.8253237413,659641.2527899270
152.59.89.0/24,51,21,5,792,16381.7534451413,-1711.2625569964,15083.2407166736
101.9.247.0/24,24,21,12,930,226719.9230269332,-18279.5731570499,204125.7365988295
172.226.44.0/24,53,21,6,1056,70958.2246984081,3480.4425398662,64356.7789003543
113.23.47.0/24,10,21,3,229,7800.5338516324,-113.7312831515,7344.0963204598
27.70.151.0/24,15,21,4,489,152858.0920643488,12274.3764233333,141247.6591026792
203.150.157.0/24,20,21,9,1087,89049.9918695574,4847.2924579836,80683.0099821806
116.97.14.0/24,16,21,7,1812,101731.0681648990,79.8787501729,91157.9025762868
115.76.17.0/24,20,21,7,159,5032.4003908578,-1103.0164882623,4801.4181802406
112.224.166.0/24,29,21,6,3776,615149.6057090962,-104341.6605798038,560662.1526513874
180.191.74.0/24,22,21,5,710,13665.0430179356,-93.4776659024,12653.0864913795
117.99.85.0/24,13,21,1,173,1175.8073717937,4.9649203310,1042.7350631750
152.59.200.0/24,68,21,4,2029,98699.0953500793,1053.4788132843,88656.3161567645
223.205.74.0/24,17,21,11,3482,50587.8032542634,-320.7325327513,46175.3200710887
117.0.204.0/24,15,21,7,205,48567.6651779727,-2742.9609308845,42496.6092490524
27.53.153.0/24,19,21,12,576,237491.3631962278,-12452.9169492449,211726.6722979428
116.102.111.0/24,9,21,4,190,12652.1924456366,-2048.5147668331,11264.1380782632
116.107.172.0/24,16,21,6,367,14060.4493696931,-1874.5300265411,13165.5493104743
27.77.31.0/24,8,21,6,1290,10718.1395809744,-104.1031552783,9698.5144213417
171.227.118.0/24,14,21,7,953,24045.0368798049,-805.3857367799,21849.3591504054
113.23.107.0/24,16,21,7,5037,65133.5146888304,-2443.4138023650,58593.7225435709
171.240.208.0/24,12,21,6,335,11495.6840931600,548.6597580938,10254.1117992792
14.168.30.0/24,5,21,5,368,3179.3360901732,-641.7989636237,2765.6754489430
113.188.0.0/24,19,21,4,309,10807.5216363930,1479.1489905854,9634.7915249796
113.186.137.0/24,12,21,6,961,61286.9739586083,-1241.5493936083,52500.3665750955
123.28.188.0/24,8,21,4,598,13688.6195477904,-592.7631975795,12657.2488768459
116.106.150.0/24,13,21,4,133,13929.1328731874,-2555.7011482725,13492.9115003240
42.112.169.0/24,17,21,4,122,18344.8237544536,1669.3675357765,16969.5440059797
113.22.193.0/24,19,21,9,771,146136.4808839030,-12521.8538671566,137397.3450474944
171.252.193.0/24,9,21,4,369,14925.8858846717,-1538.5640831626,13470.8560880069
61.211.143.0/24,3,21,3,1930,79736.2002716577,-4093.0202110875,73444.5928963546
45.14.71.0/24,11,21,17,430,19133.6889838944,246.9583563623,17436.4790910962
27.72.133.0/24,5,21,7,134,2000.7686386511,33.8839043780,1907.5871688386
42.116.218.0/24,14,21,7,683,60390.0263955618,12121.2640445300,53619.1590380968
120.88.32.0/24,38,21,8,833,169672.5395339609,-8393.9291240725,154338.7814853632
115.74.226.0/24,9,21,5,713,36602.5611946973,-3148.4955175118,32799.8852409457
1.53.47.0/24,15,21,4,178,2002.2427352853,-363.8803466854,1508.2763627946
171.250.131.0/24,11,21,5,584,59418.7078210973,4609.5958997861,54921.2970071194
27.2.33.0/24,28,21,6,822,35440.9003769313,-2960.8094079710,31977.5133146925
106.64.158.0/24,21,21,12,1176,729501.2165591819,40048.6686265515,666592.3948695820
180.98.208.0/24,20,21,5,1073,124453.3351955308,-6924.1874301677,116346.1731843576
211.97.129.0/24,46,21,6,3582,390710.0000000000,-1816.3000000000,352549.0000000000
84.247.152.0/24,7,21,9,262,10621.8599087257,-385.1305422301,9603.1887229609
171.232.47.0/24,13,21,4,4350,63588.7696213976,-2384.4927100668,58646.6519035029
118.68.189.0/24,12,21,4,808,17189.9736152520,-2540.5002058399,15857.0707576825
14.150.193.0/24,11,21,6,250,29825.0000000000,2369.1500000000,26852.5000000000
171.248.241.0/24,7,21,6,409,7006.2402924274,-756.6036338730,6308.6881083223
139.214.248.0/24,32,21,3,2296,292098.0000000000,-3139.5500000000,216947.0000000000
14.183.215.0/24,14,21,5,257,38349.3137749290,-7737.9691413801,36252.2249257343
113.191.30.0/24,11,21,7,170,4139.0632664990,-1390.4539116053,4079.5846948594
182.2.135.0/24,22,21,8,637,26199.1991882398,-2711.1922981743,20223.9382954035
182.63.43.0/24,46,21,9,1032,433338.7097711218,-26224.4335374617,381166.4357745156
103.97.224.0/24,7,21,9,379,3551.5901211728,322.0384619808,3204.0579127317
122.155.38.0/24,41,21,9,384,4194.3281151027,-437.9807943988,3717.5599288111
171.246.249.0/24,20,21,8,401,23387.7390328599,-4904.1218807911,21228.8054967394
113.176.101.0/24,13,21,6,1366,130520.3055723215,-3765.6889318274,121123.4689358361
106.101.203.0/24,37,21,8,1717,201934.6507828514,342.4663238008,185038.9143887088
115.77.125.0/24,11,21,6,876,22829.5972267160,-1762.0980647142,21547.2591691427
27.75.183.0/24,13,21,6,3040,159947.4289578929,-6911.1219416578,145341.4723672977
49.151.174.0/24,6,21,3,740,22581.5431833328,-536.8532599390,20321.8832977397
146.70.113.0/24,19,21,11,934,525388.4022723053,9846.6393466465,464299.5799319226
59.153.243.0/24,11,21,8,352,20390.3471160346,-684.2894520682,18401.0564661363
106.202.15.0/24,22,21,3,1043,22562.6237037467,-118.4439163602,20033.2042891617
113.22.58.0/24,8,21,4,338,8440.7435523428,78.8978317853,7665.6681584465
42.114.111.0/24,18,21,8,695,96351.0021206966,-2059.5015673859,84919.6618510880
14.176.233.0/24,3,21,3,198,1800.5347820514,-120.8391233583,1650.3090542737
117.0.185.0/24,8,21,4,98,1392.6843358571,-186.5037765370,1351.4473962470
14.253.140.0/24,8,21,5,581,41205.4801151645,-1781.9499469204,37518.2754937051
113.165.100.0/24,11,21,4,453,5935.0754747458,-476.0078514913,5639.8259245684
114.10.127.0/24,28,21,11,827,39894.2011379827,217.2005798727,34724.0010946937
118.68.236.0/24,8,21,6,595,18379.1342543861,769.4346669702,16985.4109543854
223.104.233.0/24,49,21,5,2268,1591275.0000000000,-89198.2500000000,1427298.0000000000
42.114.67.0/24,15,21,6,130,18603.2237991984,2519.1052061844,17509.8855938297
27.2.114.0/24,23,21,8,3809,371517.9370953498,-20541.0902262131,333737.3436718626
171.247.12.0/24,8,21,3,572,29034.3843351805,-2469.8818347274,26907.4579803958
112.197.32.0/24,15,21,11,3061,87222.8423828145,-3151.6142424378,78530.4469013139
103.235.93.0/24,24,21,9,818,236666.4912169750,-30260.4877680913,210618.8223420072
106.192.92.0/24,24,21,3,1100,26873.3631138677,-846.4029476294,24060.6105899041
14.174.85.0/24,5,21,5,576,4921.8079759527,-95.4737417585,4471.0324819732
14.188.205.0/24,13,21,5,124,8027.7055126224,1285.2463606610,7712.1731636240
171.250.99.0/24,14,21,4,318,57577.2919542065,7769.8941966977,51072.9088345067
182.52.52.0/24,9,21,11,639,14276.5719841272,820.2546784895,12819.7778021721
182.2.77.0/24,27,21,8,624,26113.7390015053,1312.5688663094,23495.6680578102
115.73.46.0/24,19,21,6,1054,34957.3571708400,-4054.5372172635,32192.9368769709
171.248.50.0/24,8,21,5,1059,21993.1805511546,1921.0976088197,20183.4292256383
152.58.117.0/24,22,21,6,459,10674.1455557828,-1550.1972649775,10367.4750383732
49.49.50.0/24,14,21,6,2032,84865.8401321950,-2299.4205736624,77612.3064759644
116.96.159.0/24,16,21,7,271,5857.8789125605,-678.4461316905,5552.8227182409
42.119.19.0/24,17,21,5,1297,71512.1382593910,-1127.9086538659,64148.0892822513
116.108.5.0/24,14,21,3,307,46312.4387904363,3538.2456385118,41817.0921192274
14.182.245.0/24,6,21,3,1565,10635.5526707600,-332.8559410152,9525.5383042492
14.186.64.0/24,4,21,6,126,9807.8684059874,-1903.4494528442,9453.5732748173
60.15.136.0/24,35,21,5,536,294968.0000000000,-21763.7500000000,273716.0000000000
112.197.241.0/24,11,21,4,467,18642.3363059879,-1586.9498199631,16712.9203974021
118.68.174.0/24,9,21,6,389,18848.4234266300,-559.9049571551,17580.9052198213
182.63.45.0/24,34,21,8,955,124205.8107905104,6872.7278765822,111492.3897966678
14.236.171.0/24,4,21,5,2219,46609.8503649070,-2309.5151333399,43746.8630472181
14.161.146.0/24,15,21,4,427,9409.7350187283,-1298.0116536099,8571.7317184654
49.49.77.0/24,16,21,8,8332,113743.9971048596,-5334.4248554179,89750.0216715449
123.23.104.0/24,14,21,6,167,13453.0528287905,-2450.6420179100,12748.8410464688
203.172.144.0/24,1,21,2,135,131.3869390363,31.5118914408,122.6143497718
171.229.208.0/24,16,21,4,11893,13780984.1460770175,-239042.1428334876,12487779.2443850902
1.53.224.0/24,16,21,5,440,4642.7996911088,-361.8752869348,4248.5930884822
123.22.68.0/24,9,21,8,690,54473.5155862253,1286.1773485342,50290.3470434034
203.168.240.0/24,29,21,15,567,112337.4037907269,-12179.0259815950,107679.1351627460
49.156.46.0/24,18,21,8,3113,282954.8219607719,22153.0505821288,253223.1833152284
14.179.234.0/24,15,21,7,642,316069.2918172736,-6266.4688054684,291873.5279263120
157.85.108.0/24,10,21,7,182,11397.4276119741,539.8251961100,10951.6854283852
115.72.140.0/24,11,21,3,1414,24567.4369730302,-990.3853885089,21950.0431128374
124.160.199.0/24,32,21,6,917,164990.0000000000,5068.6000000000,134529.0000000000
61.159.16.0/24,31,21,9,502,49644.0000000000,848.7500000000,45574.0000000000
42.115.122.0/24,13,21,5,593,11914.9647103251,-412.8670972013,10927.2509006208
42.115.249.0/24,17,21,6,729,20600.9306327319,-659.9623852502,17408.7410360138
27.64.137.0/24,8,21,5,2821,112141.8503051489,-1562.3817437643,99345.6595694579
14.24.176.0/24,24,21,10,302,88838.0000000000,12402.7500000000,80573.0000000000
171.227.12.0/24,16,21,5,640,41259.4409413775,276.5617652021,37533.6959225126
171.241.24.0/24,11,21,6,277,6907.1678926177,-248.9723977083,6117.8156721656
117.28.231.0/24,13,21,6,1714,105446.0000000000,-3089.0500000000,98083.0000000000
1.52.181.0/24,6,21,5,82,2928.8659210981,-503.6963222845,2451.1302199483
171.246.224.0/24,8,21,6,1856,22508.5510564991,-1349.4151371787,19528.1121265227
27.64.218.0/24,12,21,6,1771,53966.8342319287,-1185.6993438658,50433.7856925715
103.138.192.0/24,1,21,1,42,157.3151546946,6.1802382199,52.4383848982
27.51.9.0/24,18,21,11,1110,96691.1993575999,-28136.7923670425,82437.6247698676
14.190.171.0/24,11,21,8,2707,27220.3947762349,1127.8329137857,24213.7062188547
223.204.49.0/24,6,21,4,671,34829.2272569259,4882.7945402799,31684.7986669633
116.178.172.0/24,28,21,5,456,143612.0000000000,-2039.1000000000,128229.0000000000
152.58.179.0/24,31,21,3,410,13763.2938942701,-652.4694126712,12443.4841860317
152.59.167.0/24,14,21,2,104,847.6619283750,-137.2442961870,811.5670797770
223.160.210.0/24,30,21,8,1153,136561.4347826091,1442.5641304347,121966.3913043482
49.145.200.0/24,4,21,2,786,8071.7128808918,-357.6613038102,7071.8355241891
180.74.69.0/24,20,21,11,3731,1128231.6159994859,86120.8464368380,1041834.2360914073
27.130.48.0/24,16,21,10,869,35483.2431053804,-6122.2837347896,32084.0459436879
123.31.129.0/24,16,21,7,2271,377413.1266904409,7870.5233286114,339860.2931642985
42.114.173.0/24,15,21,6,209,44300.5610648225,4585.9506065612,37294.2554852580
27.130.55.0/24,22,21,10,1653,52793.3287193160,-1511.8681251578,46478.7292510718
113.22.30.0/24,13,21,6,321,3503.1817280546,-69.1137207271,3176.4060469888
115.76.1.0/24,8,21,4,1036,45006.7948905688,-2383.9832047519,40105.3558870957
171.239.1.0/24,14,21,4,531,6530.7922371503,-375.2326297233,6201.6726733970
183.80.226.0/24,18,21,5,468,18420.4492669765,-1515.5331157884,16257.3269114253
113.176.133.0/24,6,21,5,277,3742.1546809192,1096.9058426251,3540.4592035715
171.232.186.0/24,15,21,4,189,20231.2815578624,1021.5620416170,18999.1260697979
42.114.226.0/24,10,21,6,399,20177.9164143672,1089.0688561500,18566.6864946999
42.105.36.0/24,25,21,3,1296,30776.6243702137,349.5761815242,28400.4156374420
106.202.12.0/24,26,21,5,1465,31710.3712128354,-1313.3236984202,28118.4180888550
117.2.183.0/24,8,21,4,535,425146.0940881787,-7075.6814364114,392011.1560361728
182.8.178.0/24,30,21,13,2714,38057.5702862752,-1369.7485852000,33335.3417992421
223.205.25.0/24,17,21,10,1418,199914.7679705918,17385.1970295826,174015.0885523354
49.49.93.0/24,16,21,8,2386,75928.0645236419,-2890.5878713017,66569.5299641659
14.176.232.0/24,9,21,8,241,11198.4290413970,27.4649998230,10581.0538253160
49.144.0.0/24,6,21,5,132,2561.6019917511,-195.3856618180,2337.0739065513
171.246.172.0/24,12,21,5,471,7738.5805339070,542.6597556186,6975.8933473856
171.245.210.0/24,10,21,6,1240,40877.9232177134,-359.0130053794,37429.1500787037
115.135.29.0/24,34,21,9,6728,1159873.8175130502,-121814.3833122626,1049603.6943896559
171.246.19.0/24,13,21,5,302,10368.7634278588,-2388.8835508512,9772.1893486974
113.191.14.0/24,7,21,4,572,6115.9294424602,197.8788882535,5601.5339677328
183.80.188.0/24,8,21,4,1289,97554.0647183142,-9608.3215111781,88242.2824680940
103.139.45.0/24,15,21,5,153,24890.9667504729,633.2960654282,23759.8362596893
14.224.167.0/24,4,21,7,484,20537.3886722185,-124.5281976795,18674.5397775946
152.59.155.0/24,46,21,5,604,7719.9664475227,229.0222592623,6840.7817776174
113.9.223.0/24,33,21,7,994,1043255.0000000000,-37157.2000000000,950725.0000000000
116.100.164.0/24,16,21,5,859,24639.8575033131,-742.4215172999,22458.4664592489
202.57.210.0/24,5,21,8,2303,525003.8178448795,-15113.6023938606,467790.9979580576
171.7.251.0/24,19,21,10,712,7747.5049868525,-336.0716357928,7305.8432641009
39.15.30.0/24,22,21,9,1604,122539.8751799438,-15768.7248903894,112653.6830995248
49.48.109.0/24,17,21,9,2159,61163.2755593960,-1157.9860867844,56616.8802966813
14.239.222.0/24,11,21,4,823,15209.3474295611,-1868.0740881202,13045.4417970424
106.202.6.0/24,24,21,4,1763,34384.9191435958,-790.2412375891,30772.5892824396
124.236.31.0/24,19,21,2,583,34046.0000000000,-1169.0000000000,31686.0000000000
42.118.212.0/24,12,21,7,2487,18019.6744360681,-736.4093487322,16151.4753095008
27.2.17.0/24,21,21,6,696,10351.8083681199,-1683.5036270680,9326.6176195875
45.125.5.0/24,87,21,4,13439,364053.7058343211,-27947.9315417334,333287.2321406728
113.104.96.0/24,15,21,6,521,29435.0000000000,-1840.2000000000,26923.0000000000
14.168.111.0/24,14,21,5,338,7985.7305182761,954.2997872033,7490.7064385472
103.170.26.0/24,9,21,10,1889,1445757.0005503290,-200372.4932414334,1320752.0713257785
14.188.67.0/24,13,21,6,470,9634.2738983633,-1410.0865948761,8813.5868641763
116.96.16.0/24,14,21,6,1003,90777.2662746102,5228.0279466487,77789.9535109205
123.23.181.0/24,7,21,4,734,18908.7291499179,-243.6010158235,17153.2079845194
14.230.30.0/24,10,21,6,37023,4211445.1712062050,-109714.2761156936,3701366.4843615429
113.184.153.0/24,12,21,5,550,12803.9555635995,-1333.3587232212,12170.1259373003
14.187.247.0/24,11,21,6,337,19532.7102324797,194.9438282551,17660.8579492335
211.235.80.0/24,51,21,8,1719,333645.8360644865,24332.8952338923,298748.5228843053
49.218.139.0/24,21,21,11,1947,549039.9304689694,-1666.9661933480,502081.4629008490
14.236.3.0/24,5,21,4,286,13723.6523183183,-7.3519380760,12424.0506175737
182.2.83.0/24,28,21,10,1549,12752.9894011016,-28.5452789689,10060.4718021107
223.160.135.0/24,23,21,5,221,58903.0000000000,-14082.4000000000,56595.0000000000
114.5.247.0/24,29,21,14,1334,66463.6937184110,-782.4452615396,58462.2294736001
116.130.211.0/24,26,21,6,737,150517.0000000000,23147.8500000000,135315.0000000000
103.252.201.0/24,38,21,9,7444,3296526.2972216318,-145443.3356614801,3001389.0507044150
14.161.46.0/24,7,21,5,2180,339455.8402566112,17191.2365437270,306262.0386293322
14.191.130.0/24,22,21,6,369,10285.3363165873,-398.7877433039,9425.9595254106
180.75.241.0/24,20,21,9,1687,123165.7672657441,-1241.2980268463,112237.0437512905
182.63.42.0/24,42,21,11,1141,174356.8507553030,5312.9486945553,160263.4766481514
110.54.228.0/24,27,21,5,989,13532.6466716233,133.3235732844,11915.3788276786
171.226.218.0/24,20,21,7,909,34038.0189909298,-1532.0373251418,31223.7186489363
27.130.37.0/24,24,21,15,773,35131.9630893449,2246.0194333180,31199.1942511624
223.204.113.0/24,17,21,11,851,15277.7758079499,-981.3414054915,13338.2688504065
27.51.32.0/24,19,21,12,1559,964769.7243384721,14563.9223467763,877141.6266446700
124.217.17.0/24,6,21,3,121,586.9531453612,-14.6058378422,541.2253895365
103.11.48.0/24,27,21,8,9961,39446576.6860026357,-64285.1763306493,36115688.5627125202
118.69.65.0/24,9,21,5,9600,1181212.9204215015,-7034.6863013176,1062800.4294301553
113.167.70.0/24,8,20,5,1055,27636.5521777855,-1406.3095950279,24614.8258537845
116.104.242.0/24,14,20,6,277,15809.3123667437,-2339.7319723311,14516.1340637268
183.39.18.0/24,20,20,7,615,78555.4037390210,2396.3145242405,75205.4322309409
123.28.30.0/24,10,20,7,589,35505.3264112982,-4160.0513010137,31877.5262213542
114.10.24.0/24,23,20,8,284,42446.3236578929,-10895.8431624645,38695.4061562391
171.252.20.0/24,15,20,5,298,15241.8559353212,-298.6651391277,13958.9615146829
123.18.50.0/24,14,20,9,526,20518.5180830077,-2089.8052581033,18483.9462868495
27.51.26.0/24,21,20,14,622,152438.4224208548,-14982.5646112976,138115.5813593179
117.7.151.0/24,14,20,7,184,12645.9591047336,-2592.7515555605,11478.6679704244
14.185.85.0/24,5,20,3,216,3503.0859891229,-122.3604046106,3238.4479744830
103.185.146.0/24,12,20,10,1036,7771.9969432955,-1138.0432448717,7071.4294983985
43.255.54.0/24,36,20,10,436,87199.8560409129,680.9815701174,81537.9515217531
39.144.152.0/24,26,20,6,340,139271.0000000000,-1075.9500000000,131423.0000000000
49.217.197.0/24,16,20,10,2862,145506.3835702150,-12907.1905750121,131686.2213330597
27.77.144.0/24,8,20,4,197,1969.3389686981,37.0155961117,1831.6885045499
171.246.117.0/24,18,20,4,409,18712.7301937478,1580.1971488175,16873.1550611610
180.191.49.0/24,12,20,4,527,4308.3229003632,263.4324693363,3943.0847457132
1.55.139.0/24,11,20,5,346,48192.2595932106,-221.1488909814,44158.8980926822
117.2.120.0/24,11,20,8,1064,194314.9346002707,-6174.3119609549,180972.7382225482
39.194.1.0/24,31,20,9,855,20479.8024205867,999.4651599021,18951.3416781474
118.68.150.0/24,16,20,6,471,39154.9413192994,4297.6795194536,35951.7718568222
49.125.211.0/24,49,20,8,2128,544390.1561454151,12443.4000330105,491112.2319521105
27.68.28.0/24,15,20,6,2869,193109.9591131658,1166.5790992232,175020.7113573607
182.8.158.0/24,21,20,10,685,68065.0810510907,3278.5526596408,58928.7880088265
110.28.65.0/24,18,20,9,2282,189489.1590467035,-4229.2826046918,170044.3613470083
116.110.232.0/24,17,20,6,366,20893.3359506784,-2025.1361810665,19430.0450255787
