subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
14.173.76.0/24,5,5,4,310,5465.6712873903,-1049.5908544703,5069.5369587724
36.102.223.0/24,4,5,2,235,13364.0000000000,629.0000000000,11476.0000000000
125.24.91.0/24,5,5,4,359,42877.4089975731,660.5178927001,37924.5937222665
21.251.73.0/24,4,5,2,19,2786.7233077850,84.9174394836,2786.7233077850
27.78.72.0/24,5,5,4,214,11973.1429051334,1061.9943214091,10842.1549507874
171.231.84.0/24,5,5,3,312,11459.9499083067,-568.9874460813,9813.6944190806
123.17.139.0/24,4,5,4,277,36647.5041420548,7549.1401797824,32959.2638807801
171.219.227.0/24,17,5,4,201,49239.0000000000,10866.6000000000,46651.0000000000
140.224.198.0/24,5,5,4,85,10344.0000000000,2768.3500000000,10086.0000000000
14.169.5.0/24,8,5,5,108,6907.0209541948,-339.5984072154,6378.4168424221
14.229.14.0/24,5,5,4,15,10492.6577034825,3426.4155704837,10441.0221472385
182.0.230.0/24,6,5,3,105,6773.2246775656,1872.6820280181,5844.9263526750
157.34.200.0/24,5,5,2,408,12875.7008507088,-326.9077046069,11410.9652922770
21.240.128.0/24,4,5,3,186,9014.7570230802,-1136.2089456579,8337.5736906116
42.119.132.0/24,2,5,3,217,21501.1910059477,2580.9098761877,20005.4969505063
123.16.36.0/24,4,5,2,44,1782.6684313490,387.7441461740,1627.9148028083
49.228.216.0/24,6,5,5,2144,18290.9745476845,-1577.8476488233,16765.4863587377
115.79.29.0/24,3,5,3,281,23229.3835886783,-1422.5218836960,21194.4027969079
21.215.104.0/24,5,5,3,108,13424.2289397220,-1691.7389711432,13214.8213015784
103.88.169.0/24,4,5,4,261,1051.8150302357,5.3227314222,971.6872748414
21.242.197.0/24,4,5,3,24,1581.1408040631,44.3772174168,1525.6325811008
175.2.171.0/24,5,5,3,81,10717.0000000000,1754.8000000000,9687.0000000000
14.227.232.0/24,4,5,3,79,2119.5953645557,-54.5628307875,1949.5960284501
21.84.95.0/24,3,5,3,568,12911.5089405903,-1886.1243364444,12249.8930410525
14.168.22.0/24,5,5,3,510,211940.2210644633,-7579.5969279235,191878.5997260983
113.167.222.0/24,5,5,3,198,159291.2657325701,-8352.1927035016,142918.2036019541
1.1.128.0/24,5,5,5,168,2877.8716065430,-747.8647846992,2663.6083988968
152.59.61.0/24,7,5,1,30,77.3060860148,-23.7951941996,70.8286862984
171.242.71.0/24,4,5,4,88,6866.7380810717,202.0775226145,6686.5248510550
106.196.19.0/24,5,5,3,52,334.2770187118,72.5591576238,300.5551520079
