bet_ip,n_member,n_lv3_chain,member_per_chain,n_orders,stake,game_pnl,net_pnl
113.185.72.186,22,9,2.4444444,292,36257.7291717726,-3883.5001318921,-3883.5001318921
42.113.203.35,22,9,2.4444444,278,15033.2952725941,-878.5961980611,-878.5961980611
113.185.41.115,22,9,2.4444444,406,51495.0891850247,-6236.6066499227,-6236.6066499227
113.185.45.251,22,9,2.4444444,762,59722.4475617807,3258.6256723448,3258.6256723448
103.199.70.176,22,9,2.4444444,553,35740.4276281723,5736.3438490743,5736.3438490743
113.185.79.6,22,9,2.4444444,229,5729.4520532062,-1571.6289503189,-1571.6289503189
103.199.68.220,22,9,2.4444444,847,68525.6209681787,4286.3102375282,4286.3102375282
113.185.75.202,22,9,2.4444444,455,35966.7236617708,-4345.1230904250,-4345.1230904250
113.185.46.243,22,9,2.4444444,133,20573.2431068983,260.4855705443,260.4855705443
42.113.201.153,22,9,2.4444444,341,24906.6124948550,1445.3519190098,1445.3519190098
113.185.80.59,22,9,2.4444444,528,12867.0590474107,169.1397620504,169.1397620504
113.185.45.53,22,9,2.4444444,385,23160.6837469302,-1882.1658038909,-1882.1658038909
113.185.45.103,22,9,2.4444444,162,15572.1900988493,1935.3312215525,1935.3312215525
113.185.87.225,22,9,2.4444444,258,12036.4510217757,-1768.7592346683,-1768.7592346683
42.113.248.44,22,9,2.4444444,322,5786.4259540176,-1015.7979966975,-1015.7979966975
113.185.44.233,22,9,2.4444444,253,55073.8089299683,1700.6739388165,1700.6739388165
113.185.76.7,22,9,2.4444444,675,29436.8107036650,3543.7947188107,3543.7947188107
113.185.84.112,22,9,2.4444444,446,15174.4625859452,-310.4999056671,-310.4999056671
113.185.45.158,22,9,2.4444444,508,150158.4967003918,-5950.3322252324,-5950.3322252324
113.185.77.169,22,9,2.4444444,1078,86634.9559301566,2915.0114350472,2915.0114350472
42.113.201.169,22,9,2.4444444,357,40153.8254925424,8519.7742031956,8519.7742031956
113.185.45.61,22,9,2.4444444,971,74961.7845267991,-3063.8827303661,-3063.8827303661
103.199.68.195,22,9,2.4444444,295,11823.2764665412,-1143.0508361410,-1143.0508361410
113.185.72.238,22,9,2.4444444,216,24072.1529367066,-922.1948208279,-922.1948208279
113.185.78.60,22,9,2.4444444,723,29217.3939828471,2647.6237387766,2647.6237387766
113.185.79.164,22,9,2.4444444,296,23864.7450595309,-1303.8839315358,-1303.8839315358
113.185.44.20,22,9,2.4444444,258,81274.2005495894,6817.4778463903,6817.4778463903
113.185.47.92,22,9,2.4444444,305,80650.3855244998,-14940.7113887669,-14940.7113887669
42.113.203.191,22,9,2.4444444,439,31090.9837782434,673.9454590293,673.9454590293
171.251.153.253,22,9,2.4444444,464,75782.2276559333,-1408.0061753340,-1408.0061753340
113.185.45.83,22,9,2.4444444,779,137820.8730992577,-1112.3544212056,-1112.3544212056
113.185.47.94,22,9,2.4444444,459,17932.6602364145,-2195.6371666824,-2195.6371666824
171.253.243.48,22,9,2.4444444,337,6610.9192892495,185.1235555616,185.1235555616
122.11.246.148,22,9,2.4444444,2846,552766.4803452017,2229.5144398411,2401.3952108094
113.185.78.216,22,9,2.4444444,226,21889.0991790771,-5276.6062814998,-5276.6062814998
113.185.46.15,22,9,2.4444444,138,8642.2350717379,3042.9956259327,3042.9956259327
103.249.22.88,22,9,2.4444444,616,11515.5706329950,-1195.9140303487,-1195.9140303487
42.113.248.188,22,9,2.4444444,605,14962.7669903006,-932.3474166973,-932.3474166973
113.185.75.66,22,9,2.4444444,380,16705.8020016095,2348.9201969603,2348.9201969603
113.185.45.204,22,9,2.4444444,415,16915.1508356632,-565.7207545384,-565.7207545384
113.185.77.45,22,9,2.4444444,156,9574.6246583864,-1508.6766118307,-1508.6766118307
49.49.225.147,22,9,2.4444444,631,10309.8899026442,539.9395060360,543.2451104186
42.113.248.238,22,9,2.4444444,200,7591.7710102044,-1678.1809592082,-1678.1809592082
113.185.73.140,22,9,2.4444444,419,21631.4793137371,644.7051280366,644.7051280366
49.49.225.221,22,9,2.4444444,837,59969.5776845656,-4673.9461377883,-4671.3020574384
49.230.144.208,22,9,2.4444444,982,12211.7136063149,-470.0340816359,-460.5579376484
113.185.46.12,22,9,2.4444444,225,16246.7412294811,3275.1369988518,3275.1369988518
113.185.45.12,22,9,2.4444444,384,129489.3756071654,-6510.1939829928,-6510.1939829928
113.185.72.197,22,9,2.4444444,391,17626.1452176285,1200.9159341759,1200.9159341759
42.113.248.149,22,9,2.4444444,489,17736.6209681295,-787.1125252756,-787.1125252756
122.11.246.140,22,9,2.4444444,716,47918.7676394749,7693.0877518692,7749.2890982477
103.199.69.175,22,9,2.4444444,490,41367.6165663724,-2575.3980622463,-2575.3980622463
113.185.72.28,22,9,2.4444444,1023,70673.0134451004,1025.9864711772,1025.9864711772
103.199.41.115,22,9,2.4444444,486,14442.4755417196,600.9923878848,600.9923878848
49.49.225.218,34,14,2.4285714,2102,44019.9804189970,470.7192386002,470.7192386002
117.20.154.123,34,14,2.4285714,644,146161.4530043954,-31861.8073292362,-31834.2137104891
49.49.225.175,34,14,2.4285714,966,30241.0702153213,1956.4165728667,2012.6100586914
49.49.225.196,34,14,2.4285714,1330,20628.8071919549,-2238.8650652019,-2236.7416850103
117.20.154.60,29,12,2.4166667,2144,312720.7782141369,-52931.9437899367,-52723.7276135476
49.49.225.21,29,12,2.4166667,925,29076.1886866079,919.8052502860,920.0744483004
42.113.203.87,29,12,2.4166667,744,45228.7035675524,3051.9097047749,3051.9097047749
113.185.79.183,24,10,2.4000000,381,21387.1466154241,1427.4744223243,1427.4744223243
113.185.44.198,24,10,2.4000000,583,41462.1080344135,1883.7031577075,1883.7031577075
113.185.46.1,24,10,2.4000000,389,34976.4698490539,3363.0711973998,3363.0711973998
42.114.44.115,24,10,2.4000000,304,38448.9007179445,-14709.6675676935,-14709.6675676935
113.185.47.237,24,10,2.4000000,661,66517.0243375274,-4648.5186378480,-4648.5186378480
104.28.163.100,24,10,2.4000000,272,20867.4082786365,3039.7990327588,3120.7765267840
42.113.201.29,24,10,2.4000000,571,12380.5339520802,859.9250560376,859.9250560376
113.185.46.143,24,10,2.4000000,287,15961.5615725031,-651.5550101287,-651.5550101287
113.185.44.135,24,10,2.4000000,334,68470.6271265456,899.0695069077,899.0695069077
113.185.78.16,24,10,2.4000000,538,54774.7577369510,-3949.7048919126,-3949.7048919126
113.185.74.21,24,10,2.4000000,368,20787.1344013225,-6955.4721164761,-6955.4721164761
113.185.45.169,24,10,2.4000000,250,15866.9616843460,-2217.6734062405,-2217.6734062405
113.185.72.168,24,10,2.4000000,260,24945.6019658622,-4533.0104507733,-4533.0104507733
113.185.42.41,24,10,2.4000000,207,16393.4321867171,2340.5983257963,2340.5983257963
42.113.203.213,24,10,2.4000000,506,44336.2559843465,2648.1645437643,2648.1645437643
42.113.203.237,24,10,2.4000000,536,22625.8986191909,2063.4957504490,2063.4957504490
113.185.78.147,24,10,2.4000000,260,60685.7572935657,4846.7602965420,4846.7602965420
113.185.77.35,24,10,2.4000000,535,55707.3907503834,-10372.5106264770,-10372.5106264770
42.113.203.11,24,10,2.4000000,321,20708.7260402273,-1782.7237251346,-1782.7237251346
113.185.75.124,24,10,2.4000000,350,14750.6830948655,1474.8755451163,1474.8755451163
49.49.225.170,24,10,2.4000000,296,489153.5661362741,-21463.3793146424,-17637.7360806374
49.230.146.159,24,10,2.4000000,660,15336.7560955133,-233.7494601228,-213.2846788146
113.185.42.121,24,10,2.4000000,235,18591.9590867686,-4039.3940667664,-4039.3940667664
113.185.42.129,24,10,2.4000000,307,53252.3682895435,-9531.9816056482,-9531.9816056482
113.185.73.247,24,10,2.4000000,350,41322.1689252140,1521.2599449124,1521.2599449124
113.185.42.125,24,10,2.4000000,781,40891.4809545491,-270.1551098096,-270.1551098096
113.185.44.75,24,10,2.4000000,714,37911.2360522546,1219.8105270959,1219.8105270959
42.114.44.177,24,10,2.4000000,374,26344.4879421596,-4654.0527492568,-4654.0527492568
113.185.46.228,24,10,2.4000000,400,62645.4204462367,-6433.8802609082,-6433.8802609082
113.185.46.59,24,10,2.4000000,213,27462.5012662463,-2316.2073204300,-2316.2073204300
113.185.44.243,24,10,2.4000000,751,51166.2823008382,-68.8014924559,-68.8014924559
113.185.46.83,24,10,2.4000000,215,37530.3679564749,-4535.7576889059,-4535.7576889059
113.185.81.187,24,10,2.4000000,175,8117.7059078698,-1377.2595678395,-1377.2595678395
113.185.47.152,24,10,2.4000000,462,121776.8300015175,-4237.6653941175,-4237.6653941175
113.185.78.223,24,10,2.4000000,373,24304.4323439622,1076.8080866613,1076.8080866613
113.185.77.44,24,10,2.4000000,549,60567.4309691073,-8702.4977706036,-8702.4977706036
113.185.78.118,24,10,2.4000000,490,74322.0548584333,-11582.3162906793,-11188.1322946717
42.113.203.141,31,13,2.3846154,625,25849.7267833987,1708.0781545569,1708.0781545569
49.49.225.10,31,13,2.3846154,732,41524.9579182047,8001.2303207768,8010.7536159631
49.49.225.4,31,13,2.3846154,1076,45625.4060351190,-5346.0610908410,-5134.9287568107
49.49.225.132,31,13,2.3846154,772,52417.8345040763,-4129.8348412282,-4082.8015274365
113.185.73.13,31,13,2.3846154,437,28120.7252266032,4784.6044474722,4784.6044474722
49.49.225.125,38,16,2.3750000,917,18474.0811090274,-1718.7842155796,-1717.2355589335
113.185.42.160,26,11,2.3636364,192,22492.4710132390,-2073.6877494014,-2073.6877494014
