table_id,n_rounds,mean_sec,p50,p90,p99
663,68818,49.55526170478654,49.0,62.0,74.0
665,68722,52.07913040947586,49.0,62.0,73.0
632,66150,59.894603174603176,56.0,75.0,117.0
667,66120,47.3875983061101,46.0,56.0,67.0
669,66036,46.509176812647645,46.0,56.0,66.0
668,65927,46.29728335886662,46.0,56.0,65.4326171875
670,65856,46.609116861030124,46.0,56.0,66.0
633,63986,61.83469821523458,58.0,79.0,125.0
631,60742,64.27343518488031,58.0,89.0,138.0
986,53836,51.58626198083067,51.0,64.0,88.0
983,53524,51.73058814737314,51.0,65.0,88.0
987,53335,51.91553388956595,51.0,64.0,87.0
985,53247,52.26489755291378,52.0,65.0,89.0
619,51635,71.0599786966205,63.0,105.0,165.0
952,50500,55.20445544554455,54.0,64.0,78.0
957,50489,54.54273208025511,53.0,63.0,79.0
951,50465,55.02282770236798,54.0,64.0,78.0
953,50278,54.80259755757986,53.0,64.0,81.0
956,50204,55.424986056887896,54.0,64.0,78.0
955,49804,55.2398200947715,54.0,64.0,79.0
958,49728,55.0132722007722,53.0,64.0,82.0
959,49398,55.37025790517835,54.0,65.0,83.0
617,47233,75.72646243092753,68.0,113.9248046875,172.0
613,46045,73.51404061244435,70.0,88.0,130.0
612,45650,73.87259583789704,70.0,90.0,135.0
615,45506,72.97828857733046,69.0,88.0,132.0
990,45396,52.241056480747204,51.0,64.0,87.0
991,45252,52.08501281711305,51.0,64.0,86.0
616,45057,79.18720731517855,73.0,117.0,173.0
973,45006,59.02512998266898,52.0,71.0,236.0
992,44781,53.16520399276479,51.0,65.0,90.0
993,44184,52.21408202064096,52.0,66.0,94.0
976,43926,59.42152711378227,52.0,72.0,239.0
975,43526,58.998644488351786,52.0,72.0,236.0
972,43352,59.13316571323122,52.0,72.0,238.0
971,43221,59.02649175169478,52.0,73.0,236.0
680,40102,72.80025933868635,51.0,61.0,69.0
982,38959,53.512898175004494,52.0,65.0,89.0
981,38522,52.8051243445304,52.0,65.0,88.0
977,37218,61.2004675157182,52.0,73.0,249.0
979,34410,62.575065387968614,52.0,75.0,250.0
978,34269,62.62823543143949,52.0,77.0,252.0
628,29711,121.01854531991518,104.0,176.0,351.390625
152,27380,35.15756026296567,32.0,46.0,96.0
931,23301,100.16042229947213,54.0,79.0,181.490234375
935,22636,86.14596218413148,54.0,80.0,178.0
932,21804,96.73605760410933,54.0,80.0,168.0
933,21536,84.12699665676077,54.0,80.0,161.140625
937,21005,63.768436086646034,55.0,83.0,180.451171875
938,20924,63.970655706365896,55.0,83.0,177.0
936,20865,62.875341480948954,55.0,82.0,171.69921875
939,20651,65.45484480170452,55.0,82.0,175.0
625,17293,69.39489967038686,59.0,95.0,164.0
603,17051,46.004457216585536,46.0,56.0,64.0
605,17016,46.06493888105312,46.0,55.0,63.0
601,16904,46.64203738760057,46.0,56.0,65.0
602,16267,48.533288252289914,47.0,58.0,105.0
119,14191,53.90599675850891,47.0,61.0,122.0
627,12385,120.40904319741622,96.0,155.0,361.30078125
652,11792,137.1993724559023,91.0,152.0,393.16015625
626,11214,140.31326912787586,126.0,198.0,308.3603515625
606,10784,46.184532640949556,46.0,56.0,66.0
608,10661,46.64646843635681,46.0,56.0,66.0
607,10628,46.74435453519006,46.0,56.0,67.0
610,10539,46.99715343011671,46.0,57.0,68.0
622,9037,86.15248423149275,57.0,93.0,179.1298828125
153,7242,66.3318144159072,66.5,100.0,133.080078125
653,5670,74.3573192239859,59.0,102.0,206.40087890625
900,5462,54.21658733064812,52.0,62.0,85.0
642,5450,64.98880733944954,48.0,70.0,236.0
621,4770,68.79433962264152,61.0,101.0,171.3994140625
637,4607,209.47796830909485,109.0,212.0,444.720703125
635,4267,309.1832669322709,87.0,165.0,427.490234375
623,2812,70.00711237553342,60.0,99.0,164.0
651,2765,221.6741410488246,76.0,140.0,409.75341796875
629,1937,456.1744966442953,82.0,134.7999267578125,359.1300048828125
641,1167,497.541559554413,48.0,74.0,226.7894287109375
630,938,2636.5095948827293,67.0,104.0,362.9998779296875
117,756,68.8558201058201,45.0,60.0,134.94000244140625
929,660,146.33333333333334,150.0,167.0,190.800048828125
925,602,265.54152823920265,20.0,48.29998779296875,447.83642578125
923,349,427.29226361031516,17.0,34.600006103515625,117.324951171875
927,134,5209.29104477612,42.0,78.19999694824219,113839.5390625
945,64,119.859375,52.5,100.39997863769531,3179.882080078125
948,55,5400.436363636363,53.0,92.0,275547.71875
942,53,53.0377358490566,38.0,100.79998779296875,297.14019775390625
940,38,42.31578947368421,37.0,67.60000610351562,155.0
921,33,39250.06060606061,28.0,21268.685546875,685936.0
941,32,45.71875,36.0,78.69998168945312,143.0
922,31,5931.354838709677,19.0,163.59999084472656,100148.0
947,27,141.7037037037037,46.0,120.59996032714844,2552.0
943,26,69.15384615384616,33.5,78.89999389648438,702.0
918,21,52.42857142857143,54.0,62.0,64.0
926,15,4923.266666666666,28.0,466.0,73071.0
946,8,549.625,39.5,2915.4990234375,4138.0
99,4,34.5,36.0,39.0,39.0
